Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2024:Q3,White,149607474,43460835,37336688,6124147,106146639,11397902,3935130,4995751,4995751,0,962394,911860,50534,42629267,1695993,2029638,9596245,13954034,13677460,1272825,13763478,13732716,9471867,3301941,272092,686817,30762,135843996,87462838
2024:Q3,Black,6984340,3003615,2404949,598666,3980724,350122,44131,50284,50284,0,36911,36649,261,320820,139088,274414,585954,1697764,329696,151541,1571455,1568888,785063,751685,15413,16728,2567,5412884,15361466
2024:Q3,Hispanic,4882001,2759352,2273687,485666,2122649,319630,29268,32934,32934,0,260,250,10,312341,51536,98091,313223,615317,266293,83756,1218987,1218007,885142,304068,10835,17962,980,3663014,12850165
2024:Q3,Other,19394630,7382398,6531366,851033,12012232,1441427,195390,559665,559665,0,129946,111780,18166,4862148,264143,289056,1376744,1433009,1276887,183816,2952934,2947812,2131557,707170,44449,64636,5122,16441696,17414625
2024:Q4,White,149971206,43191262,36994013,6197249,106779944,11594501,4220028,4909745,4909745,0,763840,714563,49277,42960375,1702943,1984196,9590255,14020694,13740192,1293175,13725968,13695164,9550244,3243965,178002,722951,30804,136245238,87371011
2024:Q4,Black,7071057,3038451,2420799,617652,4032607,357198,45131,50388,50388,0,23897,23647,251,327342,141611,271570,593136,1729381,336296,156657,1569000,1566392,795584,747830,4264,18715,2608,5502057,15555838
2024:Q4,Hispanic,4931058,2774619,2278062,496557,2156439,329317,30544,33086,33086,0,10,0,10,317685,52334,96742,316027,623950,270864,85880,1224539,1223547,894177,301816,7554,20001,991,3706519,12960275
2024:Q4,Other,19361006,7306519,6443798,862721,12054487,1452564,205707,548310,548310,0,112339,94393,17946,4896811,265026,282125,1375547,1446685,1282927,186447,2929315,2924189,2145805,694269,18524,65590,5127,16431691,17390949
2025:Q1,White,147996968,42941856,36692163,6249693,105055113,11771610,4323483,4939720,4939720,0,793378,745588,47790,41226590,1698311,1955700,9338748,14023791,13681729,1302053,13604568,13571722,9537342,3190709,121327,722343,32846,134392401,87462637
2025:Q1,Black,7074387,3053969,2415338,638631,4020419,362305,45761,51004,51004,0,25976,25739,237,319018,142116,269163,569077,1741263,335793,158941,1554124,1551202,793122,738740,602,18737,2922,5520264,15676329
2025:Q1,Hispanic,4978922,2804375,2296339,508036,2174547,340781,31504,33811,33811,0,9,0,9,310819,52944,96911,312579,634857,272403,87928,1231866,1230759,901442,303694,5393,20231,1107,3747057,13194042
2025:Q1,Other,19599304,7433931,6531020,902911,12165373,1505305,215450,566903,566903,0,118183,100036,18147,4838766,271710,285378,1378405,1481519,1310963,192792,2983063,2977490,2199213,701929,8773,67575,5573,16616241,17885123
