Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2016:Q2,pct40to60,6616602,8442793,2739632,727589,585481,1953082,536729,281555,1618725,1826190,1115060,675817,35313
2016:Q2,pct20to40,3654881,4695013,1729031,512189,274812,877528,156392,230168,914893,1040132,564411,442543,33178
2016:Q2,pct00to20,1986915,2649339,965958,314112,268869,186941,50837,363193,499429,662423,280902,282565,98956
2016:Q3,pct99to100,21428434,22477079,3353328,743071,8502484,346049,1066256,4055453,4410437,1048645,686338,129832,232475
2016:Q3,pct80to99,42259279,48298634,10986470,1695540,9947344,7986031,5178584,4549708,7954957,6039355,4690467,1068306,280582
2016:Q3,pct60to80,12665074,15895611,4502457,1109296,1394389,4231829,1675934,682449,2299256,3230537,2192663,930861,107013
2016:Q3,pct40to60,6772332,8625630,2860099,741093,585370,1956175,550345,284757,1647791,1853298,1124185,693033,36080
2016:Q3,pct20to40,3714555,4766721,1792945,510109,277997,869718,161011,236510,918432,1052166,564742,454398,33026
2016:Q3,pct00to20,2029201,2688589,1007336,312081,274116,189846,51541,366925,486743,659387,284953,285158,89276
2016:Q4,pct99to100,21558288,22620161,3405814,734637,8611926,369567,1061046,4094001,4343170,1061873,688344,125145,248384
2016:Q4,pct80to99,42510152,48552982,11199018,1711813,9994865,7978022,5212942,4519694,7936628,6042831,4714804,1084033,243994
2016:Q4,pct60to80,12776891,16043780,4568081,1115959,1432479,4253526,1663725,688562,2321448,3266889,2204586,958021,104282
2016:Q4,pct40to60,6791246,8669200,2862036,750871,593054,1991149,558990,279481,1633619,1877954,1129366,712653,35935
2016:Q4,pct20to40,3759737,4835743,1840612,511334,281207,872946,160626,235562,933456,1076006,570395,471740,33871
2016:Q4,pct00to20,2083072,2737885,1026648,312114,283390,197570,52007,365230,500925,654813,284437,284844,85532
2017:Q1,pct99to100,22263621,23333812,3455002,734262,9155960,395017,1085746,4134476,4373349,1070191,691103,114836,264252
2017:Q1,pct80to99,43480601,49542666,11381351,1731489,10498079,7988630,5422146,4490801,8030170,6062065,4735972,1073498,252595
2017:Q1,pct60to80,13112239,16382928,4632959,1126257,1545488,4284982,1723489,695011,2374742,3270690,2213602,955381,101707
2017:Q1,pct40to60,6934160,8825248,2900905,760198,626588,2030047,598154,274439,1634918,1891088,1134936,719705,36447
2017:Q1,pct20to40,3831657,4915755,1875313,516570,295006,876891,167043,234630,950302,1084098,576300,474837,32961
2017:Q1,pct00to20,2179234,2833943,1071200,316426,302517,206065,52444,363574,521717,654709,284615,292164,77930
2017:Q2,pct99to100,22857682,23942125,3510143,727651,9469709,420133,1098314,4367705,4348470,1084443,694972,108822,280649
2017:Q2,pct80to99,44175423,50288186,11572003,1744518,10754608,7994141,5567098,4661137,7994681,6112763,4766242,1081775,264746
2017:Q2,pct60to80,13388866,16695117,4728530,1131433,1619821,4313918,1756738,737830,2406846,3306251,2229031,975257,101963
2017:Q2,pct40to60,7087169,9006301,2977732,767954,646342,2068098,626584,307870,1611721,1919132,1143775,735803,39554
2017:Q2,pct20to40,3883453,4990261,1921123,517816,303109,880645,170993,237817,958758,1106808,583087,489021,34700
2017:Q2,pct00to20,2296168,2946191,1127568,316697,316635,214408,52903,370340,547640,650023,285453,292029,72541
2017:Q3,pct99to100,23336258,24433609,3571509,718048,9821575,445366,1116112,4448878,4312121,1097351,699239,102296,295816
2017:Q3,pct80to99,44828208,50984499,11762738,1755359,11047889,7999298,5739189,4671606,8008420,6156291,4803131,1094411,258749
2017:Q3,pct60to80,13644170,16989818,4819983,1134716,1701332,4342789,1800663,751923,2438412,3345648,2249323,996716,99609
2017:Q3,pct40to60,7199619,9148728,3031389,775429,668302,2106257,659463,310693,1597195,1949109,1154388,754754,39967
2017:Q3,pct20to40,3949690,5077685,1976139,517379,312077,884390,175949,237628,974123,1127995,590291,503299,34405
2017:Q3,pct00to20,2392085,3042351,1183064,315222,331726,222783,53267,370257,566032,650266,286429,297703,66134
2017:Q4,pct99to100,24115728,25226482,3609349,708848,10410059,470907,1137778,4559986,4329555,1110755,702749,97310,310696
2017:Q4,pct80to99,45810145,52044215,11919850,1782766,11585364,8006157,5935442,4711642,8102994,6234070,4835881,1111838,286351
2017:Q4,pct60to80,13954143,17345677,4884347,1147521,1824153,4372658,1854450,771664,2490884,3391534,2266818,1025979,98737
2017:Q4,pct40to60,7345339,9326619,3069885,790676,704159,2144930,696711,319447,1600811,1981279,1163100,775900,42279
2017:Q4,pct20to40,4027281,5180293,2028150,520811,326648,888204,181845,237993,996641,1153012,596902,521791,34319
2017:Q4,pct00to20,2504765,3148054,1234089,317013,352114,231268,53572,371354,588643,643288,286895,297932,58461
2018:Q1,pct99to100,24319504,25439758,3682922,706963,10398810,495640,1120140,4644449,4390835,1120254,705599,87030,327625
2018:Q1,pct80to99,46147135,52396362,12195037,1808758,11492852,8002709,5923244,4722915,8250847,6249226,4852920,1099599,296707
2018:Q1,pct60to80,14168310,17560773,4987105,1161066,1844439,4397339,1822441,786346,2562037,3392463,2272543,1021581,98339
2018:Q1,pct40to60,7463496,9458060,3129453,803376,704617,2181750,698858,322664,1617342,1994564,1167840,782256,44468
2018:Q1,pct20to40,4100229,5262463,2077991,526873,326830,891631,179769,237756,1021614,1162235,602530,524447,35258
2018:Q1,pct00to20,2610568,3255310,1294809,321844,359512,239408,54262,371223,614251,644742,287257,304963,52522
2018:Q2,pct99to100,24669045,25805712,3712533,702212,10592532,521108,1122023,4752048,4403257,1136667,710908,79942,345817
2018:Q2,pct80to99,46563507,52836696,12333474,1833105,11612253,8005568,6016146,4756593,8279557,6273188,4887295,1102955,282938
2018:Q2,pct60to80,14380779,17806958,5057968,1173058,1900516,4425393,1833211,805397,2611416,3426179,2290163,1036868,99148
2018:Q2,pct40to60,7575688,9599352,3196376,816025,717152,2220001,718734,330466,1600598,2023664,1179256,796437,47971
