Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2022:Q3,NoHS,2546128,1554918,1242341,312577,991210,221469,12244,24087,24087,0,278,226,52,140198,17505,17540,54153,209916,222835,70985,458327,457958,273034,167942,15139,1843,370,2087801,12035833
2022:Q4,College,112390655,32873963,28457985,4415978,79516692,10269450,2461392,3403425,3403425,0,979704,924925,54779,29383297,1543246,1531532,6920278,10580546,11609965,833857,12030983,12002778,8351439,2765485,242747,643107,28205,100359672,53029276
2022:Q4,SomeCollege,24557766,9166781,7583474,1583307,15390985,2231726,277871,368351,368351,0,68116,63665,4451,3176236,234312,534583,1481110,4134301,2554930,329449,3695617,3690894,2495072,1130127,40440,25254,4724,20862149,35576828
2022:Q4,HS,15507910,6634952,5316609,1318343,8872958,1468500,170460,271964,271964,0,94992,80910,14082,1786834,191840,269441,669778,1968760,1690276,290113,2466479,2462790,1532730,824377,77967,27715,3690,13041431,30888314
2022:Q4,NoHS,2538880,1554678,1236844,317834,984202,220073,13215,17415,17415,0,213,213,0,148446,17691,17886,55400,202592,218238,73034,464894,464552,274854,174256,15141,301,342,2073986,12118567
2023:Q1,College,115277427,33024538,28528436,4496103,82252888,10006374,2755117,3982711,3982711,0,955854,900744,55110,31142194,1579260,1583514,7260235,10697652,11440348,849629,12103994,12074862,8439623,2773449,225064,636727,29131,103173433,53605688
2023:Q1,SomeCollege,24774422,9132340,7538008,1594332,15642082,2171590,310287,432060,432060,0,66791,62353,4438,3354296,237241,557646,1550718,4143282,2485640,332532,3690690,3685942,2493398,1122429,46494,23621,4748,21083732,35639979
2023:Q1,HS,15632012,6606120,5276870,1329250,9025891,1430639,181835,308649,308649,0,95921,81881,14040,1902230,194449,285165,702546,1979713,1651348,293395,2431087,2427328,1513587,821297,64772,27673,3759,13200924,30948514
2023:Q1,NoHS,2469508,1510344,1198277,312067,959163,211715,14896,7705,7705,0,199,199,0,152938,17391,18903,54929,199896,208475,72117,448831,448488,264006,169559,14843,79,343,2020677,11852890
2023:Q2,College,119486571,34623287,30062420,4560867,84863284,9879015,2925177,4073349,4073349,0,958264,903649,54615,32918660,1602462,1621960,7574046,10791885,11657433,861033,12221168,12191988,8524788,2801553,219363,646285,29180,107265403,53830411
2023:Q2,SomeCollege,25459852,9480574,7872645,1607928,15979279,2140786,328882,440353,440353,0,66559,62188,4371,3546024,239215,575972,1619872,4159355,2527129,335131,3715188,3710455,2506466,1130870,48136,24983,4733,21744664,35604521
2023:Q2,HS,16108165,6889340,5550298,1339042,9218825,1409541,187807,312677,312677,0,95336,81457,13879,2024022,195984,297333,734221,1994187,1671846,295871,2438475,2434732,1510617,836174,60491,27450,3743,13669691,30884925
2023:Q2,NoHS,2566963,1591862,1275090,316772,975101,210219,16078,6022,6022,0,199,199,0,161756,17489,20076,55810,203268,211275,72909,452242,451900,263704,173088,14823,284,342,2114721,11855758
2023:Q3,College,118608449,35034253,30456621,4577632,83574196,9754761,3098382,4144351,4144351,0,891354,836586,54768,31727611,1594108,1735572,7388220,10696877,11671910,871049,12348088,12318285,8622235,2809633,218186,668230,29803,106260361,53992872
2023:Q3,SomeCollege,25316857,9546260,7940208,1606052,15770597,2112671,348187,446939,446939,0,63849,59482,4367,3392217,237175,638846,1567579,4104837,2520693,337603,3743762,3739013,2528477,1133593,48423,28519,4750,21573095,35574365
2023:Q3,HS,16008339,6931587,5594828,1336759,9076752,1389885,193767,315621,315621,0,97698,83861,13838,1923839,194011,339235,708939,1950229,1665367,298160,2449627,2445837,1513232,846185,59323,27097,3790,13558712,30819978
2023:Q3,NoHS,2543357,1590512,1278174,312338,952846,206447,17123,4493,4493,0,179,179,0,153258,17196,23701,54457,194566,208587,72838,450922,450577,261516,173637,14636,788,345,2092435,11726106
2023:Q4,College,122428072,34809662,30217781,4591881,87618410,9805346,3263218,4460316,4460316,0,917388,862919,54469,34770641,1609042,1629222,7986534,10950563,11335256,890883,12446922,12416523,8691592,2838537,220335,666060,30399,109981150,54038408
2023:Q4,SomeCollege,25815301,9497679,7882400,1615279,16317623,2122823,368041,484432,484432,0,64877,60534,4343,3752731,239376,577559,1716648,4209582,2436303,345252,3780590,3775804,2551813,1147861,48005,28125,4787,22034711,35628232
2023:Q4,HS,16213619,6860205,5527137,1333068,9353414,1387014,199036,333371,333371,0,96141,82431,13710,2140330,194583,296116,773379,2021260,1608232,303952,2458602,2454772,1508773,858799,60223,26977,3830,13755017,30659815
2023:Q4,NoHS,2582538,1597927,1277717,320211,984611,209055,18525,0,0,0,188,188,0,170935,17474,20174,56929,210631,205203,75497,459704,459347,264652,179154,14805,736,356,2122834,11855093
2024:Q1,College,127433386,36235781,31591211,4644570,91197605,9974362,3323679,4394752,4394752,0,913584,859889,53695,37739561,1643739,1666240,8442832,11016357,11177988,904511,12508630,12476888,8726937,2825833,224391,699727,31741,114924756,54212764
2024:Q1,SomeCollege,26712119,9861667,8225763,1635904,16850452,2155454,375787,477291,477291,0,64885,60604,4281,4109036,244528,598877,1832470,4242305,2398878,350940,3790004,3785132,2562859,1141540,47323,33410,4873,22922115,35800413
