Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1993:Q4,RemainingTop1,3795961,3946086,611514,171799,1095693,169836,151810,870703,874731,150125,107874,11125,31126
1993:Q4,Next9,9093305,9795309,2172224,470804,1340653,2147268,711419,1034097,1918844,702003,572053,68650,61300
1993:Q4,Next40,9118460,10916849,3806398,982131,645025,2362366,655473,582628,1882829,1798389,1412663,323574,62152
1993:Q4,Bottom50,928583,2359933,1150852,533147,58236,148435,100098,51600,317565,1431350,895295,482315,53740
1994:Q1,TopPt1,2617862,2641779,260244,165126,676631,24633,16586,670363,828196,23917,12084,145,11688
1994:Q1,RemainingTop1,3830868,3984389,624640,169898,1077181,160803,154593,901291,895983,153521,112155,10506,30860
1994:Q1,Next9,9116255,9805391,2217188,458971,1269428,2202424,712424,1036336,1908620,689136,565420,65012,58704
1994:Q1,Next40,9180283,10980989,3851068,986190,622788,2388992,660658,585804,1885489,1800707,1418308,318960,63439
1994:Q1,Bottom50,889120,2358669,1129228,545974,56473,148904,104750,52601,320738,1469548,921985,489253,58310
1994:Q2,TopPt1,2674132,2699192,255271,173923,651539,22108,17571,695176,883604,25060,12674,326,12060
1994:Q2,RemainingTop1,3882643,4038942,630594,170607,1077516,151548,159505,934162,915010,156299,115077,10533,30689
1994:Q2,Next9,9131836,9822368,2236474,461518,1224927,2256293,718664,1041604,1882888,690532,566911,67315,56306
1994:Q2,Next40,9257276,11085480,3924794,994466,608390,2414624,675649,589646,1877911,1828203,1431330,331844,65029
1994:Q2,Bottom50,873225,2394100,1143330,559100,55635,149333,110722,53547,322432,1520875,949123,508562,63190
1994:Q3,TopPt1,2746750,2772854,249817,173691,666832,19570,18618,713777,930548,26104,13234,588,12282
1994:Q3,RemainingTop1,3961341,4120462,625026,173181,1118989,142500,165965,963955,930846,159121,118331,10686,30104
1994:Q3,Next9,9195736,9886768,2221206,473804,1237182,2312423,735980,1039976,1866198,691032,567626,70610,52796
1994:Q3,Next40,9376047,11233875,4000783,1004382,610970,2441931,698898,591665,1885247,1857828,1444524,347644,65660
1994:Q3,Bottom50,899493,2474783,1196809,571457,56794,149832,117532,54598,327761,1575290,977829,530424,67037
1994:Q4,TopPt1,2839786,2867639,245814,178829,651623,17061,19097,732600,1022615,27853,13862,1155,12836
1994:Q4,RemainingTop1,4032455,4195407,622995,174428,1128143,132953,166709,993901,976278,162952,121096,11178,30678
1994:Q4,Next9,9202284,9902339,2218242,478223,1205592,2364978,724126,1037351,1873827,700055,569517,77132,53406
1994:Q4,Next40,9405829,11305832,4033521,1010398,600413,2466570,694074,593371,1907485,1900003,1457663,372870,69470
1994:Q4,Bottom50,902227,2539983,1241224,582259,56400,150221,120907,55664,333308,1637755,1004305,558833,74617
1995:Q1,TopPt1,2945533,2973747,239443,187941,707311,14480,20380,747335,1056857,28214,14269,885,13060
1995:Q1,RemainingTop1,4147763,4313027,623231,175264,1210560,124355,175092,1021987,982538,165264,124694,10603,29967
1995:Q1,Next9,9348007,10035044,2220084,481472,1273674,2425876,751501,1029767,1852669,687037,563859,74318,48860
1995:Q1,Next40,9536659,11439805,4063238,1020314,619750,2497485,726939,593819,1918260,1903146,1462309,371048,69789
1995:Q1,Bottom50,927733,2600650,1269207,595705,59540,150871,128833,56820,339674,1672917,1027305,567692,77920
1995:Q2,TopPt1,3052876,3082054,233608,180713,768067,14097,21387,764233,1099949,29178,14664,1054,13460
1995:Q2,RemainingTop1,4288015,4458058,611843,178736,1297436,138359,183467,1051207,997011,170043,129420,10742,29881
1995:Q2,Next9,9421968,10104760,2179669,496666,1347678,2424477,786981,1022930,1846360,682793,559625,76934,46234
1995:Q2,Next40,9725716,11656320,4132492,1024897,640735,2570761,761249,594413,1931773,1930604,1473864,384890,71850
1995:Q2,Bottom50,979244,2713133,1350696,603320,62892,154348,136621,57966,347290,1733889,1061263,589506,83120
1995:Q3,TopPt1,3192329,3223033,225002,179403,846712,13726,22876,788811,1146504,30704,15279,1389,14036
1995:Q3,RemainingTop1,4438331,4612757,589473,180974,1401757,152330,193591,1083963,1010669,174426,132858,10963,30605
1995:Q3,Next9,9457710,10146602,2110283,505338,1445271,2419363,823903,1021839,1820605,688891,560839,80940,47112
1995:Q3,Next40,9773074,11741175,4067983,1028242,668557,2643144,802791,596312,1934146,1968101,1488932,402922,76247
1995:Q3,Bottom50,1014376,2811385,1420397,611067,67079,157785,145614,58999,350444,1797008,1092431,613386,91191
1995:Q4,TopPt1,3298183,3332495,227904,178372,926650,14853,24539,793749,1166428,34311,15860,2071,16380
1995:Q4,RemainingTop1,4555070,4735590,605415,181536,1469900,161003,205505,1080184,1032048,180520,136641,11864,32015
1995:Q4,Next9,9730556,10441378,2144706,512503,1569289,2463946,843566,1051212,1856157,710822,568982,91633,50207
1995:Q4,Next40,9963063,11976310,4101076,1043604,726765,2665387,843289,609498,1986691,2013247,1509639,425882,77726
1995:Q4,Bottom50,1010168,2823726,1410148,613291,73149,161171,149671,61878,354417,1813558,1089387,636710,87461
1996:Q1,TopPt1,3332960,3369735,229517,181306,965339,16031,26201,792504,1158836,36775,16563,1777,18435
1996:Q1,RemainingTop1,4617445,4803241,624128,181692,1495628,169369,217224,1073501,1041699,185796,140896,11612,33288
1996:Q1,Next9,9943761,10678538,2191422,518490,1634842,2505735,861862,1074630,1891558,734777,582654,91731,60392
1996:Q1,Next40,10169467,12208196,4156450,1062741,767639,2685526,883167,621306,2031367,2038729,1541136,418622,78971
1996:Q1,Bottom50,1002877,2826094,1389145,618214,77144,164494,153445,64874,358778,1823218,1097609,638466,87143
1996:Q2,TopPt1,3373871,3414489,231023,173426,1010275,17239,27601,795041,1159884,40618,17489,2149,20980
1996:Q2,RemainingTop1,4689779,4879926,635276,183223,1527545,177726,226666,1068448,1061042,190147,143261,12008,34878
1996:Q2,Next9,10103973,10868634,2210843,529867,1708143,2547170,868922,1101206,1902482,764661,601063,98515,65083
1996:Q2,Next40,10338994,12423866,4227132,1074861,810699,2705351,912038,633879,2059906,2084872,1572710,430846,81316
1996:Q2,Bottom50,1011606,2846729,1396534,617439,81403,167829,155697,67801,360026,1835123,1097686,653062,84375
1996:Q3,TopPt1,3366073,3410372,236609,169548,1008086,18482,29275,797007,1151365,44299,18453,2506,23340
1996:Q3,RemainingTop1,4714850,4908631,650154,184384,1511806,186011,237420,1063154,1075702,193781,145532,12378,35871
1996:Q3,Next9,10228236,11023117,2244478,540310,1715610,2587688,878922,1127125,1928984,794882,620596,105088,69198
1996:Q3,Next40,10471578,12601983,4272462,1091263,833717,2724431,947036,646329,2086745,2130404,1605870,442568,81966
1996:Q3,Bottom50,1024276,2870910,1404389,619671,83287,171158,158641,70740,363024,1846634,1098911,667307,80416
1996:Q4,TopPt1,3474110,3521621,243541,177525,1065668,19833,33868,817049,1164137,47511,19273,2987,25251
1996:Q4,RemainingTop1,4821824,5019807,672970,183176,1556562,193176,260642,1066103,1087178,197983,148563,12971,36449
1996:Q4,Next9,10511467,11335157,2311700,538486,1805167,2618521,913415,1168837,1979031,823691,635600,113234,74857
1996:Q4,Next40,10644348,12818941,4272356,1105964,881495,2736272,1039280,662542,2121032,2174593,1635008,458935,80650
1996:Q4,Bottom50,1018991,2881679,1388538,622777,88110,174219,169490,73339,365207,1862689,1100187,685752,76750
1997:Q1,TopPt1,3446321,3497276,247393,180047,1074597,21114,34892,840420,1098812,50955,20132,2608,28215
1997:Q1,RemainingTop1,4833406,5034800,689497,183245,1552638,201694,267577,1070782,1069368,201395,150545,12356,38494
1997:Q1,Next9,10641038,11484322,2354947,543645,1827388,2660227,909599,1213298,1975217,843284,650145,111316,81823
1997:Q1,Next40,10744471,12935644,4293690,1123516,908549,2756057,1056558,679484,2117790,2191173,1659372,446687,85114
1997:Q1,Bottom50,1034324,2884360,1378061,626591,90488,177626,169781,75881,365932,1850037,1093255,681208,75574
1997:Q2,TopPt1,3648463,3703263,250551,171063,1284205,22339,38101,854185,1082820,54801,21027,2818,30956
1997:Q2,RemainingTop1,5081529,5287509,702217,184679,1748403,211287,292635,1071360,1076927,205979,153063,12560,40356
1997:Q2,Next9,11138378,12011439,2378443,553927,2124287,2710506,997183,1249368,1997725,873061,667063,116221,89777
1997:Q2,Next40,11082062,13314536,4365039,1133206,1020164,2782086,1166764,694497,2152780,2232474,1689735,454059,88680
1997:Q2,Bottom50,1074268,2934977,1398920,624090,102838,181306,180561,78605,368658,1860709,1093700,692380,74629
1997:Q3,TopPt1,3778211,3835683,255667,163308,1405928,23605,41029,873986,1072160,57472,22121,3058,32293
