Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2022:Q3,TopPt1,17996508,2333765,1765968,567797,15662743,1495295,398544,550431,550431,0,330238,303001,27237,7465780,209238,78425,95373,296118,4706419,36882,182604,180182,67014,45224,9710,58234,2422,17813904,131658,46796886
2022:Q3,RemainingTop1,22861852,4449902,4077646,372256,18411950,1979120,488630,659564,659564,0,266537,258716,7821,8542315,346218,198893,961488,833020,4055425,80739,787128,780042,394665,105980,100830,178566,7086,22074724,1180107,11182618
2022:Q3,Next9,52779968,14971069,13324554,1646515,37808900,5047326,1168041,1313073,1313073,0,418784,399453,19332,12315774,600830,971535,3947968,6481101,5215280,329188,3508347,3495729,2865156,474894,40099,115580,12618,49271621,11809728,2156311
2022:Q3,Next40,50616083,22734980,19528714,3206266,27881104,5212369,689543,670877,670877,0,172364,151377,20987,4069258,649251,1026885,3267520,9028232,2360217,734587,8195773,8181944,6268922,1653044,87925,172053,13829,42420310,52522772,242363
2022:Q3,Bottom50,9382872,6598532,4824713,1773819,2784341,805456,24095,26121,26121,0,3884,3662,222,324202,155713,58011,448591,463558,163277,311432,5791751,5788303,2914430,2510253,117088,246533,3448,3591121,65662191,
2022:Q4,TopPt1,18431756,2311065,1733868,577197,16120691,1445805,433785,715971,715971,0,316352,289809,26543,7924716,212111,78205,100660,298530,4556786,37770,184338,182141,68373,47024,9432,57312,2198,18247418,131965,
2022:Q4,RemainingTop1,23331591,4372214,3997955,374259,18959377,1924043,519414,821774,821774,0,270636,263068,7568,9001325,351713,199654,1001712,819213,3967526,82366,789168,783041,392622,108346,107988,174085,6127,22542422,1182862,
2022:Q4,Next9,53364662,14710974,13053850,1657124,38653688,4946775,1225694,1653889,1653889,0,389759,371138,18621,12967028,609324,985666,4112080,6357148,5070147,336177,3543567,3531666,2910776,491566,42996,86327,11901,49821095,11837297,
2022:Q4,Next40,50543800,22329253,19093833,3235420,28214547,5088877,718140,841099,841099,0,162631,142248,20383,4256638,656579,1031806,3441410,8950851,2315233,751282,8296030,8282589,6333827,1699600,95047,154115,13441,42247770,52645384,
2022:Q4,Bottom50,9323402,6506868,4715405,1791463,2816534,784250,25904,28422,28422,0,3646,3448,198,345105,157363,58111,470704,460457,163716,318856,5844871,5841576,2948498,2547708,120833,224537,3295,3478531,65815476,
