Table 6.3B. Wages and Salaries by Industry
Table 6.3B. Wages and Salaries by Industry
"Last Revised on: September 27, 2024"
Line,,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
62,"            Personal services",1778,1787,1837,1959,2059,2159,2217,2315,2466,2574,2611,2741,2859,2949,3095,3222,3452,3701,3991,4258,4504,4729,4836,4808,4833,5090,5309,5527,5981,6516,7352,8030,8656,9361,9925,10798,11783,12690,13619,14693
63,"            Business services",1051,1083,1201,1385,1571,1766,1897,2128,2496,2793,3010,3414,3829,4238,4747,5127,5801,6496,7422,8305,9242,10695,11635,11989,13309,15134,16989,17863,20236,23199,28415,34197,40176,46515,51410,58257,69896,80114,90054,102261
64,"            Auto repair, services, and parking",562,531,521,547,582,614,615,657,727,793,839,942,1032,1082,1165,1256,1372,1484,1599,1735,1918,2163,2385,2595,2879,3333,3630,3930,4486,5097,6218,7124,7586,8236,8903,9623,11035,12195,13180,14336
65,"            Miscellaneous repair services",356,318,302,379,415,415,380,413,475,517,500,569,622,646,676,709,767,843,949,1044,1123,1240,1340,1421,1541,1797,2071,2195,2456,2745,3311,3910,4385,4827,4937,5054,5872,6292,6495,6825
66,"            Motion pictures",655,660,658,680,697,689,723,775,789,783,746,776,773,816,793,808,865,969,1043,1103,1176,1281,1279,1283,1350,1440,1587,1677,1906,2153,2752,3211,3437,3810,3987,4395,4856,5328,5637,6506
67,"            Amusement and recreation services",594,601,607,631,665,716,757,815,869,930,1025,1115,1224,1296,1388,1474,1572,1647,1767,1922,2087,2243,2429,2635,2930,3314,3721,4108,4609,5085,5881,6599,7464,8224,9031,9802,10506,11169,12026,13210
68,"            Health services",1505,1637,1851,2086,2318,2573,2810,3087,3322,3689,4095,4427,4841,5232,5693,6296,6971,7652,8592,9995,11748,13994,16614,19339,22871,26399,30869,36329,41464,46824,53380,60910,71399,83052,95069,104260,111873,120351,130831,149863
69,"            Legal services",224,240,270,301,336,376,404,440,485,519,561,610,666,712,772,834,915,993,1087,1185,1332,1548,1824,2113,2492,3098,3673,4295,4979,5773,6533,7725,9302,11178,13365,15405,17620,20153,23291,28244
70,"            Educational services",809,858,899,934,965,1021,1090,1180,1307,1450,1577,1746,1920,2157,2442,2686,2966,3347,3765,4130,4735,5525,6312,7038,7911,8377,8926,9390,9731,9956,10584,11673,13075,14572,16217,17869,19514,21045,22516,24674
71,"            Social services and membership organizations",1478,1688,1816,1981,2123,2346,2533,2735,2946,3198,3467,3894,4315,4686,5101,5365,5660,6050,6669,7285,7993,9069,9498,10338,11074,12113,13191,14666,15649,17125,19275,21122,23491,25228,26920,28762,31036,32804,36128,39514
