1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2005:Q2,2614523,292869,2321654,2252728,68926,733,15089,67029,285937,3491,404045,483681,473364,265578,181922,28125,-2260,10317,339505,-39518,109594,-2853,-24020,96666,-56017,85099,46567,21017,6302,4023,2279,0,-13823,645,33338,2404,159369,2468,8932,329188,2266,322286,284199,27415,7725,962,1985,3926,710,-79636
2005:Q3,2655464,303144,2352320,2301199,51121,-500,-8932,66864,292476,-29104,447997,366386,484333,268821,189014,28729,-2232,-117946,234675,-58080,162755,2035,17639,-139263,-30110,-79295,14819,-44677,-2191,-3459,1268,0,32697,-8551,54124,10479,133432,2468,27131,352621,5974,343460,289122,45996,835,5522,1985,3926,-739,81610
2005:Q4,2702977,325696,2377281,2402088,-24807,-181,-1450,55955,297324,186,329555,587745,479218,260170,192329,28973,-2254,108528,408329,12458,64927,-2737,70976,84202,-48197,52773,28789,50837,283,497,-214,0,-53454,-16413,50689,3593,155889,2468,35447,299801,3352,291883,260986,42170,5838,-19096,1985,3926,640,-258190
2006:Q1,2776085,335904,2440180,2313975,126206,-484,6601,63608,301169,5046,478852,542843,491185,269614,193867,30093,-2389,51658,371808,3149,193519,4032,1740,122865,123229,-4390,-13095,17121,16853,21236,-2930,-1453,-204530,-50002,95138,24866,159887,2026,2265,320150,2093,313776,304558,-28476,12561,20719,4414,4082,199,-63991
2006:Q2,2814451,330408,2484043,2402334,81709,-39,15298,59463,305790,3809,427816,366997,482786,268474,185753,31008,-2449,-115789,259731,-18095,77766,4787,38586,-23182,-76227,-86951,59457,80539,28478,32178,-5062,1362,-29145,9732,8297,5003,153080,2026,2398,375520,8492,362765,305152,30726,10774,11699,4414,4082,181,60819
2006:Q3,2837737,329059,2508677,2427545,81133,-463,-15099,59392,309773,3932,461002,372863,475872,271110,175659,31673,-2570,-103010,221572,-35916,125040,-917,67425,-70188,-14835,7193,-1255,-61291,-2950,-734,-6800,4584,-40439,9342,15244,16365,135490,2026,1051,324582,132,320311,236334,61829,7447,10287,4414,4082,57,88140
2006:Q4,2873725,361591,2512133,2525231,-13097,-338,-2202,58732,313686,3933,357252,457341,470653,273187,167964,32253,-2751,-13312,261521,21563,72327,-1803,96355,-181479,-105962,-51882,19079,-42714,3752,6894,-4637,1495,22437,-15942,84903,19249,121355,2026,16778,274833,5554,265033,150920,56028,20399,33272,4414,4082,164,-100089
2007:Q1,2933561,373699,2559861,2444253,115609,130,7112,60079,316638,804,484540,546659,466457,276181,160165,32780,-2669,80202,266647,23685,194216,3588,51061,-50937,15659,18410,18062,-103068,23020,24081,-4023,2962,-184046,-62125,119381,10829,130362,2474,5140,186445,2588,179105,202019,-16543,-9369,-239,3237,4216,536,-62119
2007:Q2,2975504,365010,2610493,2525530,84963,-17,15355,58997,319922,1326,447184,149156,460829,277744,152451,33442,-2808,-311672,-6725,-76517,63953,6395,62712,-75258,-54331,24608,41634,-87169,54133,58848,-4676,-39,-287023,55,66667,16745,154994,2474,3945,304947,7342,293359,203680,36793,449,49200,3237,4216,30,298027
2007:Q3,2995354,362865,2632489,2544312,88177,-339,-16069,57767,323278,1155,483797,971051,452633,279188,141785,34532,-2871,518418,760250,-94605,138081,4914,215101,408892,-29858,234326,-13750,218174,28313,27766,-3424,3971,-119413,947,27621,6454,128520,2474,12951,241832,1693,235457,185908,76040,15326,-45054,3237,4216,466,-487254
