1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1999:Q1,1290,502,14808,2636,2688,4976,-235,-989,5774,0,426,2195,13,1771,1592,40,133,6,411,91,42,2180,11249,0,-137,10737,449,382,-182,-2771,1054
1999:Q2,1328,514,6532,247,-1458,3730,397,379,1664,0,1290,7405,122,4923,4428,109,370,16,2360,52,-117,-3327,7355,0,158,6542,355,339,-39,1637,1049
1999:Q3,1385,526,-560,-580,-3371,-3039,-627,-1715,-921,0,224,9500,124,4642,4175,102,349,16,4734,34,254,-3358,500,0,-158,258,-400,694,106,1919,1051
1999:Q4,1463,527,-11,8054,3395,-7083,-520,-1138,-3244,0,-2181,7555,114,2431,2186,54,183,8,5010,48,-2037,-9943,2670,0,2465,-2165,570,824,976,3616,-55
2000:Q1,1573,524,22230,2194,888,5615,377,-256,2057,0,3437,4378,328,2746,2470,61,206,9,1304,31,89,9035,11627,0,5935,8065,-973,-734,-666,-9554,-495
2000:Q2,1629,543,-4225,-4634,-6807,-175,-465,-526,541,0,275,11789,182,4802,4319,106,361,16,6805,25,-856,-3567,2233,0,-865,665,1433,227,773,7544,1431
2000:Q3,1644,551,9484,-243,3894,-6102,-13,-270,-3278,0,-2541,8913,152,3475,3125,77,261,12,5286,20,-85,3087,3742,0,465,2535,-858,277,1323,-4649,-511
2000:Q4,1618,553,4152,1894,-4805,-239,72,-342,-282,0,313,5279,359,1802,1621,40,135,6,3118,37,153,1833,3515,0,352,5248,-485,257,-1857,427,3109
2001:Q1,1574,600,43990,11686,11975,9356,29,-207,5314,0,4220,153,22,1804,1622,40,136,6,-1673,57,-14,10777,24864,0,3948,22552,664,-152,-2148,-18152,491
2001:Q2,1567,588,12627,5263,-2216,-378,383,-1417,-2800,0,3456,8456,457,4404,3961,98,331,14,3595,32,1392,78,13135,0,-993,11693,-365,212,2588,1487,3722
2001:Q3,1604,581,16811,-10140,-614,9692,-206,-158,6727,0,3329,8580,162,7436,6688,165,558,25,982,90,-15,9218,14174,0,1365,13635,-626,379,-579,-1615,2712
2001:Q4,1694,558,8985,8600,-5168,10458,846,1070,5773,1,2768,4351,43,2076,1867,46,156,7,2232,45,2647,-11948,9869,0,-838,9738,1569,1100,-1700,2020,2096
2002:Q1,1855,598,33847,181,5982,11686,2,215,9000,0,2469,2882,83,4652,4183,103,350,16,-1853,96,-2426,15446,25174,0,-1381,25881,-1326,598,1402,-7416,870
2002:Q2,1953,590,5943,6251,-2419,1599,21,37,-425,0,1966,9560,816,4843,4356,107,364,16,3901,105,607,-9760,8658,0,7047,1453,58,500,-400,4078,3170
2002:Q3,2015,587,9188,2990,-3627,2929,-127,-934,1093,-1,2898,8019,187,3566,3207,79,268,12,4266,39,202,-1364,8080,0,-681,6981,180,785,815,321,2241
2002:Q4,2036,574,7639,-4337,-1529,8760,1083,943,6262,0,472,3889,783,3246,2919,72,244,11,-140,51,17,788,10477,0,745,9455,77,91,109,4299,2398
2003:Q1,2034,636,30218,19062,4029,18150,-861,-47,10736,0,8322,1142,-2,2875,2774,-11,114,-2,-1731,73,926,-13164,28048,0,4563,22144,-12,693,660,-772,4152
2003:Q2,2025,652,13527,-1557,-4333,9623,1184,735,4338,0,3366,10207,175,5128,4612,114,385,17,4904,86,-917,418,12685,0,37,10912,391,398,947,531,3114
2003:Q3,2028,668,5899,-5784,220,-4000,-1340,-7,1839,0,-4492,12746,831,7406,6660,164,557,25,4509,71,-434,3080,6762,0,-234,5240,780,831,145,2223,2077
2003:Q4,2045,678,5488,-5697,-1278,435,-464,248,841,0,-190,8523,437,5635,5068,125,423,19,2451,15,-558,4048,4339,0,1555,751,1357,245,431,217,1446
2004:Q1,2120,763,14607,9785,1960,3782,99,-369,1135,0,2917,4557,139,3209,2886,71,241,11,1209,133,-35,-5575,13400,0,2905,12533,-2507,-668,1137,150,1058
2004:Q2,2146,786,14293,-9709,-2953,1529,-588,1468,2583,25,-1959,14878,59,10221,9193,226,768,34,4598,57,-302,10793,9141,0,129,6521,588,1219,684,-3792,1835
2004:Q3,2165,815,1497,-2580,1129,-8510,235,-1031,-2794,-5,-4915,12197,3191,6219,5593,138,468,20,2787,21,-397,-363,4708,0,978,1009,1009,231,1481,4561,1892
2004:Q4,2180,838,8915,499,604,3146,178,48,-2637,10,5547,8041,918,6210,5586,137,466,21,913,36,-650,-2761,5942,0,3355,1755,712,1519,-1399,-1631,1608
2005:Q1,2209,774,17009,2897,1724,4817,-129,-494,2379,0,3061,5117,100,4274,3842,95,322,15,743,-4,-290,2748,12249,0,3267,11120,-2418,384,-104,-3325,1591
2005:Q2,2227,794,7727,-7117,-2430,-2660,-40,-159,-970,0,-1491,16358,3296,7867,7076,174,591,26,5195,38,-337,3875,7304,0,-874,2898,1784,786,2710,1010,1551
2005:Q3,2254,814,1996,-1491,3907,-12944,-75,-842,-3684,0,-8343,17163,915,8083,7270,179,607,27,8165,83,-468,-4254,7969,0,1467,3080,2182,75,1165,7413,-1837
2005:Q4,2296,830,5287,-866,-1355,959,335,191,-5081,0,5514,6545,354,7090,6376,157,533,24,-899,-3,-121,128,1020,0,-615,1354,-511,2037,-1245,-2801,1232
2006:Q1,2375,963,19160,7567,3418,7815,278,-119,63,0,7593,4509,1132,4622,4157,103,347,15,-1245,40,-21,-4168,13943,0,-609,18710,-2067,-59,-2032,-3805,1149
2006:Q2,2403,989,6829,-8025,-1656,-6670,-432,-31,-4646,0,-1561,15471,2016,10364,9321,229,779,35,3091,-19,-203,7931,4859,0,-2514,2773,2946,1711,-57,-556,-1480
2006:Q3,2407,1012,698,-1372,-1829,-4496,520,-9,-3496,0,-1511,11592,139,7418,6673,164,557,24,4035,61,-63,-3195,2597,0,-3035,2864,955,488,1325,3294,1746
2006:Q4,2385,1031,11919,3137,-1654,3134,-247,-218,-4485,0,8084,6467,711,4159,3739,93,313,14,1597,75,-84,844,7157,0,965,7000,-920,2089,-1977,-3408,1085
2007:Q1,2287,880,24759,14452,6326,9454,604,-168,-846,0,9864,817,1061,3644,3279,80,273,12,-3888,-187,53,-6156,18946,0,4521,21144,-4498,-2636,415,-4406,3045
2007:Q2,2246,904,11901,-6662,-3671,3309,198,-65,858,-14,2332,11234,2571,7993,7189,177,600,27,670,143,-415,7963,6504,0,-2727,6655,1199,2648,-1271,-4056,1628
2007:Q3,2151,925,12419,-10120,319,-1970,-654,-204,-2068,5,951,12994,-7,8929,8032,197,670,30,4072,460,124,10612,3355,0,-3144,625,1459,9476,-5061,-7838,1133
2007:Q4,2006,943,-55,1113,-4878,-2329,-700,3366,-2848,-1,-2146,7871,1096,7124,6408,158,534,24,-349,159,118,-2109,8517,0,2119,2318,-107,3927,260,9635,-961
