1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q1,-3427,-30,-2030,-1607,-2024,264,28,125,88,152,-1405,3121,-1495,-1468,-27,-1712,-267,-1456,-969,-474,-730,79,8,169,5,-98,75,0,8,0,-71,50,0,18,0,0,404,-2023
1961:Q2,10357,-1,1121,8879,8377,324,33,145,128,230,9414,3703,1970,1922,48,2287,242,790,294,255,224,23,10,-2,7,38,88,0,9,0,34,47,0,18,0,0,422,944
1961:Q3,8839,94,-54,8379,8267,-35,34,113,-132,552,10108,5531,970,902,68,2377,-216,927,217,496,467,-5,10,24,10,39,91,0,9,0,0,49,0,16,0,0,519,-1269
1961:Q4,13811,0,2225,11489,11362,-180,32,275,158,-61,9953,5619,2944,2915,29,-2629,1121,2940,1055,1545,1308,40,8,189,11,83,84,0,8,0,92,50,0,12,0,0,-42,3858
1962:Q1,-2401,-40,-1584,-533,-777,51,30,163,-71,-173,1713,4565,-2154,-2169,15,172,446,-1772,-1329,-308,-450,-57,5,194,23,-173,79,0,8,0,-104,30,0,2,0,0,456,-4114
1962:Q2,11822,-19,1403,10166,9962,39,28,137,84,188,10453,4682,1488,1479,9,3399,475,262,417,-334,-201,-26,3,-110,34,-6,73,0,9,0,45,31,0,-7,0,0,147,1369
1962:Q3,5605,-76,-128,6359,6297,-77,30,109,-209,-341,7190,7160,619,621,-2,-1299,-566,1745,902,649,704,4,2,-61,32,76,75,0,8,0,-14,32,0,-15,0,0,-469,-1585
1962:Q4,18691,-2,1902,16494,16113,63,35,283,229,68,15064,9000,4393,4414,-21,-1714,722,2268,534,1358,1143,63,2,150,17,168,80,0,5,0,93,33,0,-20,0,0,394,3628
1963:Q1,-2642,-15,-1714,-965,-1188,-4,40,187,70,-18,539,8110,-6435,-6411,-24,640,737,-3123,-1524,-1302,-1479,-1,3,175,2,-227,86,0,4,0,-120,-46,0,4,0,0,610,-3181
1963:Q2,13870,-15,1460,11893,11582,93,45,173,42,490,12568,5989,1416,1467,-51,4230,325,201,273,-208,-72,2,2,-140,-11,16,88,0,2,0,86,-48,0,3,0,0,407,1302
