1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2017:Q3,191037,57,200387,26097,-98211,40481,-1058,-35511,2944,2343,1201,63497,6525,5703,-27824,4633,4533,-9450,8350,-3660,195480,30631,137556,102006,4904,-165,-14499,6768,-5434,-317,9450,7086,5061,-103321,53581,18318,-89150,489,2401,7398,-8198,1430,-844,24258,-12,6083,-4443
2017:Q4,-407913,-72,-438968,26098,-25328,50710,419,28072,8695,-1495,585,-20678,514,393,17543,-4314,-64355,26168,-19428,7528,68054,10610,-79513,103998,9776,1165,-11021,24080,-1388,673,-17255,-20831,4540,-42390,65247,-8013,107643,-1717,-23675,-1783,1659,-2105,-58723,1844,115,5119,-475967
2018:Q1,300507,2434,174364,23404,9627,-16946,-2019,-23104,2963,-1152,186,13840,9819,-1420,-21380,886,46399,5553,57892,19160,302771,12217,318645,48339,-3316,-1542,-8297,-69,-651,2302,8384,15570,7768,11983,-11782,-16207,-80471,3194,-6372,2697,-7273,5798,21249,-23041,151,3495,-2264
2018:Q2,338487,-149,193657,23405,25574,74862,1464,37998,-10415,-140,483,16066,-8186,1017,-21740,5006,13059,-20707,73,7160,173671,6310,72152,47843,8546,822,-29303,2824,1050,1987,1232,15782,8060,17603,85572,8950,-66246,-163,2382,1429,6579,-121,9030,-25932,-126,-2590,164816
2018:Q3,419477,847,184800,23404,-18438,119725,1199,39806,3080,3619,504,26125,9942,1062,-21798,2991,13470,22658,13869,-7387,120029,13777,-72070,47984,9890,-1596,18036,-9125,3632,2396,2735,17458,8303,-15497,122225,916,-49991,-2734,-6000,807,-4752,7783,10124,-2336,-25,18089,299448
2018:Q4,-50499,-1233,141844,23405,-54454,45561,685,-31160,-11988,-3713,-1280,-14540,-15914,-106,-948,6369,-120213,-31684,-585,19455,117944,20296,235129,48114,1544,-214,-67225,-14027,-3147,-3763,10108,4539,8371,-67251,23434,-67986,114892,1526,-5718,-1846,31166,7714,-142211,-20181,-6,4686,-168443
2019:Q1,793117,1460,409827,25996,60478,64954,-359,76456,-3854,262,1424,18248,16321,2093,5245,1137,63963,22725,966,25776,820452,1451,297941,40464,7469,-1008,45390,17023,-3279,6044,-6269,-8011,44790,58114,69989,15126,67427,246,7686,3379,-9548,9535,100678,48487,26,7303,-27335
2019:Q2,564602,-695,297894,25996,101672,64954,599,14172,6906,4146,1141,27014,24996,-533,6874,-17244,-18,21832,-27594,12489,708603,7521,272600,40303,7833,714,4831,1679,-865,868,5045,14906,44485,94718,235767,32850,-117273,-153,12560,-457,1252,-7716,44469,8769,-4,3901,-144001
2019:Q3,212981,874,292954,25997,-126973,64686,-81,-36432,-5796,1924,-1191,19459,37167,3940,-10355,1015,-9106,10447,-48459,-7088,303794,4202,375861,40230,-2166,-2251,-19057,-9045,3645,2590,9369,30038,44190,-116438,-56289,-36268,37717,8816,19847,1056,-335,-25,-7429,-16581,-23,-7859,-90813
2019:Q4,447771,-121,446027,25996,-59496,64687,544,-42972,-32633,1386,-163,15692,-12607,-2281,3256,789,15936,15289,37775,-29333,796308,28306,549979,40387,-2393,1095,8759,-2161,-3066,-3713,20058,1690,43951,-78990,151439,46342,54975,-1306,-8014,2052,4370,2762,-11911,-46553,117,-1866,-348537
2020:Q1,193060,2521,-250457,124160,22368,64675,10287,2633,37775,6114,551,-992,115274,3306,8660,-1932,-101103,16402,116256,16562,634077,2900,148782,107109,-19400,3012,41899,22209,2123,6590,-13750,113547,16099,27297,35679,-23986,101864,11183,22836,6352,8937,7224,-49975,20514,57,34976,-441017
2020:Q2,233321,-953,-274995,87730,199930,64677,-9217,-78102,-7337,2010,4181,39256,10211,-1958,4618,823,91710,12719,88313,-294,-214487,23224,-501474,163609,11544,5921,8405,-18953,-966,6789,-13080,-27757,15817,26940,130919,-31469,-100060,22382,19865,4420,2351,-8876,86584,-32865,-32,-7725,447808
2020:Q3,337824,-410,-85430,94080,229068,64482,-377,-67509,-7024,-6959,-797,44961,-4241,806,188,4249,55202,-494,33327,-15299,261601,40125,67279,190020,12329,-551,75117,-5162,-6341,-536,14828,-12394,15908,-19889,-45169,-30665,-51850,13005,16439,7970,-6921,-3129,9348,-14792,-11,-3358,76223
2020:Q4,212067,-1090,1281,108270,-49626,64481,539,-36669,-7018,-2329,-73,-6920,33286,5628,4033,2571,53939,3624,42815,-4675,393985,13423,51879,112585,-15903,1002,27566,-4220,-1310,-569,28373,41015,15810,-69753,32823,73252,-14948,-5477,3209,4311,8600,3462,73542,23202,16,-7904,-181917
2021:Q1,500255,2126,6990,87300,-67946,64138,285,52191,3723,-3477,955,49736,6169,-7868,6219,5355,186472,-323,97893,10318,260964,8870,11108,109845,-121,-995,47943,5575,5876,6776,-30696,15226,38248,24194,87068,-44662,-133820,-4192,9580,11679,-20534,8024,110443,335,31,-4836,239291
