1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q4,130263,8329,81241,40693,130182,11611,2868,0,20359,6794,62830,325,0,3383,3859,2318,6075,0,6836,0,0,455,0,0,0,452,2017,81
1977:Q1,135711,8175,82118,45418,135630,7418,2789,0,23950,6690,65497,258,0,3484,4311,2547,7089,0,8412,0,0,549,0,0,0,506,2130,81
1977:Q2,140748,8097,84671,47980,140667,7507,2682,0,24830,7423,67365,240,0,3574,4326,2685,7630,0,8619,0,0,367,0,0,0,572,2847,81
1977:Q3,146033,7599,86022,52412,145952,7832,2375,0,26402,7370,68779,232,0,3663,4225,3040,8610,0,8839,0,0,342,0,0,0,660,3583,81
1977:Q4,152556,7556,88197,56803,152444,8260,2672,0,26705,8004,70842,211,0,3760,4386,4002,8501,0,9585,0,0,84,0,0,0,737,4695,112
1978:Q1,159366,7233,92621,59512,159254,8452,2897,0,28415,7929,73246,242,0,3877,4362,4605,8472,0,10968,0,0,210,0,0,0,660,4919,112
1978:Q2,169026,7136,99279,62611,168914,8340,3358,0,33040,8168,75914,331,0,3816,4525,4895,8423,0,11351,200,0,637,0,0,0,594,5322,112
1978:Q3,177607,6584,105268,65755,177495,8388,2779,0,34581,7950,80181,342,0,3745,4313,5831,9974,0,11921,400,0,355,0,0,0,528,6207,112
1978:Q4,187894,6221,111266,70407,187641,9657,2773,0,39495,7896,83297,409,0,3626,4887,6543,8681,0,13965,600,0,193,0,0,0,454,5165,253
1979:Q1,198574,5593,117354,75627,198321,11425,3364,0,42995,7464,85541,369,0,3457,5124,7121,9895,0,14432,1200,0,225,0,0,0,550,5159,253
1979:Q2,208211,5146,122559,80506,207958,11300,3430,0,46504,7761,88687,359,0,3236,5355,7988,10734,0,14496,1833,0,345,0,0,0,660,5270,253
1979:Q3,219355,5070,126976,87309,219102,12373,2570,0,50211,8224,91635,394,0,3022,5674,9023,12004,0,14065,3085,0,390,0,0,0,770,5662,253
1979:Q4,235238,4938,135522,94778,235143,12405,1800,0,59357,8216,95697,430,0,2658,5971,9381,12559,0,15360,4020,0,602,0,0,0,819,5868,95
1980:Q1,249123,4874,144295,99954,249028,16591,1933,0,61731,8211,98529,377,0,2125,5909,9870,13343,0,15981,3607,0,610,0,0,2358,836,7017,95
1980:Q2,257577,4685,148876,104016,257796,14552,1969,0,60336,8875,102994,354,0,2839,5836,9739,15027,0,17783,5725,0,707,0,0,3161,836,7063,-219
1980:Q3,265008,4573,150744,109691,265005,13534,1679,0,59467,8782,109313,353,0,3310,5775,10303,16447,0,18052,5399,0,766,0,0,3277,858,7690,3
1980:Q4,278330,4445,159926,113959,278371,13624,2205,0,59721,8739,115687,389,0,3328,6178,11144,18345,0,19083,4754,0,825,0,0,5017,859,8473,-41
1981:Q1,285034,4391,163383,117260,285036,8314,2243,0,60564,8722,119438,447,0,3451,6296,12256,20305,0,20201,6345,0,680,0,0,5906,814,9054,-2
1981:Q2,298481,4232,173398,120851,298408,9456,3864,0,62628,8694,122416,460,0,3396,6505,13667,22926,0,20948,7403,0,863,0,0,4672,801,9709,73
