date,FA893150005.Q,FA543150005.Q,FA574190005.Q,FA344090005.Q,FA224190005.Q,FA263150005.Q,FA893150005.Q,FA153050005.Q,FA543050005.Q,FA543151905.Q,FA893131573.Q,FA763131573.Q,FA473131573.Q,FA543131503.Q,FA633131573.Q,FA653131573.Q,FA153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6705,400,1380,4047,878,0,6705,6705,0,0,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,7057,500,1517,3946,1094,0,7057,7057,0,0,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1980:Q2,198228,21196,93892,43376,39764,0,198228,198228,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q3,218316,22460,109420,44228,42208,0,218316,218316,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q4,229836,24760,116644,45404,43028,0,229836,229836,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q1,193268,30740,73444,44756,44328,0,193268,193268,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q2,188020,24020,72640,45436,45924,0,188020,188020,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q3,196728,34848,67592,45928,48360,0,196728,196728,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q4,176620,28440,52916,46260,49004,0,176620,176620,0,0,ND,ND,ND,ND,ND,ND,ND
1982:Q1,189252,31520,61484,45852,50396,0,189252,189252,0,0,28868,17900,1300,2456,1292,1744,4176
1982:Q2,209836,38372,70756,48660,52048,0,209836,209836,0,0,28868,17900,1300,2456,1296,1744,4172
1982:Q3,234940,47604,83952,49548,53836,0,234940,234940,0,0,28868,17900,1300,2456,1296,1744,4172
1982:Q4,234524,41228,89908,48252,55136,0,234524,234524,0,0,28868,17900,1300,2456,1296,1744,4172
1983:Q1,242568,25084,113664,47928,55892,0,242568,242568,0,0,37292,23800,1600,3124,696,3800,4272
1983:Q2,278548,31400,136568,52332,58248,0,278548,278548,0,0,37292,23800,1600,3124,692,3800,4276
1983:Q3,261732,29608,121336,49952,60836,0,261732,261732,0,0,37292,23800,1600,3124,696,3800,4272
1983:Q4,292980,44556,132156,54068,62200,0,292980,292980,0,0,37292,23800,1600,3124,696,3800,4272
