1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1999:Q4,610589,86286,87921,5385,20595,16091,0,0,0,255594,130017,77589,47988,0,34401,22859,81457,5709621,6725,28013,0,3249379,3221095,28284,1115621,0,1115621,1115621,34956,72015,1202912,11048,6200,1179114,0,6550
2000:Q1,598546,85529,48487,5474,20226,15768,0,0,0,259021,130057,76700,52264,0,34731,25429,103882,5707199,6599,29003,0,3229741,3201973,27768,1096663,0,1096663,1096663,35248,78144,1231801,11048,6200,1207924,0,6629
2000:Q2,582505,88833,60162,5725,17846,15519,0,0,0,260012,129158,76749,54105,0,35128,26889,72392,5536818,6552,29979,0,3042751,3014524,28227,1104480,0,1104480,1104480,35904,79477,1237675,11046,4200,1215915,0,6514
2000:Q3,586812,84199,55735,6248,16198,15605,0,0,0,262017,128291,75184,58542,0,35444,27667,83700,5502570,6359,30811,0,2997849,2970228,27621,1109633,0,1109633,1109633,35958,80897,1241063,11046,3200,1220263,0,6554
2000:Q4,551038,82338,24271,6339,17487,15619,0,0,0,262524,127253,75609,59662,0,35839,28146,78475,5492745,6384,31643,0,2972108,2944782,27326,1117917,0,1117917,1117917,36396,77678,1250619,11046,2200,1230983,0,6390
2001:Q1,578438,79542,30666,8384,16346,14510,0,0,0,264419,125019,75014,64386,0,36352,31652,96567,5539005,6177,32271,0,2991135,2964368,26767,1130895,0,1130895,1130895,36555,80619,1261353,11046,2200,1241629,0,6478
2001:Q2,578147,83040,48951,9862,17219,14388,0,0,0,265130,123543,74904,66683,0,36822,33828,68908,5403335,6103,32670,0,2831779,2804731,27048,1144450,0,1144450,1144450,37148,81570,1269615,11044,2200,1250014,0,6357
2001:Q3,613147,89502,50562,11674,21001,15298,0,0,0,268107,123289,74053,70765,0,37157,37647,82200,5494023,6316,32957,0,2910863,2883903,26960,1147318,0,1147318,1147318,37155,84292,1275122,11045,2200,1255485,0,6392
2001:Q4,597182,83102,66852,10530,20422,14491,0,0,0,266422,119426,74526,72470,0,37460,35470,62434,5569153,6157,33017,0,2967569,2940792,26777,1177668,0,1177668,1177668,37781,80897,1266064,11045,2200,1246602,0,6217
2002:Q1,577641,92066,25212,15236,19647,14322,0,0,0,269725,119130,74503,76092,0,37887,35898,67649,5640409,6109,33630,0,3020626,2994298,26328,1163347,0,1163347,1163347,37713,82282,1296702,11044,2200,1277154,0,6304
