1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2022:Q3,3766998,431,9546,5546,439,25,3536,2226414,15078,1515529,3766998
2022:Q4,3785442,478,9763,5578,459,26,3700,2387641,15775,1371785,3785442
2023:Q1,3801518,526,9889,5597,471,27,3794,2342043,16177,1432883,3801518
2023:Q2,3816990,573,10617,6254,479,27,3857,2381131,16447,1408222,3816990
2023:Q3,3830867,620,10159,6129,581,21,3428,2423657,16278,1380153,3830867
2023:Q4,3847018,696,10480,6173,621,22,3664,2639431,17399,1179012,3847018
2024:Q1,3863258,772,10584,6187,634,23,3740,2631972,17759,1202171,3863258
2024:Q2,3878963,848,9611,5210,635,23,3743,2648733,17776,1201995,3878963
2024:Q3,3895352,925,11029,5940,866,26,4197,2693605,17094,1172699,3895352
2024:Q4,3910463,1001,10870,5905,845,25,4095,2881156,16679,1000757,3910463
2025:Q1,3925755,1077,10737,5876,827,25,4009,2842399,16329,1055213,3925755
