1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q2,4765,6224,2073,2073,4151,62455,-4052,1608,208,712,0,436,6248,1240,-1316,616,1156,4552,33092,8556,5576,13516,5444,4,6548,180,0,0,0,168,17303,58304,57168,-3776,5232,14196,808,0,-1724,5280,160,2624,2496,1644,2276,-632,20,1412,3436,23780,0,408,6452,1136,976,160,-1459
1960:Q3,4698,6007,2028,2028,3979,62031,6068,-924,220,-100,0,-304,24720,420,15116,648,3028,5508,23416,-632,3724,15440,4884,8,6932,156,0,0,0,140,1699,58052,56764,10068,4000,17452,4,0,-1340,3524,604,456,2464,656,-860,1516,8,1072,3000,23440,0,1840,-6960,1288,1092,196,-1309
1960:Q4,4826,7703,2004,2004,5699,59727,-4700,716,232,824,0,-2212,17444,-260,6688,1888,2600,6528,25640,4500,5284,13584,2272,4,6036,212,0,0,0,108,15423,54028,53556,-7676,-2732,20792,804,0,-3964,3956,520,524,2912,3612,356,3256,20,440,2500,23500,0,1664,10640,472,272,200,-2877
1961:Q1,5006,4415,1956,1956,2459,44347,-5192,492,260,520,0,3934,21008,4096,7020,1528,4920,3444,13276,-3900,616,12164,4396,0,2444,544,0,0,0,80,6981,41888,43252,-6020,7392,23120,352,0,4920,3636,3764,-1928,1800,-11296,-6564,-4732,20,1716,2668,23556,40,-248,-6604,-1364,-1864,500,591
1961:Q2,4853,7782,1999,1999,5783,66523,3544,-1196,268,308,0,-3994,13360,80,7000,360,-124,6044,22144,2712,5152,15116,-836,8,7164,188,0,0,0,60,24669,60740,61320,2996,-248,24044,512,0,-4088,1492,-780,1344,928,4272,-4,4276,4,1320,3084,23856,0,-2292,6368,-580,-692,112,-2929
1961:Q3,4884,4424,2033,2033,2391,74471,1536,3132,276,-364,0,4312,30328,272,18580,-380,7224,4632,29084,5360,4060,18272,1392,4,5680,192,0,0,0,48,243,72080,72972,4344,16764,17168,-528,0,5224,1036,-812,2168,-320,2312,3996,-1684,8,1548,3596,23812,0,-520,-1792,-892,-996,104,460
1961:Q4,4949,10650,2131,2131,8519,81663,7232,980,288,720,0,-5096,9008,-2520,-928,1896,3380,7180,44600,12652,7088,20752,4108,4,6848,216,0,0,0,48,16815,73144,75024,4612,812,18624,632,0,-5392,1644,-64,1228,480,9828,7848,1980,132,2100,4068,23736,0,-828,15056,-1880,-1876,-4,-5701
1962:Q1,5251,3940,2229,2229,1711,59003,-4624,-460,276,-292,0,6408,28116,5476,9144,2528,7180,3788,14928,-1408,-2464,15508,3292,12,6840,188,144,0,0,168,7299,57292,56784,-7768,5920,33216,-284,0,5676,5528,3252,1596,680,-9620,-5896,-3724,16,1656,4012,24164,40,1264,-7036,508,392,116,1311
1962:Q2,5507,4577,2310,2310,2267,74123,1464,-1244,284,336,0,-3520,13928,-420,-924,1948,6364,6960,33872,4576,1992,21288,6016,4,9780,180,352,0,0,232,18455,71856,71356,724,3312,27996,336,0,-4532,952,144,1444,-636,4648,-240,4888,4,1900,3828,23712,0,-392,8868,500,400,100,930
1962:Q3,5549,3958,2315,2315,1643,73063,4676,3356,300,-820,0,2836,8780,848,-196,-728,3724,5132,39704,8120,4108,22952,4524,4,5216,180,232,0,0,240,8359,71420,71620,8212,3536,21648,-836,0,3312,3080,1520,2356,-796,3724,2024,1700,8,560,3516,23372,40,1220,228,-200,-276,76,1591
1962:Q4,5412,9786,2243,2243,7543,101979,2592,2960,304,904,0,-2682,22000,-1752,6328,3696,5764,7964,53084,16616,6432,24064,5972,8,6660,200,88,0,0,192,15669,94436,94208,-4300,12112,31708,916,0,-2868,3016,-212,1152,2076,10292,10444,-152,-92,884,3212,23988,0,128,15212,228,16,212,-4374
1963:Q1,4952,3461,2146,2146,1315,51623,-7728,-3312,244,276,0,5050,22076,5308,6376,600,4036,5756,22044,-4372,-276,19640,7052,4,5792,224,16,0,0,152,6785,50308,49312,-5484,1072,33336,280,0,6060,2484,4136,-3300,1648,-11792,-5428,-6364,8,960,3696,25764,20,1024,-8116,996,880,116,1491
1963:Q2,4674,2773,2174,2174,599,94167,1708,-1340,248,-8,0,-4460,14684,1612,-444,540,5720,7256,52688,10248,9856,26244,6340,12,8840,192,-80,0,0,124,21559,93568,92372,1144,8588,27828,168,0,-4360,5680,1964,3788,-72,8932,3936,4996,-4,528,3956,26736,0,-2120,15296,1196,1124,72,1901
1963:Q3,4602,1107,2262,2262,-1155,84833,964,2920,256,-1060,0,2492,6112,68,-3484,628,3728,5172,52196,8660,7720,28312,7504,0,7216,264,-56,0,0,116,13413,85988,84764,2576,7760,22968,-1244,0,3032,2736,-708,2744,700,7932,5260,2672,4,1380,4248,27464,20,144,5744,1224,1124,100,3495
1963:Q4,4625,7132,2431,2431,4701,101821,4044,260,268,528,0,-2268,7576,-1716,-2024,152,4044,7120,61104,16448,8448,27772,8436,12,9316,280,40,0,0,132,20529,97120,96468,28,2240,34004,548,0,-3328,6948,-340,3360,3928,8200,5768,2432,64,1000,4524,28452,0,-644,14432,652,828,-176,-2507
1964:Q1,4603,5974,2665,2665,3309,61013,-1964,-688,328,-680,0,6064,17740,2916,5900,-1396,3088,7232,22680,-9808,2232,21780,8476,8,5612,296,120,0,0,144,11353,57704,57744,-240,6600,27320,-696,0,5612,7148,4964,-2180,4364,-10940,-12448,1508,0,240,4224,30072,40,1416,-13052,-40,-116,76,-1371
1964:Q2,4707,3656,2875,2875,781,103993,928,1800,332,708,0,-3784,13284,2328,-3220,1920,2632,9624,65956,22392,6640,27444,9480,4,8860,248,256,0,0,152,15249,103212,103048,-2292,9184,29580,704,0,-3568,6976,1668,3048,2260,11312,13788,-2476,4,1444,4252,31072,0,-956,15336,164,60,104,1051
