1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q3,15789,15789,15789,24953,23238,1715,-9164,2344,148,0,0,200,200,0,-412,0,-412,36,1760,612,612,0,0,11508,12028,10440,400,556,9484,4,1584,0,0,-520,16,-536
1967:Q4,16062,16062,16062,24770,24323,447,-8708,404,168,0,0,200,200,0,980,0,980,48,-1600,608,608,0,0,9112,11031,12679,2656,1883,8140,4,-1652,0,0,-1919,16,-1935
1968:Q1,16343,16343,16343,28861,25236,3625,-12518,-4608,124,0,0,200,200,0,-1120,0,-1120,44,-4516,660,660,0,0,7910,-2524,6552,464,1072,5016,4,-9080,0,0,10434,12,10422
1968:Q2,16657,16657,16657,31079,25691,5388,-14422,896,172,0,0,200,200,0,340,0,340,128,-628,684,684,0,0,15318,14311,13663,2500,363,10800,4,644,0,0,1008,12,996
1968:Q3,17002,17002,17002,27719,26490,1229,-10717,2684,176,0,0,200,200,0,-580,0,-580,32,2108,748,748,0,0,13401,12800,10428,368,508,9552,4,2368,0,0,601,16,585
1968:Q4,17377,17377,17377,27334,28172,-838,-9957,252,148,0,0,200,200,0,1280,0,1280,224,-2432,832,832,0,0,10209,10895,13243,2520,1239,9484,4,-2352,0,0,-686,16,-702
1969:Q1,17788,17788,17788,32710,29763,2947,-14922,2412,108,0,0,200,200,0,-1288,0,-1288,56,2408,928,928,0,0,17334,12061,11157,2944,1705,6508,4,900,0,0,5273,16,5257
1969:Q2,18180,18180,18180,32877,30536,2341,-14697,2328,80,0,0,200,200,0,548,400,148,116,352,1032,1032,0,0,17025,20395,18679,3180,1383,14116,4,1712,0,0,-3370,16,-3386
1969:Q3,18545,18545,18545,32061,31676,385,-13516,2880,64,0,0,200,200,0,72,400,-328,36,1440,1068,1068,0,0,16396,18663,16551,2944,1319,12288,8,2104,0,0,-2267,16,-2283
1969:Q4,18901,18901,18901,30791,31581,-790,-11890,280,64,0,0,200,200,0,1308,400,908,48,-2380,1040,1040,0,0,12170,12738,14882,1920,1798,11164,4,-2148,0,0,-568,20,-588
1970:Q1,19247,19247,19247,32965,31411,1554,-13718,2340,112,800,0,200,200,0,-792,400,-1192,56,884,1080,1080,0,0,16058,2658,-27922,-60,2158,-30020,4,84,0,30492,13401,28,13373
1970:Q2,19616,19616,19616,32555,31582,973,-12939,1860,108,1600,0,200,200,0,656,400,256,72,-1884,1108,1108,0,0,14799,18776,17428,1276,1212,14940,8,780,0,560,-3976,24,-4000
1970:Q3,20017,20017,20017,31500,32349,-849,-11483,2064,104,1600,0,200,200,0,808,400,408,24,-1768,1096,1096,0,0,13547,20407,19191,-144,999,18336,8,-160,0,1368,-6860,24,-6884
1970:Q4,20449,20449,20449,30120,33496,-3376,-9671,1264,112,1600,0,200,200,0,1396,400,996,96,-3180,1040,1040,0,0,10935,16463,17971,580,1663,15728,4,-3416,0,1904,-5528,28,-5556
1971:Q1,20926,20926,20926,38448,34698,3750,-17522,13600,112,1600,0,200,200,0,-392,1100,-1492,68,6840,5172,1172,0,4000,31122,25608,15980,2312,2472,11196,4,6608,0,3016,5514,8,5506
1971:Q2,21387,21387,21387,42004,37130,4874,-20617,8008,108,1600,0,200,200,0,1540,1200,340,80,-724,5204,1204,0,4000,28625,28935,28115,2552,1231,24332,4,-2044,1244,1616,-309,12,-321
1971:Q3,21852,21852,21852,41562,38311,3251,-19710,9840,136,1600,0,240,240,0,1064,1200,-136,24,1512,5264,1264,0,4000,29550,25417,21881,60,-67,21888,4,-660,1452,2740,4133,12,4121
1971:Q4,22313,22313,22313,37360,39272,-1912,-15047,7848,192,1600,0,160,160,0,2020,1200,820,144,-1628,5360,1360,0,4000,22895,26866,24298,3776,1066,19456,0,-3092,1452,4208,-3971,16,-3987
1972:Q1,22782,22782,22782,41759,41669,90,-18977,9420,240,1600,0,200,200,0,-164,1200,-1364,40,2052,5452,1452,0,4000,28397,25173,19137,1992,1965,15180,4,900,1452,3680,3225,16,3209
1972:Q2,23269,23269,23269,45474,42123,3351,-22205,10616,312,1600,0,200,200,0,1244,1100,144,140,752,6368,1568,0,4800,32821,42694,37962,4048,286,33628,4,2136,1452,1140,-9873,16,-9889
1972:Q3,23785,23785,23785,45521,42773,2748,-21736,11724,304,1600,0,200,200,0,956,1100,-144,28,2248,6388,1588,0,4800,33460,35197,28925,-324,1045,28204,4,2804,1452,2012,-1737,16,-1753
1972:Q4,24328,24328,24328,45425,45501,-76,-21097,8184,216,1600,0,200,200,0,2136,1100,1036,180,-2464,6316,1516,0,4800,29281,43608,39512,5308,1496,32708,4,-1264,1452,3904,-14327,20,-14347
1973:Q1,24903,24903,24903,45927,47907,-1980,-21024,12080,516,1624,0,132,132,0,-676,680,-1356,112,1880,8492,1468,0,7024,33104,43022,35842,6676,9494,19672,20,1832,1456,3872,-9918,84,-10002
1973:Q2,25571,25571,25571,55254,48728,6526,-29683,8656,544,1620,0,112,112,0,848,516,332,248,2052,3232,1388,0,1844,38339,36870,31238,6980,1534,22724,32,3592,1476,532,1469,124,1345
1973:Q3,26355,26355,26355,52364,48950,3414,-26009,7676,596,1608,0,60,60,0,-300,124,-424,208,2492,3012,1376,0,1636,33685,15866,8082,7796,1894,-1608,24,3744,1508,2508,17819,100,17719
1973:Q4,27243,27243,27243,53308,47637,5671,-26065,7896,588,1600,0,28,28,0,496,-180,676,112,2840,2232,1428,0,804,33961,8680,-3372,9212,1868,-14452,8,4264,1544,6236,25281,136,25145
1974:Q1,28251,28251,28251,44992,46281,-1289,-16741,10352,1764,2088,0,64,64,0,-988,276,-1264,92,5816,1516,1492,0,24,27093,48117,32985,9532,3781,19672,32,9056,1736,4308,-21023,120,-21143
1974:Q2,29318,29318,29318,48123,45229,2894,-18805,8932,964,1880,0,60,60,0,388,208,180,420,4368,852,1552,0,-700,27737,56300,44616,9632,2376,32608,32,6552,1668,3432,-28563,120,-28683
1974:Q3,30442,30442,30442,45350,44777,573,-14908,1800,-616,1364,0,48,48,0,-456,48,-504,196,756,508,1520,0,-1012,16708,50947,42399,8168,4519,29712,32,616,1488,6412,-34238,124,-34362
1974:Q4,31622,31622,31622,38137,42944,-4807,-6515,-2136,-1744,952,0,48,48,0,72,-100,172,196,-2132,472,1388,0,-916,4379,34156,28424,5876,3636,18912,28,-3804,1348,8160,-29777,128,-29905
1975:Q1,32846,32846,32846,45854,41082,4772,-13008,460,-120,372,0,-40,-40,0,-2212,-460,-1752,160,1620,680,1744,0,-1064,13468,28692,22896,4524,2512,15860,-4,1468,1208,3124,-15224,-16,-15208
1975:Q2,33893,33893,33893,42155,41116,1039,-8262,2208,220,348,0,-8,-8,0,-272,-328,56,124,1476,320,1812,0,-1492,10470,27446,24530,1840,4830,17860,-4,1768,1148,4,-16976,-16,-16960
1975:Q3,34752,34752,34752,42622,42139,483,-7870,2548,880,276,0,68,68,0,-532,-24,-508,124,1116,616,1884,0,-1268,10418,21709,17613,3276,4029,10308,-4,1524,996,1580,-11291,-16,-11275
1975:Q4,35441,35441,35441,45106,43029,2077,-9665,5548,1344,220,0,124,124,0,792,248,544,628,840,1600,2004,0,-404,15213,25140,16368,4240,4856,7272,-4,488,876,7412,-9926,-20,-9906
1976:Q1,35928,35928,35928,45666,44489,1177,-9738,3832,1104,472,0,-100,-100,0,-1020,296,-1316,228,-36,3184,2768,0,416,13570,35900,33424,5192,4724,23508,4,2468,1168,-1164,-22329,12,-22341
1976:Q2,36569,36569,36569,46901,45990,911,-10332,8184,1428,844,0,36,36,0,700,544,156,232,496,4448,3292,0,1156,18516,31695,26247,5092,3975,17180,4,3776,1172,496,-13179,12,-13191
1976:Q3,37337,37337,37337,50840,46904,3936,-13503,12024,2272,1768,0,376,376,0,628,1116,-488,144,1828,5008,3484,0,1524,25527,35230,29230,4744,6774,17712,0,2980,1188,1832,-9704,16,-9720
1976:Q4,38230,38230,38230,48316,49688,-1372,-10086,16988,2984,2524,0,652,652,0,2540,1640,900,508,2904,4876,3356,0,1520,27074,36795,29039,6804,4399,17836,-52,2784,1204,3820,-9721,64,-9785
1977:Q1,39223,39223,39223,51820,51320,500,-12597,9808,2148,1844,0,684,684,0,-600,676,-1276,304,116,5312,3620,0,1692,22405,52544,44048,7960,11296,24792,-4,6224,1120,1156,-30139,-12,-30127
1977:Q2,40306,40306,40306,61501,55022,6479,-21195,15660,2384,2160,0,768,768,0,532,948,-416,200,3792,5824,3800,0,2024,36855,47824,45656,9028,3844,32784,0,4900,1104,-3836,-10968,-16,-10952
1977:Q3,41456,41456,41456,64063,57142,6921,-22607,19276,2900,2952,0,980,980,0,760,1608,-848,72,5580,6032,3972,0,2060,41883,44457,39869,7980,4913,26976,-4,2692,1072,828,-2574,-12,-2562
1977:Q4,42667,42667,42667,70706,60051,10655,-28039,24288,3296,3592,0,1156,1156,0,2804,2200,604,508,7020,5912,4124,0,1788,52327,44614,41342,8320,5674,27348,4,580,1048,1640,7713,-24,7737
1978:Q1,43945,43945,43945,63800,61588,2212,-19855,19016,3192,2152,0,1280,1280,0,-68,1988,-2056,316,6332,5812,4264,0,1548,38871,53986,45326,11912,8426,24988,24,2136,376,6124,-15115,108,-15223
