1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000:Q3,1175585,521246,432,462916,57898,0,105206,210385,695,91203,70789,0,47698,305957,287326,1627,17004,0,32791,1384454,1124648,409096,341898,67198,8039,436907,153516,1940,17334,97816,259806,139885,119921,ND
2000:Q4,1230741,540633,477,481189,58967,0,111206,221998,569,94029,72703,0,54697,323423,304689,1606,17128,0,33481,1421767,1175322,433774,353686,80088,8740,439248,176198,1962,14709,100691,246445,107776,138669,ND
2001:Q1,1279647,572084,556,516734,54794,0,126383,225309,588,97915,75316,0,51490,322897,304310,1476,17111,0,32974,1468703,1227899,433937,367332,66605,8235,468263,189893,1819,15639,110113,240804,106560,134244,ND
2001:Q2,1244905,578717,460,527937,50320,0,95582,229728,0,102192,56905,0,70631,309327,291366,1222,16739,0,31551,1435808,1199619,438955,368193,70762,8072,471666,161106,1353,16289,102178,236189,109948,126241,ND
2001:Q3,1208962,536825,628,489205,46992,0,86357,238145,0,108594,56271,0,73280,307980,289181,910,17889,0,39655,1374748,1155600,424264,353140,71124,8503,449430,148941,1030,16674,106758,219148,109887,109261,ND
2001:Q4,1287800,611435,627,561321,49487,0,98864,241455,0,103830,50682,0,86943,304009,285132,1010,17867,0,32037,1445515,1244200,492357,412596,79761,9095,474020,161754,1089,16851,89034,201315,92597,108718,483115
2002:Q1,1302681,645568,563,590480,54525,0,84293,226922,0,94055,51681,0,81186,314065,294817,996,18252,0,31833,1470095,1274476,536296,443827,92469,8094,511412,129816,966,17098,70794,195619,93411,102208,519506
2002:Q2,1339092,664407,980,617684,45743,0,95372,242377,0,105714,55258,0,81405,302887,283444,850,18593,0,34049,1535711,1317272,525169,446154,79015,7456,506064,161502,939,16134,100008,218439,95035,123404,513520
2002:Q3,1305458,616444,942,567330,48172,0,103455,260775,0,114976,61487,0,84312,290519,270520,983,19016,0,34265,1504471,1291869,516554,439583,76971,7543,459522,181134,1066,15434,110616,212602,95948,116654,467065
2002:Q4,1357842,655433,1232,608181,46020,0,116376,264218,0,116699,61559,0,85960,285548,265935,624,18989,0,36267,1515613,1311298,542035,471973,70062,8444,426211,208098,655,16871,108984,204315,77024,127291,434655
2003:Q1,1361430,641108,1126,598553,41429,0,136369,272775,0,44507,60338,0,167930,275734,256203,531,19000,0,35444,1523590,1315175,508230,437424,70806,7951,434108,241972,538,16774,105602,208415,80942,127473,442059
2003:Q2,1416450,687615,1145,638243,48227,0,136767,279592,0,44497,63426,0,171669,267303,247320,440,19543,0,45173,1600515,1393369,549702,472344,77358,9599,426040,252927,458,16555,138088,207146,81035,126111,435639
2003:Q3,1370970,675010,2424,626329,46257,0,149984,261005,0,39872,55002,0,166131,251632,226959,484,24189,0,33339,1537596,1332884,532424,456541,75883,9086,428242,231458,470,15660,115544,204712,81784,122928,437328
2003:Q4,1336368,653510,854,602831,49825,0,142209,250722,0,33412,53263,0,164047,260356,242240,614,17502,0,29571,1529448,1285016,504630,427517,77113,9541,436448,207868,592,16350,109587,244432,109735,134697,445989
2004:Q1,1459107,739902,1114,684935,53853,0,172312,261743,0,36540,50463,0,174740,257134,238825,527,17782,0,28016,1658373,1389658,527450,444291,83159,9027,486421,239350,550,16641,110219,268715,109765,158950,495448
2004:Q2,1462678,755089,866,699115,55108,0,168995,253011,0,33488,53519,0,166004,252878,237263,552,15063,0,32705,1645251,1397309,523749,432248,91501,8569,500194,250442,576,16128,97651,247942,111464,136478,508763
