1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,28267,28267,0,0,28267,6757,0,0,625,50,16872,0,28,225,3497,16,11,0,0,0,186,0,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,33422,33422,0,0,33422,7274,0,0,710,100,19821,0,54,302,4943,25,16,0,0,0,177,0,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q3,274512,274512,0,0,274512,19749,3,0,6331,1784,196220,0,441,1087,28502,1799,2725,9298,1236,0,5211,126,ND,ND,ND,ND,ND,ND
1969:Q4,278689,278689,0,0,278689,21688,4,0,6361,1809,197730,0,449,1055,27649,1829,2750,10919,1369,0,4868,209,ND,ND,ND,ND,ND,ND
1970:Q1,280971,275814,1031,4126,280971,21107,7,0,6362,1845,198225,0,521,745,27777,1829,2800,12446,1522,0,5427,358,ND,ND,ND,ND,ND,ND
1970:Q2,284366,278674,1138,4554,284366,21053,9,0,6337,1847,200145,0,536,764,27448,1814,2913,13508,1686,0,5889,417,ND,ND,ND,ND,ND,279
1970:Q3,288349,282347,1200,4802,288349,21024,10,0,6293,1851,203137,0,551,784,27064,1791,2852,14883,2005,0,5625,479,ND,ND,ND,ND,ND,362
1970:Q4,292240,286015,1245,4980,292240,20988,12,0,6234,1884,205919,0,569,800,26739,1781,2862,15538,2532,0,5789,593,ND,ND,ND,ND,ND,446
1971:Q1,296349,289592,1351,5406,296349,21117,13,100,6038,1899,208922,0,590,813,26388,1732,2824,15305,3583,0,6369,656,ND,ND,ND,ND,ND,530
1971:Q2,303206,295363,1569,6274,303206,21260,15,225,5956,1901,214474,0,664,824,25827,1727,2828,15263,5041,0,6444,757,ND,ND,ND,ND,ND,613
1971:Q3,311379,302822,1711,6846,311379,21038,15,350,5871,1912,221683,0,670,835,25187,1624,2784,16724,5717,0,6241,728,ND,ND,ND,ND,ND,697
1971:Q4,318411,309454,1791,7166,318411,20691,16,475,5615,1978,227465,0,676,847,24645,1488,2950,17615,6717,0,6464,769,ND,ND,ND,ND,ND,781
1972:Q1,325753,316038,1943,7772,325753,20766,18,600,5660,1979,233926,0,680,881,24173,1334,2964,17930,7636,0,6338,868,ND,ND,ND,ND,ND,864
1972:Q2,335726,324462,2253,9011,335726,20516,22,700,5596,2051,242828,0,695,927,23621,1312,2927,18450,8681,0,6308,1092,ND,ND,ND,ND,ND,949
1972:Q3,347347,334408,2588,10351,347347,20361,22,800,5443,2057,253338,0,700,972,22936,1146,2949,18975,9587,0,7001,1060,ND,ND,ND,ND,ND,1032
1972:Q4,357381,343552,2766,11063,357381,19796,24,900,4981,2092,262798,0,698,1000,22315,1076,2999,19464,10701,0,7351,1186,ND,ND,ND,ND,ND,1115
1973:Q1,365955,351550,2881,11524,365955,19698,26,963,4781,2124,270911,0,656,1155,21857,916,3090,19939,11356,0,7203,1280,ND,ND,ND,ND,ND,1199
1973:Q2,378024,361814,3242,12968,378024,19560,26,1008,3868,2177,282257,0,615,1264,21276,882,3098,20534,12500,0,7673,1286,ND,ND,ND,ND,ND,1282
1973:Q3,389894,372134,3552,14208,389894,19647,33,1008,4557,2306,291991,0,663,1369,20742,864,3080,21840,12922,0,7246,1626,ND,ND,ND,ND,ND,1367
1973:Q4,399840,382218,3524,14098,399840,19616,38,975,4211,2642,298572,0,712,1441,20426,846,3166,22839,13636,0,8878,1842,ND,ND,ND,ND,ND,1450
1974:Q1,407909,389858,3610,14441,407909,20224,40,974,4005,2791,303864,0,695,1476,20104,840,3205,23056,15269,0,9384,1982,ND,ND,ND,ND,ND,1534
1974:Q2,418838,400439,3680,14719,418838,20740,40,970,4494,2915,311953,0,677,1471,19583,829,3165,24865,15799,0,9364,1973,ND,ND,ND,ND,ND,1617
1974:Q3,428859,411381,3496,13982,428859,22372,35,959,4551,3012,317985,0,765,1470,19232,825,3173,26980,17152,0,8626,1722,ND,ND,ND,ND,ND,1701
