1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2751,0,-794,-114,202,-10,0,212,-2762,-9250,18927,-3458,3440,18
1952:Q1,-6592,0,-21,-200,-2844,-1235,0,-1609,-3832,-1933,3068,-831,544,287
1952:Q2,3691,0,-202,-229,1951,574,0,1377,-981,-2214,5841,-475,375,100
1952:Q3,-6124,0,674,-632,-1398,150,14,-1562,-1539,-1916,-971,-342,411,-69
1952:Q4,-9842,0,-560,273,3304,-136,45,3395,2518,-2718,-11675,-983,1279,-296
1953:Q1,-12923,0,33,166,-2359,-559,47,-1847,-2911,-3402,-3860,-591,243,348
1953:Q2,-10292,0,-17,139,1218,405,49,764,1338,-3292,-8942,-736,621,115
1953:Q3,-8472,0,358,-813,-1413,17,56,-1486,-379,-1342,-4257,-626,689,-63
1953:Q4,15400,0,-508,643,2959,322,69,2568,2955,-1513,12723,-1859,2236,-377
1954:Q1,2567,0,-311,521,-2680,-518,59,-2221,-2351,-4120,11822,-314,-86,400
1954:Q2,13157,0,254,-51,807,225,26,556,678,-4020,16060,-571,388,183
1954:Q3,16180,0,258,-743,-1191,476,-19,-1648,-482,-229,19586,-1020,1102,-82
1954:Q4,5253,0,-736,780,3173,434,-81,2820,2699,-1133,1503,-1033,1508,-475
1955:Q1,-3784,0,-45,-309,-2152,222,-61,-2313,-3015,-4990,7578,-851,693,158
1955:Q2,22782,0,214,226,611,-903,35,1479,1115,-4506,24992,130,-613,483
1955:Q3,12895,0,289,-1212,-1797,61,139,-1997,122,235,15851,-593,696,-103
1955:Q4,7524,0,-444,174,3491,229,239,3023,3187,45,1919,-849,1361,-512
1956:Q1,8529,0,-102,348,-2039,118,259,-2416,-2682,-4592,17102,494,-765,271
1956:Q2,-12891,0,-133,430,753,-347,199,901,575,-5394,-9738,616,-1257,641
1956:Q3,-9350,0,618,-1667,-1092,168,146,-1406,-1622,236,-6471,648,-424,-224
1956:Q4,24659,0,-536,346,3203,428,100,2675,2682,-145,18866,243,415,-658
1957:Q1,-23455,0,-370,366,-2722,-489,107,-2340,-2794,-4102,-14420,587,-960,373
1957:Q2,16478,0,-7,999,402,-172,167,407,229,-4251,18506,601,-1306,705
1957:Q3,-32344,0,566,-2159,-1053,469,243,-1765,-448,-1101,-27642,-507,756,-249
1957:Q4,4507,0,-741,-53,3100,247,337,2516,4818,-1214,-1045,-358,1156,-798
1958:Q1,4394,0,-1003,118,-1691,61,310,-2062,-4806,-3174,14790,160,-477,317
1958:Q2,16632,0,-427,1890,922,-50,161,811,1713,-3690,16443,-219,-539,758
1958:Q3,26682,0,934,-1716,-2160,-126,36,-2070,-1342,-1738,33109,-405,635,-230
1958:Q4,17523,0,-110,602,3172,-42,-62,3276,3571,-1918,12429,-223,1031,-808
1959:Q1,4380,0,90,1460,-2867,-3,-139,-2725,-1521,-69,6860,427,-138,-289
1959:Q2,14725,0,335,530,287,-400,-196,883,269,-154,13137,321,-475,154
1959:Q3,-11053,0,658,-1253,-1384,407,-312,-1479,-1205,-49,-6426,-1394,1368,26
1959:Q4,29612,0,-644,236,3413,-8,-494,3915,3694,-12,22519,407,-556,149
1960:Q1,-28582,0,-148,1083,-2682,-239,-443,-2000,-3026,28,-23682,-155,344,-189
1960:Q2,10585,0,-6,-384,500,-293,-160,953,1123,442,8555,355,-649,294
1960:Q3,-30962,0,478,-413,-1622,178,229,-2029,-1650,-201,-27345,-209,230,-21
1960:Q4,51478,0,-489,-107,4220,173,603,3444,3295,590,42691,1278,-1228,-50
1961:Q1,43753,0,-504,18,-1519,39,622,-2179,-2757,232,47724,559,-500,-59
1961:Q2,-3236,0,-247,137,1191,-93,287,996,-986,-38,-2993,-300,-42,343
1961:Q3,10046,0,505,-381,-1774,-407,-18,-1349,-1802,-587,14232,-148,232,-84
1961:Q4,19619,0,63,540,3795,528,-295,3562,2988,-491,11974,750,-603,-147
1962:Q1,-2852,0,-1189,-189,-2925,-27,-334,-2564,-2254,1172,2695,-162,401,-240
1962:Q2,718,0,9,-52,1360,104,-139,1395,188,762,-1699,150,-431,281
1962:Q3,-3081,0,869,-836,-2454,-530,35,-1959,-1016,151,1373,-1168,1204,-37
1962:Q4,6424,0,-1146,184,4774,802,175,3797,3165,-974,-729,1150,-1202,52
1963:Q1,1291,0,-648,783,-2533,-66,194,-2661,-2797,862,4756,868,-654,-214
1963:Q2,462,0,271,8,1031,-313,85,1259,-727,-34,-945,858,-1256,397
1963:Q3,-1892,0,666,-857,-1612,377,-5,-1984,-834,-749,2912,-1418,1430,-13
1963:Q4,8230,0,-587,1481,4101,98,-86,4089,4494,-890,-1456,1087,-983,-104
1964:Q1,-4456,0,-472,175,-1574,251,406,-2231,-4095,1124,640,-253,294,-41
1964:Q2,851,0,-73,-1142,299,-482,-532,1313,-117,321,1197,366,-865,498
1964:Q3,-6809,0,1000,-654,-2399,-313,25,-2111,-2210,-651,-197,-1698,1777,-81
1964:Q4,11412,0,-1398,2201,3813,389,-837,4261,5202,-373,417,1551,-1253,-300
1965:Q1,-1297,0,354,-883,-2652,-163,983,-3472,-2842,759,2692,1276,-966,-312
1965:Q2,889,0,466,-603,1487,165,86,1236,-512,540,-1308,820,-1096,275
1965:Q3,-4938,0,72,-393,-2746,321,102,-3168,-2190,-396,3119,-2405,2467,-63
1965:Q4,3239,0,-756,277,5789,109,131,5549,4608,-101,-6061,-518,334,184
1966:Q1,-7194,0,-37,-424,-2477,-613,126,-1990,-4766,933,652,-1075,1739,-666
1966:Q2,-145,0,1058,-490,2486,-58,87,2456,-2130,576,-1381,-264,-142,405
1966:Q3,-7551,0,1252,-1968,-3019,-99,46,-2966,-2797,-434,2795,-3379,3182,196
1966:Q4,10676,0,-744,268,5318,757,4,4557,4979,-574,1904,-475,304,170
1967:Q1,-6582,0,-1481,1379,-5137,-200,-500,-4437,-5355,793,4240,-1021,1002,17
1967:Q2,1893,0,900,52,2041,-536,530,2047,-349,1302,-1090,-964,241,722
1967:Q3,-5988,0,1049,-553,-2517,1310,-762,-3065,-1711,-720,644,-2180,2387,-209
1967:Q4,8838,0,-492,944,5860,62,513,5285,4953,-745,-2366,684,-268,-418
1968:Q1,-8066,0,-1527,-1031,-4420,122,841,-5382,-5016,2133,2803,-1008,1428,-420
1968:Q2,3099,0,1876,1396,2408,-584,-281,3272,-766,-984,1044,-1874,1289,586
1968:Q3,-1048,0,425,-1688,-3016,822,60,-3898,-806,-406,6369,-1927,1927,-0
1968:Q4,13787,0,393,2142,9505,615,1353,7537,3282,-497,-2570,1532,-1511,-21
1969:Q1,-7002,0,-892,-1155,-5915,-420,44,-5539,-5628,13,7428,-852,1190,-338
1969:Q2,5304,0,3048,150,2722,-554,29,3247,-1071,2770,-1782,-533,-280,813
1969:Q3,1019,0,-1044,-4242,-2809,1558,22,-4389,-2253,-240,13594,-1987,1992,-5
1969:Q4,6053,0,-540,2092,5962,-1522,-1292,8776,5687,-867,-7859,1577,-1320,-257
1970:Q1,-9856,0,-643,-405,-7626,-764,3,-6865,-5512,-87,4846,-429,700,-271
1970:Q2,-1232,0,1031,4973,805,-431,5,1230,757,2700,-9722,-1775,1048,727
1970:Q3,-5900,0,495,-3414,-2750,182,1236,-4168,-326,-859,4307,-3352,3428,-76
1970:Q4,9802,0,-1049,800,9933,-16,-72,10020,6308,-1190,-4979,-21,167,-146
1971:Q1,-13234,0,815,1017,-7169,-537,-1261,-5371,-2614,-1091,-993,-3199,3767,-568
1971:Q2,-2352,0,-85,1500,3452,140,159,3153,-194,2429,-5971,-3483,2696,787
1971:Q3,-9378,0,-1421,-3613,-4772,132,-608,-4296,-1392,297,5427,-3904,3815,89
1971:Q4,6694,0,-1387,2292,9031,-108,628,8511,7550,-225,-11306,739,-759,20
1972:Q1,-19298,0,-2414,253,-5312,812,24,-6147,-7473,-1852,-1523,-977,1890,-913
1972:Q2,-2319,0,1593,1986,3995,-650,74,4571,-2669,3622,-6065,-4781,4175,606
1972:Q3,-13689,0,-2588,-2269,-4983,476,32,-5491,1405,637,-2594,-3298,3200,98
1972:Q4,-3554,0,-2538,2160,11561,-60,25,11596,7315,61,-23634,1521,-2104,583
1973:Q1,-43498,0,1195,-1783,-8702,444,33,-9179,-10815,-1279,-20050,-2064,3404,-1340
1973:Q2,2273,0,-1581,1963,4365,-490,48,4807,-56,3856,-1647,-4626,3613,1013
1973:Q3,-2898,-1500,3952,-3333,-5683,69,83,-5835,-3511,437,7148,-408,-12,420
1973:Q4,6333,0,-2941,-188,9910,227,124,9559,12953,-704,-13108,411,-860,449
1974:Q1,-13012,-500,-365,-4018,-9591,183,109,-9882,-10650,1059,12159,-1106,1631,-525
1974:Q2,19288,0,4086,8077,5260,-753,34,5978,-3583,4747,4797,-4095,2746,1349
