1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q2,2987,2987,2987,4880,4535,345,-1893,-380,9,0,0,0,0,0,243,0,243,1,-656,23,23,0,0,1513,2166,2438,530,190,1718,0,-272,0,0,-653,1,-654
1962:Q3,3010,3010,3010,5013,4621,392,-2003,124,-2,0,0,0,0,0,-1,0,-1,16,85,26,26,0,0,2127,1921,1745,185,14,1546,1,175,0,0,206,0,206
1962:Q4,3030,3030,3030,4898,4644,255,-1868,-367,-21,0,0,0,0,0,296,0,296,4,-691,45,45,0,0,1501,887,1603,241,-70,1432,0,-716,0,0,613,1,612
1963:Q1,3048,3048,3048,5446,4717,729,-2398,393,-24,0,0,0,0,0,-349,0,-349,5,687,74,74,0,0,2791,2396,1901,66,490,1345,0,495,0,0,395,1,394
1963:Q2,3070,3070,3070,5269,4991,278,-2199,-186,-51,0,0,0,0,0,212,0,212,0,-447,100,100,0,0,2013,2360,2820,582,195,2043,0,-460,0,0,-347,1,-348
1963:Q3,3095,3095,3095,5298,5108,190,-2202,110,-49,0,0,0,0,0,46,0,46,19,-5,99,99,0,0,2312,1617,1959,129,37,1793,1,-343,0,0,696,1,695
1963:Q4,3125,3125,3125,5650,5263,387,-2526,-357,-21,0,0,0,0,0,329,0,329,4,-736,67,67,0,0,2169,908,1990,380,103,1507,0,-1082,0,0,1261,2,1259
1964:Q1,3157,3157,3157,5595,5443,152,-2438,426,1,0,0,0,0,0,-287,0,-287,5,613,94,94,0,0,2864,2360,1837,180,439,1218,1,522,0,0,504,1,503
1964:Q2,3195,3195,3195,5436,5426,10,-2241,148,29,0,0,0,0,0,138,0,138,1,-120,100,100,0,0,2389,2848,2868,482,322,2064,0,-20,0,0,-459,2,-461
1964:Q3,3235,3235,3235,5357,5442,-85,-2123,404,39,0,0,0,0,0,33,0,33,21,207,104,104,0,0,2527,2065,2073,136,67,1870,1,-9,0,0,462,1,461
1964:Q4,3279,3279,3279,5508,5445,63,-2229,-70,33,0,0,0,0,0,342,0,342,8,-555,102,102,0,0,2159,469,1518,-51,13,1556,0,-1049,0,0,1689,2,1687
