1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991:Q3,733987,9071,359831,190234,14795,64435,78111,8435,24458,45059,106,-18750,3213,145223,156048,3043,-13868,786309,704764,485325,18212,91588,18954,72634,1188,6202,687,101562,66028,29446,6088,81545,13980,4514,5644,16774,40633,131966,0,52976,0,0,13038,32507,33445
1991:Q4,725379,10191,319012,187218,13958,61386,74042,9448,28384,55066,128,-16899,4298,166365,176794,3082,-13511,786405,695767,441925,19000,117597,22136,95461,1152,6785,850,108458,73857,27880,6721,90638,18202,5614,5680,16655,44487,126521,0,50791,0,0,12500,31166,32064
1992:Q1,736879,9976,336591,179204,13573,54769,72303,7866,30693,51227,177,-22602,4448,177858,195789,3100,-21031,802368,705940,462400,19686,99811,21357,78454,1163,6002,877,116001,77797,27663,10541,96428,17893,5799,5685,17359,49692,141827,0,56935,0,0,14013,34936,35943
1992:Q2,809304,10313,378374,214977,16668,69306,87053,10120,31830,56332,193,-26619,4695,171039,196904,3047,-28912,874031,776127,507136,23104,108545,21645,86900,1206,6432,908,128796,87572,24679,16545,97904,16239,5910,5521,17445,52789,159560,0,64054,0,0,15765,39305,40436
1992:Q3,900447,10651,401339,236985,16195,74754,96594,9364,40078,55840,191,-33083,4751,223773,247655,3109,-26991,972816,867102,579111,22706,109574,22725,86849,1188,6554,979,146990,103387,27206,16397,105714,16780,5956,6048,17859,59071,183310,0,73588,0,0,18111,45155,46456
1992:Q4,866870,10367,407726,206084,15200,61889,83309,11313,34373,53474,297,-26319,6208,209033,230946,3271,-25184,946333,832624,567447,21694,110928,25380,85548,1055,7389,888,123223,77412,23386,22425,113709,20111,5320,5889,18726,63663,166857,0,66983,0,0,16485,41102,42287
1993:Q1,963082,11086,439658,238674,15752,73865,98649,9904,40504,59775,331,-32429,6402,239585,267127,2673,-30215,1061642,927147,626314,19323,124191,23131,101060,1784,8101,1091,146343,107443,15780,23120,134495,29157,8725,6875,19868,69870,195819,0,78610,0,0,19347,48236,49626
1993:Q2,982082,10872,447275,248515,15267,77936,98508,14351,42453,59048,427,-27028,7001,235972,259453,2748,-26229,1090701,945748,623513,22754,140472,27947,112525,2602,9931,1067,145409,95962,17881,31566,144953,30006,12050,6516,20377,76004,187720,0,75358,0,0,18547,46241,47574
1993:Q3,1075908,11007,504000,264409,14642,76758,108725,14216,50068,67376,393,-32545,7042,254226,287292,1878,-34944,1194802,1034798,690693,26419,138895,29237,109658,3444,10437,1447,163463,109374,16904,37185,160004,36563,15352,7255,21591,79243,219455,0,88098,0,0,21682,54059,55616
1993:Q4,1078672,12281,490861,240732,14868,61499,94589,17133,52643,76123,351,-26620,5951,278993,306138,2005,-29150,1205139,1036831,675444,33734,144784,32473,112311,5675,10069,1401,165724,109033,25392,31299,168308,32738,24621,6966,23142,80841,206497,0,82896,0,0,20402,50867,52332
