1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2002:Q3,7310961,261473,21329,76971,163173,37850,28644,299852,1518240,0,84912,962927,556619,0,156353,0,249955,125952,344449,22991,0,66264,0,255194,4477675,1123570,3775,2695680,654650,4970,16904,64792,41587,22134,0,536839,7383261,6679265,339454,396,177,39903,298978,617416,3977174,562862,98806,3810,94996,459758,109556,514239,57560,456679,703996,106513,597483,0,1360292
2002:Q4,7470162,246502,20564,70062,155876,47818,27610,284790,1565065,0,95557,997503,567589,0,159057,0,270857,126994,345011,22562,0,67387,0,255062,4586512,1111803,3930,2799504,671275,4826,19154,48663,41910,26739,0,570572,7559921,6835580,378133,418,40,34738,342937,627957,4059101,587090,101496,3949,97547,458299,98246,525258,57045,468213,724341,117859,606482,0,1446307
2003:Q1,7768219,383659,24974,70806,287879,38532,30492,323880,1629640,0,98536,1052165,606220,0,179535,0,266410,128576,350363,20118,0,79956,0,250289,4637747,1097804,4270,2873823,661850,4670,18931,50803,43052,22165,0,584648,7832266,7110908,499238,-1197,30,34071,466334,596706,4182697,611386,103758,4282,99476,462322,104578,550223,59675,490548,721358,103268,618090,0,1531118
2003:Q2,8002448,385493,25711,77358,282424,39540,30843,338929,1684747,0,87902,1128376,668118,0,179334,0,280924,132711,335758,19783,0,78842,0,237133,4760765,1095440,4108,2983768,677449,4955,21944,51936,43445,23091,0,616760,8069965,7315060,460376,-525,768,28963,431170,643449,4283569,654343,105590,4118,101472,471236,106235,590262,60954,529308,754905,121087,633818,0,1650013
2003:Q3,8043694,358934,25892,75883,257159,40361,28438,329701,1641190,0,92410,1065739,608358,0,158472,0,298909,137998,345043,21400,0,84155,0,239488,4850532,1092763,3783,3067162,686824,5016,23629,52556,43973,20007,0,649357,8102352,7336675,479124,-496,174,40071,439375,625406,4314932,599795,106070,3798,102272,473845,99530,637973,62713,575260,765677,128921,636756,0,1655771
2003:Q4,8162365,356262,21206,77113,257943,47951,20505,291307,1728159,0,105691,1105198,605239,0,185834,0,314125,138750,378520,22886,0,98333,0,257301,4944112,1109180,3751,3083918,747263,4890,25204,68968,43995,19718,0,611294,8198794,7414734,497233,-319,62,37390,460100,666445,4375320,575710,107789,3775,104014,484361,101479,606397,64760,541637,784060,139461,644599,0,1675073
2004:Q1,8418162,375678,22715,83159,269804,40957,24894,311066,1846098,0,112564,1213226,696251,0,210832,0,306143,140039,380269,22823,0,134779,0,222667,5049902,1094758,3337,3212306,739501,5118,26437,71531,45665,19150,0,601666,8451737,7628513,503581,-589,64,51277,452829,661148,4513932,615338,107878,3347,104531,500075,108662,617899,65110,552789,823224,159115,664109,0,1764198
2004:Q2,8647035,381514,27693,91501,262320,43347,19064,308450,1850290,0,110060,1220993,705415,0,200244,0,315334,143340,375897,22056,0,131595,0,222246,5225210,1113996,3856,3358654,748704,5385,25573,74290,46921,18370,0,648621,8657297,7825477,548882,163,323,61678,486718,686097,4612548,634207,111755,3867,107888,539598,90646,601744,66342,535402,831820,140328,691492,0,1833624
2004:Q3,8855298,384268,22619,94011,267638,42019,17869,330642,1804553,0,90719,1158837,659576,0,194826,0,304435,146009,408988,25271,0,138900,0,244817,5375414,1126137,3356,3480427,765494,5429,25367,75156,48170,17713,0,728698,8854080,7936327,522280,1839,236,64729,455476,667910,4721532,661241,112788,3374,109414,535540,107048,607988,67764,540224,917753,145576,772177,0,1905050
2004:Q4,9062275,362250,22366,98720,241164,41528,18384,327131,1788084,0,82612,1132536,672081,0,180109,0,280346,147840,425096,27109,0,148475,0,249512,5550590,1147018,3300,3604702,795570,6843,26346,112858,48648,18557,0,761056,9084395,8142227,545703,925,43,72432,472303,705685,4828559,612455,120238,3357,116881,553079,113248,663260,73149,590111,942168,138910,803258,0,1998471
2005:Q1,9248499,353812,23111,106094,224607,42128,18186,325144,1926439,0,95664,1225269,717831,0,208786,0,298652,152685,452821,29241,0,165314,0,258266,5627551,1142745,3403,3707508,773895,6785,25434,113254,49665,16401,0,743700,9207883,8257351,533630,-1413,52,71831,463160,679041,4956212,614942,124776,3446,121330,557534,106567,684649,55811,628838,950532,133608,816924,0,2046145
2005:Q2,9434879,400422,21002,88055,291365,45314,17819,277143,1918261,0,85262,1199512,698043,0,200751,0,300718,155957,477530,31968,0,179798,0,265764,5818525,1184780,3353,3852410,777982,6573,26451,113289,51024,15189,0,744869,9401299,8423905,572298,-977,235,54286,518754,690863,5038701,637427,125339,3386,121953,589488,106051,663738,58294,605444,977394,138802,838592,0,2071254
