1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q1,1235,1510,-3697,-134,1587,1969,1235,-1547,0,534,-3668,1587,2503,174,43,-164,1,0,2449,0,0,0,0,279,1235,4733,5348,-982,0,45,322,-3884,-1477,-4888,-34,3,2,304,462,332,0,493,0,49,100,0,204,0,0,0,-595,0,1161,386
1960:Q2,1398,148,-2126,631,1105,1640,1398,-35,0,1011,-2151,1105,1308,13,3,654,2,0,636,0,0,0,0,125,1398,-699,798,-1849,0,-31,383,2199,1155,-504,1,7,2,231,333,279,0,379,0,71,57,0,-119,0,0,0,259,0,48,-102
1960:Q3,4893,390,1905,-447,1571,1474,4893,3932,0,1017,1344,1571,885,231,58,116,-2,0,482,0,0,0,0,76,4893,-1904,-647,-1694,0,-12,449,6451,160,4162,-18,8,2,189,571,353,0,281,0,87,51,0,13,0,0,0,509,0,83,346
1960:Q4,5877,131,2120,427,1047,2152,5877,4777,0,1314,2416,1047,1003,290,72,134,-3,0,510,0,0,0,0,97,5877,-1184,-703,-794,0,33,280,6787,550,4300,31,1,4,168,503,521,0,439,0,37,27,0,44,0,0,0,486,0,-324,274
1961:Q1,234,787,-2662,-236,1449,896,234,-752,0,215,-2416,1449,901,164,42,-482,0,0,1177,0,0,0,0,85,234,-1762,-1364,-535,0,-1,138,1952,-615,599,141,4,4,198,680,130,0,555,0,48,68,0,263,0,0,0,-684,0,561,44
1961:Q2,3451,-101,306,58,830,2358,3451,2914,0,2056,28,830,364,33,8,337,-1,0,-13,0,0,0,0,173,3451,64,114,-239,0,-23,212,3750,606,1574,41,2,5,227,527,398,0,443,0,-55,-19,0,-49,0,0,0,176,0,-126,-363
1961:Q3,7922,91,5047,322,1768,694,7922,7593,0,998,4827,1768,262,122,30,498,44,0,-432,0,0,0,0,67,7922,-616,467,-1292,0,24,185,7842,-125,6011,93,1,5,269,728,272,0,418,0,124,-28,0,-73,0,0,0,142,0,5,696
1961:Q4,7043,75,3165,866,1331,1606,7043,6506,0,1451,3724,1331,425,211,53,261,46,0,-146,0,0,0,0,112,7043,2084,1016,856,0,-2,214,4882,1866,1931,-186,-4,6,315,442,415,0,333,0,289,-22,0,-216,0,0,0,518,0,-805,77
1962:Q1,4521,842,96,698,1688,1197,4521,2946,0,863,395,1688,1374,-150,-37,377,22,0,1162,0,0,0,0,201,4521,480,-25,565,0,3,-63,3828,-170,104,214,2,5,343,1020,274,0,644,0,-29,35,0,533,0,0,0,-191,0,1044,213
1962:Q2,2979,-8,-293,414,1166,1700,2979,2431,0,1505,-240,1166,233,-126,-32,337,24,0,30,0,0,0,0,315,2979,-1152,-244,-1172,0,-30,294,3689,853,997,283,2,4,409,664,452,0,418,0,-62,-42,0,-358,0,0,0,116,0,-47,442
1962:Q3,3354,651,892,-10,1349,472,3354,2490,0,848,293,1349,770,-49,-12,552,37,0,242,0,0,0,0,94,3354,440,1161,-1133,0,-3,415,2254,-637,656,-124,3,5,401,785,200,0,423,0,242,-29,0,28,0,0,0,46,0,255,660
1962:Q4,8962,-205,4853,1078,1248,1988,8962,7811,0,920,5643,1248,767,298,74,248,40,0,107,0,0,0,0,384,8962,109,-1047,495,0,-5,666,8435,1714,4632,-211,4,6,323,321,503,0,298,0,43,14,0,170,0,0,0,950,0,-332,418
1963:Q1,3507,1040,73,-624,1176,1842,3507,2402,0,952,274,1176,611,-49,-12,-865,40,0,1497,0,0,0,0,494,3507,1023,-3732,4172,0,10,573,2340,-164,160,17,14,10,250,849,380,0,417,0,3,122,0,440,0,0,0,-1041,0,883,144
1963:Q2,3578,261,-733,697,1748,1605,3578,1654,0,889,-983,1748,1417,87,22,905,42,0,361,0,0,0,0,507,3578,-938,-859,-415,0,49,287,3765,1484,-65,-34,23,12,188,478,432,0,631,0,-159,115,0,126,0,0,0,49,0,485,751
1963:Q3,2268,-55,239,133,1175,776,2268,1515,0,654,-314,1175,682,45,2,672,14,0,-51,0,0,0,0,71,2268,365,361,-323,0,-18,345,1565,173,-639,-233,21,12,167,655,447,0,475,0,232,123,0,-488,0,0,0,230,0,390,338
1963:Q4,7169,-213,2878,1271,1141,2092,7169,5496,0,1046,3309,1141,1752,344,37,824,16,0,531,0,0,0,0,-79,7169,2364,1653,475,0,-12,248,4942,1629,2318,-69,9,11,183,379,325,0,452,0,104,86,0,334,0,0,0,-281,0,-538,-137
1964:Q1,3641,1214,309,-676,1137,1657,3641,1972,0,657,178,1137,1780,358,43,-571,26,0,1924,0,0,0,0,-111,3641,2734,1579,1146,0,-8,17,1286,-429,-354,10,-1,8,192,695,447,0,716,0,71,134,0,-198,0,0,0,-442,0,437,-379
1964:Q2,3287,353,-1715,890,1771,1988,3287,1396,0,1212,-1587,1771,1739,151,9,732,30,0,817,0,0,0,0,152,3287,-235,212,-638,0,-7,198,3417,1294,-1434,-3,-9,6,187,412,371,0,727,0,198,46,0,46,0,0,0,778,0,798,105
1964:Q3,6148,459,2696,-56,1812,1237,6148,5209,0,888,2509,1812,983,166,5,110,21,0,681,0,0,0,0,-44,6148,520,939,-926,0,6,501,4955,492,2996,141,-10,6,193,569,291,0,494,0,83,31,0,-205,0,0,0,307,0,-433,673
1964:Q4,8721,126,3266,1209,1400,2720,8721,7105,0,1394,4311,1400,1146,265,43,142,22,0,674,0,0,0,0,470,8721,985,490,-219,0,-8,722,7120,1556,3955,-72,-11,5,215,204,680,0,374,0,22,17,0,-85,0,0,0,110,0,150,616
1965:Q1,3353,674,-593,257,1501,1514,3353,1650,0,656,-507,1501,1613,71,-12,119,52,0,1383,0,0,0,0,90,3353,1676,1143,199,0,6,328,2093,619,-2159,43,1,5,218,755,540,0,799,0,348,80,0,251,0,0,0,-570,0,1163,-416
1965:Q2,1976,356,-3202,890,2197,1735,1976,132,0,1479,-3544,2197,1774,622,6,1178,54,0,-86,0,0,0,0,70,1976,-1340,-261,-1542,0,7,456,3611,1519,-738,-31,4,2,206,426,259,0,635,0,-96,-19,0,-81,0,0,0,1028,0,497,-295
1965:Q3,3345,319,-1520,860,2047,1639,3345,2721,0,1892,-1218,2047,482,-6,-9,491,67,0,-61,0,0,0,0,142,3345,1700,1312,-350,0,22,716,1274,577,464,83,6,5,246,770,137,0,407,0,373,-28,0,-100,0,0,0,-1411,0,-255,371
1965:Q4,8805,-484,5573,595,1492,1629,8805,7964,0,497,5975,1492,683,136,16,121,72,0,338,0,0,0,0,158,8805,764,-631,594,0,-2,803,7224,1273,4060,24,7,15,337,238,362,0,419,0,39,-23,0,64,0,0,0,728,0,-319,817
1966:Q1,8307,1730,-65,1484,1445,3713,8307,4806,0,2986,375,1445,3142,40,-1,964,80,0,2059,0,0,0,0,359,8307,7753,6587,861,0,22,283,1117,-327,-2253,-45,15,25,272,1260,988,0,842,0,447,52,0,-20,0,0,0,-844,0,705,-563
1966:Q2,3031,89,-6549,4173,2299,3019,3031,-123,0,2608,-5030,2299,3019,86,7,2570,84,0,272,0,0,0,0,135,3031,-30,1049,-1372,0,39,254,2826,1681,-1586,-71,21,36,396,121,330,0,584,0,270,-31,0,311,0,0,0,698,0,66,235
