1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2018:Q2,8377072,30321,2286,82719,4790,925259,33331,307321,118458,4057,462092,9425,2707756,292300,4322216,4112058,210158,8451788
2018:Q3,8441753,29959,2259,81995,4733,921358,32671,301734,116304,3387,467262,12541,2779599,285511,4323798,4118521,205277,8516967
2018:Q4,8512134,28559,2153,79191,4512,953592,30116,367854,141791,4029,409802,12329,2478604,270505,4682689,4488201,194488,8582145
2019:Q1,8530699,19405,11,21638,3720,1056909,19597,357618,144296,0,535398,9672,2408245,127351,4883748,4340724,543024,8658655
2019:Q2,8614207,24531,1818,16487,3358,1040777,17009,386491,147829,0,489448,8962,2376360,92958,5048956,4269691,779265,8735165
2019:Q3,8682265,29879,1875,16765,11653,1003180,11784,342932,179030,0,469434,9101,2451173,175792,4982847,4321355,661492,8811676
2019:Q4,8744103,22364,4253,21338,6807,966978,12531,333436,169002,0,452009,7977,2555426,170561,4988399,4167604,820795,8888186
2020:Q1,8839813,21934,4035,28865,6635,984144,16575,330431,177766,0,459372,8427,2178980,140672,5466121,4732717,733404,8954777
2020:Q2,8875324,20386,2554,27364,4198,1015913,10505,290066,187853,0,527489,7442,2385957,152063,5259447,4422736,836711,9021368
2020:Q3,8941581,21718,2242,28506,2936,1047826,10510,317957,198167,0,521192,7731,2592344,160584,5077694,4327932,749762,9087959
2020:Q4,9015773,28659,2243,21748,7991,1098234,8805,354404,194023,0,541002,7096,2906142,201222,4742438,3940138,802300,9154550
2021:Q1,9072654,24957,2211,23474,18428,1087914,15390,345802,192905,0,533817,7463,2968699,181637,4757871,3906654,851217,9226965
2021:Q2,9137591,25700,2292,21285,23765,1165628,17843,395522,190553,0,561710,7143,3107705,177651,4606422,3735445,870977,9299381
2021:Q3,9207944,31905,1900,28968,14833,1152481,19311,390479,197262,0,545429,6832,3073029,182671,4715325,3845191,870134,9371796
2021:Q4,9269271,28364,2380,25181,27654,1194295,20515,413636,198487,0,561657,6802,3369814,93203,4521578,3571344,950234,9444211
2022:Q1,9047929,27844,161,23379,20303,1147473,23520,381904,194907,0,547142,6752,3257292,92071,4472654,3519991,952663,9245165
2022:Q2,8882207,27599,1832,19422,20965,1091981,24002,368450,184529,0,515000,7142,2945987,91732,4675547,3687228,988319,9046120
2022:Q3,8685120,25815,86,20098,34096,1034001,14619,336773,168696,0,513913,7805,2784576,87272,4691371,3702464,988907,8847074
2022:Q4,8429550,26336,6379,21007,48067,1028249,11212,322483,163321,0,531233,6492,2963478,52370,4277172,3299280,977892,8648028
2023:Q1,8562315,24626,2778,20459,54499,1084883,11400,354662,152661,0,566160,6593,2926786,109596,4332095,3294744,1037351,8712888
2023:Q2,8626884,28720,43,14009,17611,1063200,11746,350375,166862,0,534217,5686,3072549,79608,4345458,3258697,1086761,8777749
2023:Q3,8692677,29403,2775,16391,53568,1031391,13226,365222,149581,0,503362,5436,2991323,70230,4492160,3437961,1054199,8842609
