1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1980:Q1,349,863,10460,-6572,800,-1780,-5592,0,1924,44,-80,228,-212,124,-16,15108,9916,3624,1568,8,-52,11016,9700,16064,9624,6440,-17796,-1316,4580,3632,344,4192,1316,1316,0,42,ND
1980:Q2,366,832,32564,21604,88,29788,-8272,76,2604,-776,-1008,460,-92,300,-436,7496,2804,3128,1564,-40,1600,15644,12992,14568,2996,11572,-5152,-508,2380,2236,168,-700,2652,652,2000,-17386,ND
1980:Q3,383,857,29188,17196,-1104,8764,9536,4,940,4176,2616,1288,-4,192,84,5032,3004,868,1160,16,1824,45920,42896,31312,21576,9736,4460,13424,-10232,3368,228,336,3024,868,2156,16258,ND
1980:Q4,400,889,63824,31408,828,29172,1408,4,3684,2632,1604,332,144,8,544,23068,23744,-1672,996,-32,3060,68868,71752,50384,19628,30756,-3868,19972,4808,-1640,924,1172,-2884,-200,-2684,4555,ND
1981:Q1,404,920,-3480,-13488,752,-26920,12680,0,-4692,784,748,-748,232,4,548,12216,7000,3696,1520,-100,1800,12540,9124,-5208,-19476,14268,-3196,5252,6572,3744,188,1772,3416,720,2696,15504,ND
1981:Q2,424,956,100036,78576,948,20232,57396,8,7428,2704,1852,112,52,-148,836,10040,5324,2732,1984,-48,1328,88456,93844,97700,21440,76260,-1852,2664,-6928,3596,460,-1796,-5388,1776,-7164,-12112,ND
1981:Q3,442,994,36616,17524,1092,19608,-3176,-4,388,556,344,240,776,-12,-792,12400,11692,-784,1492,8,5744,62676,60724,40844,29852,10992,-4124,12368,6800,1100,324,3412,1952,1244,708,25508,ND
1981:Q4,461,1023,2768,-26224,-404,67500,-93320,0,11516,5428,1232,2044,-256,-128,2536,9964,1460,6548,1956,-64,2148,-1860,-3316,-76228,-784,-75444,-15404,54572,26200,4424,208,2912,1456,2824,-1368,-5190,ND
1982:Q1,456,1013,52492,25824,308,26216,-700,8,-10268,-812,-2092,664,-40,-112,768,31348,25612,4380,1356,28,6364,50304,45156,-15168,-8244,-6924,-5956,57920,-344,6160,-212,2756,5148,1804,3344,-2745,ND
1982:Q2,475,986,62992,29372,-324,22932,6764,8,3216,-232,-80,-1068,8,-72,980,29540,27180,776,1584,-12,1100,81832,74432,16932,7720,9212,908,47020,-1232,3388,580,6836,7400,1012,6388,18329,ND
1982:Q3,492,963,43228,40976,940,19116,20920,0,-12232,540,-144,-172,60,-16,812,12708,15540,-3732,900,8,1228,83084,75224,35744,-6348,42092,-3348,36688,14472,-5216,392,-3508,7860,968,6892,39385,ND
1982:Q4,509,945,33444,11256,464,15688,-4896,-8,9960,3768,-480,3836,-32,0,444,-276,-2384,1636,472,16,8728,-3056,5128,-10068,-3848,-6220,1656,23976,-10204,1868,632,-2732,-8184,864,-9048,-36936,ND
1983:Q1,498,861,15768,10248,656,-112,9704,0,4908,1628,-2488,3552,-136,0,700,13984,13540,320,124,36,-15036,5836,8224,36496,15820,20676,-1896,-28676,1200,532,100,468,-2388,788,-3176,-10295,ND
1983:Q2,514,878,1068,3740,-2344,3476,2608,4,796,4960,1796,3116,-128,-460,636,-5396,-5020,-172,-204,4,-3040,23036,20672,-15108,-6948,-8160,3300,35772,1084,-1708,276,-2944,2364,-8,2372,21604,ND
1983:Q3,531,918,49296,21500,-1212,8336,14376,-4,-11436,580,-348,-1560,376,400,1712,33972,30136,4400,-564,-12,4696,64128,64128,33384,2832,30552,-2080,19432,3016,6012,656,3708,0,1028,-1028,14445,ND
1983:Q4,548,983,9936,-8692,236,-5140,-3788,12,12664,2992,-424,1424,124,-328,2196,3936,-1888,4396,1428,-24,-952,80212,68872,19940,23776,-3836,2004,56576,-14096,4112,-160,496,11340,748,10592,69841,ND
1984:Q1,516,941,56216,41532,-388,17708,24212,-8,-4916,-2640,-3796,-828,-180,-48,2212,17728,14732,6068,-3072,8,4512,5116,4796,-8732,-22280,13548,-372,-15420,19700,7688,112,1820,320,680,-360,-51525,ND
1984:Q2,534,989,50860,32644,400,20976,11268,0,-3676,2640,240,-460,-16,-200,3076,17376,12796,5212,-632,0,1876,56272,73156,29604,21376,8228,760,45916,-7508,5412,760,-1788,-16884,640,-17524,4957,ND
1984:Q3,552,1021,40144,7672,400,-6800,14072,16,9724,4264,-236,-288,628,260,3900,9384,-2056,10868,572,-16,9100,53376,30088,-6112,4416,-10528,-3036,4180,13824,12920,728,7584,23288,2268,21020,12763,ND
1984:Q4,573,1047,34696,13668,800,13984,-1116,24,-2500,1772,228,-736,-636,-376,3292,25736,16620,4280,4836,-284,-3720,37032,37336,8004,7436,568,-1488,35236,-6344,3056,-68,-1060,-304,1492,-1796,1862,ND
1985:Q1,560,1123,31888,24488,600,8704,15184,-40,-2672,4248,140,-20,-64,-8,4200,6304,5104,1852,-652,260,-700,57184,49444,6476,-8180,14656,1104,24140,8980,3668,256,4820,7740,660,7080,24733,ND
1985:Q2,581,1141,-1256,-12812,600,-11508,-1904,0,1920,3824,1108,-3260,36,48,5892,12672,14756,-1792,-292,20,-6880,5620,6632,9060,6380,2680,1012,-19596,23524,-2184,284,-5468,-1012,336,-1348,6316,ND
1985:Q3,600,1128,66784,22436,400,9752,12284,36,10252,8716,420,1728,472,-64,6160,18316,15252,2700,364,44,6984,75884,75880,29464,15256,14208,4612,23876,-1688,1272,796,17548,4,2360,-2356,8572,ND
1985:Q4,621,1153,30212,4572,1256,12736,-9420,-136,-8224,7008,-364,1396,1484,-284,4776,42580,37804,3688,1088,20,-15608,-28924,-35796,9892,51900,-42008,1716,-36952,13248,3224,-412,-26512,6872,1424,5448,-59668,ND
1986:Q1,611,1177,46500,27772,-648,19836,8584,0,-68,-1164,-1432,-2500,2016,0,752,11684,3464,6496,1724,36,8240,56568,44116,46376,49620,-3244,-2036,-10152,-2008,6268,484,5184,12452,800,11652,9502,ND
1986:Q2,633,1164,75612,46572,2856,24256,19460,0,12964,16000,836,5396,1980,0,7788,2808,6808,-5652,1652,-76,-2656,35252,61436,42344,32072,10272,4900,2960,18268,-3060,336,-4312,-26184,740,-26924,-40891,ND
1986:Q3,654,1159,163996,90600,-2404,68024,24980,0,1488,15620,264,3204,1200,0,10952,46328,34160,10544,1624,20,9940,176608,151920,73916,38312,35604,-1540,49800,8844,12904,584,7412,24688,2224,22464,12107,ND
1986:Q4,677,1175,201064,130216,2564,106124,21528,0,12940,10728,-276,2312,844,0,7848,49356,47288,-4660,6728,48,-2224,222244,211748,151696,111592,40104,2372,68580,-3416,-4816,92,-2760,10496,1004,9492,20682,ND
1987:Q1,670,1165,13780,-37444,-1488,-30960,-4996,0,2160,11660,2688,5272,-20,0,3720,32244,17968,15532,-1256,32,5128,-10044,-12696,-33532,-35628,2096,-3116,-7876,14068,9812,1024,6924,2652,572,2080,-24319,ND
1987:Q2,693,1191,121260,109392,2248,89264,17880,0,-18596,5388,-1940,-4100,1332,0,10096,27188,7736,13788,5664,20,-2132,122912,110500,46444,15956,30488,376,48100,2820,15548,-440,-2348,12412,-1824,14236,1154,ND
1987:Q3,716,1224,72844,19508,-380,7532,12356,0,10640,2376,524,1304,2492,0,-1944,29460,19456,4172,5832,-36,10896,106960,97544,53856,44024,9832,1472,42416,-11040,500,2012,8328,9416,1712,7704,33608,ND
1987:Q4,742,1226,112648,73640,-2044,71692,3992,0,10984,5456,3488,-4008,1168,0,4808,24284,21144,-7604,10744,-376,-1340,126776,119732,103284,102940,344,-1156,29648,-14448,500,1408,496,7044,2172,4872,13644,ND
1988:Q1,804,1438,28528,1316,-240,11976,-10420,0,-12708,3040,-2400,4036,604,0,800,23204,6040,9012,8152,-4,13680,24956,1928,-29400,-16000,-13400,2112,-40520,53000,5084,236,11416,23028,4436,18592,-4206,ND
1988:Q2,830,1478,108404,64608,-3360,54772,13196,0,6088,1260,-508,-448,1192,0,1024,37952,31964,-1628,7616,32,-1536,115716,97908,68716,56468,12248,3216,10488,18632,-2404,140,-880,17808,908,16900,6664,ND
1988:Q3,857,1493,89708,83740,284,57132,26324,0,-6684,-1648,-192,-248,1272,0,-2480,10136,6080,-4312,8368,0,4164,77904,67856,51120,12696,38424,-1056,31052,-15988,-3204,184,5748,10048,-580,10628,-12440,ND
1988:Q4,884,1525,39484,-7276,-1148,5028,-11156,0,19752,-1828,1232,-2872,1292,0,-1480,26076,17760,-116,8432,-32,2792,97252,87692,33308,48156,-14848,-212,65012,-15780,2644,1136,1584,9560,4488,5072,57127,ND
1989:Q1,940,1599,86682,77564,-216,73340,4440,0,-23188,-3100,252,-1656,2700,0,-4396,24290,20454,-2364,6200,4,11112,70324,53568,12624,13040,-416,-872,36048,2426,-8006,2772,8576,16756,1208,15548,-17017,ND
1989:Q2,968,1629,-35589,-40500,1452,-67856,25904,0,-176,1940,808,-1624,1524,0,1232,5247,-6090,3573,7764,4,-2104,-38797,-33241,-52080,-78192,26112,348,-15068,26319,5651,256,1332,-5556,44,-5600,-3869,ND
1989:Q3,996,1681,164415,86780,-1864,49776,38868,0,25768,6996,1300,104,-3172,0,8764,29895,13415,7027,9452,0,14976,90029,96533,78120,33556,44564,2876,4488,-9750,5443,-48,15404,-6504,2320,-8824,-75071,ND
1989:Q4,1023,1659,67565,40616,472,44072,-3928,0,2592,9252,-912,2464,148,0,7552,22989,9913,3988,9088,0,-7884,115732,103800,44868,37960,6908,-3444,65140,3001,1015,156,-6936,11932,2612,9320,47532,ND
1990:Q1,763,1160,-49835,-51504,1344,-32736,-20112,0,-9552,18484,188,10004,2720,0,5572,-9247,-21214,-10321,22288,0,1984,-82040,-72932,-63840,-36552,-27288,2416,-67412,60542,-5058,476,-56,-9108,2220,-11328,-32603,ND
1990:Q2,783,1141,65887,40748,-1352,68492,-26392,0,5036,10472,4084,1228,1168,0,3992,14063,10228,-7300,11136,4,-4436,63599,70659,8520,10428,-1908,-1592,-7452,72856,-2813,696,444,-7060,2540,-9600,-2647,ND
1990:Q3,801,1157,40563,6332,1140,-24408,29600,0,7888,10136,-536,4912,1388,0,4372,2103,-598,-8423,11124,-4,14108,31728,7644,25600,52984,-27384,2468,-1520,-31150,-1338,-124,13708,24084,752,23332,-9192,ND
1990:Q4,819,1145,93492,36532,-432,17128,19836,0,-14420,22380,4352,3824,2448,0,11756,50200,30288,3080,16832,0,-1200,79438,90450,49760,1556,48204,-1872,81036,-39667,5669,-1616,-2860,-11012,-1240,-9772,-14380,ND
1991:Q1,903,1144,36661,-3296,-2740,6472,-7028,0,-11832,12468,-3264,13384,3156,0,-808,19869,21398,-15909,14380,-16,19468,-4454,-2870,-58964,-4784,-54180,-1836,54384,11348,-22986,-568,15752,-1584,2360,-3944,-41356,ND
