1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q2,27708,15168,3060,6424,3056,27708,15816,11964,1164,10800,-72,27708,84,520,0,1404,968,92,84,260,184,18476,18484,0,24,-32,8,1792,-164,484,2552,1832,0,720,0,0,760,0,0,0,0,760,0,1208,400
1968:Q3,30552,17908,3596,7252,1796,30552,18632,11976,2424,9552,-56,30552,3572,336,0,1464,720,400,84,260,204,20356,20460,0,24,-128,8,1944,84,24,1248,884,0,364,0,0,340,0,0,0,0,340,0,688,284
1968:Q4,32788,18616,4440,8368,1364,32788,19212,13640,4156,9484,-64,32788,1076,668,0,1304,620,412,72,200,216,21204,21192,0,24,-12,4,4272,-16,348,1540,1292,0,248,0,0,328,0,0,0,0,328,0,1360,484
1969:Q1,29524,18472,3780,5392,1880,29524,19212,10388,3880,6508,-76,29524,2556,384,0,984,420,448,-48,164,192,17820,17764,0,124,-68,8,1628,48,256,2852,2088,0,764,0,0,360,0,0,0,0,360,0,2080,356
1969:Q2,30176,17072,4624,5700,2780,30176,17864,12412,-1704,14116,-100,30176,-2324,704,400,1100,448,464,60,128,236,20440,20568,0,180,-308,4,1904,-40,196,2904,1944,0,960,0,0,340,0,0,0,0,340,0,3736,576
1969:Q3,31228,19032,4640,5916,1640,31228,19760,11516,-772,12288,-48,31228,1844,520,400,792,684,-64,0,172,520,19532,19716,0,196,-380,4,2040,260,300,5080,4604,0,476,0,0,992,0,0,0,0,992,0,-1592,536
1969:Q4,31600,16240,6656,7732,972,31600,16836,14864,3700,11164,-100,31600,5352,1012,400,1004,888,-88,56,148,880,12040,11996,0,172,-128,12,2636,328,100,6648,6496,0,152,0,0,1020,0,0,0,0,1020,0,-996,1164
1970:Q1,25716,14964,8768,-404,2388,25716,13324,12460,42480,-30020,-68,25716,2532,44,400,348,464,-72,-156,112,1704,6764,7944,0,120,-1300,32,2584,56,300,6672,6196,0,476,0,0,1180,60,0,0,0,1120,0,1920,1180
1970:Q2,23520,6640,6348,9212,1320,23520,5244,18372,3432,14940,-96,23520,-1552,728,400,520,328,272,-56,-24,436,9904,9756,0,92,56,48,2216,-68,632,5284,4636,0,648,0,0,856,88,0,0,0,768,0,3256,860
1970:Q3,33812,12864,8456,11216,1276,33812,12496,21420,3084,18336,-104,33812,3760,760,400,192,340,-240,120,-28,664,17432,17240,0,84,108,52,1420,-80,-76,6308,4596,1288,424,0,0,1676,232,0,0,0,1444,0,408,896
1970:Q4,37300,17868,8644,9784,1004,37300,17648,19684,3956,15728,-32,37300,848,1368,400,148,288,-292,228,-76,864,20956,20744,0,96,116,48,3172,-88,524,3264,2780,140,344,0,0,2492,1008,0,0,0,1484,0,1640,1664
1971:Q1,38792,23948,8732,4788,1324,38792,22932,15916,4720,11196,-56,38792,2100,768,1100,-356,212,-268,248,-548,1224,23664,23576,0,104,-16,0,632,-364,396,164,-328,-148,640,0,0,4808,3048,0,0,0,1760,0,3732,924
1971:Q2,44556,20184,10960,9560,3852,44556,15560,29080,4748,24332,-84,44556,-6468,1084,1200,-160,112,-360,88,0,624,36672,36424,0,216,32,-20,-96,-664,604,1360,-228,660,928,0,0,6460,4616,0,0,0,1844,0,2512,1448
1971:Q3,53292,29640,9388,12948,1316,53292,27724,25640,3752,21888,-72,53292,-6320,1240,1200,-276,-80,-364,168,0,1308,43180,43000,0,108,72,-28,968,-584,32,7488,5476,1260,752,0,0,3188,1108,0,0,0,2080,0,892,1004
1971:Q4,58900,33408,9804,14624,1064,58900,32332,26644,7188,19456,-76,58900,-1412,1380,1200,-728,132,-440,216,-636,1160,40176,39976,0,100,100,-40,2980,-440,440,5492,4236,656,600,0,0,4588,2136,256,0,0,2196,0,2656,1448
1972:Q1,62248,36840,10344,12204,2860,62248,34664,27684,12504,15180,-100,62248,6220,1432,1200,344,-208,780,384,-612,1340,41996,41956,0,8,32,-32,-392,-1304,84,3188,2204,96,888,0,0,4104,3672,408,0,0,24,0,1780,2288
1972:Q2,66472,31868,13464,17088,4052,66472,26416,40128,6500,33628,-72,66472,-4128,1588,1100,-180,-80,-164,192,-128,1612,53872,54004,0,-92,-40,-44,24,-796,-208,4016,1144,1708,1164,0,0,4824,2508,172,0,0,2144,0,2196,2596
1972:Q3,72668,42460,11152,16072,2984,72668,36616,36136,7932,28204,-84,72668,-1620,1748,1100,-444,68,-576,360,-296,1148,59136,58336,0,308,492,-44,736,-1072,332,4464,2668,520,1276,0,0,4268,1416,344,0,0,2508,0,1568,1348
1972:Q4,86256,44712,16168,23352,2024,86256,41764,44580,11872,32708,-88,86256,3456,2504,1100,-2492,-656,-1692,348,-492,1448,57848,57908,0,-188,128,-48,5440,-548,520,4352,1944,976,1432,0,0,6356,2124,584,0,0,3648,0,3104,3216
1973:Q1,73820,45696,7268,16340,4516,73820,44496,29412,9740,19672,-88,73820,7416,1808,680,-644,-1796,1048,572,-468,1112,52300,51700,80,-16,536,-20,872,-856,648,4812,3160,-284,1936,0,0,3024,2340,880,0,0,-196,0,832,1836
1973:Q2,82636,40276,13456,23020,5884,82636,33188,49520,26796,22724,-72,82636,-4544,3332,516,-4120,-3024,-852,184,-428,972,63476,63348,-24,-20,172,-12,3264,-300,756,6716,3368,1244,2104,0,0,5820,2804,292,0,0,2724,0,3204,3556
1973:Q3,79672,42920,12680,20108,3964,79672,37668,42068,43676,-1608,-64,79672,-5636,3420,124,3840,2088,1140,460,152,1784,56200,55144,64,240,752,-8,4820,-312,268,9148,5672,1576,1900,0,0,1768,1728,168,0,0,-128,0,-188,4444
1973:Q4,74508,44152,8256,18684,3416,74508,44968,29600,44052,-14452,-60,74508,2256,1640,-180,-1432,-1604,52,268,-148,2932,39872,39236,88,244,304,-20,8728,60,1012,7616,4976,724,1916,0,0,3932,2672,-40,0,0,1300,0,5496,2596
1974:Q1,69332,42128,8656,14996,3552,69332,41576,27836,8164,19672,-80,69332,10624,1440,276,-296,-1700,1220,420,-236,1812,35504,35180,32,224,68,-8,3244,68,544,4516,2800,132,1584,0,0,6676,6660,32,0,0,-16,0,3104,1828
1974:Q2,69008,35360,7464,19688,6496,69008,34092,35004,2396,32608,-88,69008,-3176,184,208,3500,48,3156,284,12,1856,47664,47728,24,224,-312,-8,4180,-64,212,13084,7136,2216,3732,0,0,1692,2680,-56,0,0,-932,0,-188,-136
