1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1248246,387297,278126,243315,34811,1346,345,107480,860949,58927,67207,3035,0,28544,16948,121,5465,6010,68212,50523,17689,0,164696,301715,3344,55049,104563,0,5657,76803,0,74845,45250,23947,319,4063,1266,951,1007,1171443,ND,ND,ND,ND,216815,209093,7722,19470,214823,545.3061403658967,198065,81.40270842323737
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1366090,430932,308963,270874,38089,1592,366,120011,935158,63356,72177,2813,0,28451,16345,79,5740,6287,68597,49974,18623,0,184698,328507,3482,57777,118836,0,6463,85567,0,83447,51792,25350,550,4186,1569,1034,1086,1280523,ND,ND,ND,ND,239083,230970,8113,21708,237177,539.9017443341537,219082,80.87967099094044
1952:Q1,1385095,437115,311906,273170,38736,1634,365,123210,947980,62460,73469,2777,0,30920,17164,123,7499,6134,68481,49829,18652,0,186382,331585,3612,58445,123170,0,6679,86224,0,84061,53066,24597,550,4229,1619,1058,1105,1298871,ND,ND,ND,ND,243077,234922,8155,22160,243408,533.6189138372979,220104,80.57400153750412
1952:Q2,1411928,448848,322754,283505,39249,1682,366,124046,963080,60709,75744,2728,0,33084,16894,0,9835,6355,68618,49705,18913,0,192554,332505,3696,59153,127384,0,6905,90411,0,88204,54798,26878,533,4300,1695,1084,1123,1321517,ND,ND,ND,ND,248065,239839,8226,22356,246447,536.2276956735664,228707,80.67124036613112
1952:Q3,1427784,453488,324183,284584,39599,1697,369,127239,974296,63520,77273,2680,0,34755,18019,0,10606,6130,68829,49703,19126,0,192052,332825,3837,59892,131502,0,7131,93441,0,91189,56640,27965,466,4347,1771,1110,1142,1334343,ND,ND,ND,ND,253292,244989,8303,22578,253057,527.2895075857072,227944,80.09726477946757
1952:Q4,1436132,463998,334895,294752,40143,1728,375,127000,972134,65498,79651,2656,0,35169,18216,-1,10957,5997,69176,49887,19289,0,181107,330661,3932,60665,135627,0,7992,97890,0,95595,58416,30522,417,4404,1836,1133,1162,1338242,ND,ND,ND,ND,254730,246477,8253,22903,258904,516.8874305005231,236336,80.18130496145912
1953:Q1,1448829,472950,340387,300182,40205,1787,380,130396,975879,66253,81545,2618,0,35208,17435,52,11875,5846,69877,50258,19619,0,177850,329104,3867,61439,139907,0,8211,100207,0,97869,60006,30901,431,4618,1913,1154,1184,1348622,ND,ND,ND,ND,257805,249539,8266,22871,262968,512.8462871414073,240176,80.01012718950503
