1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q2,7180,5636,364,1180,6458,5444,1014,0,0,722,1040,-0,1040,2763,740,-32,172,-360,0,0,1921,-9,1912,0,0,18,0,34,97,130,0,0,0,61,0,1723,954,0,60,441,0,65,0,65,287,35,252,31,0,0,70,0,769,2,767,0,-318,-192,650,1180,0,-722
1959:Q3,7106,5717,387,1002,7115,6020,1095,0,0,-8,648,-0,648,1234,167,-74,-76,-211,0,0,1201,-15,1181,0,0,35,0,26,87,100,0,0,0,14,0,586,199,0,54,-190,0,130,0,130,181,81,100,20,0,0,4,0,387,-119,506,0,-656,303,708,1002,0,8
1959:Q4,7158,5626,412,1120,6952,5783,1170,0,0,206,1095,-0,1095,478,72,-2,94,-298,0,0,638,28,725,0,0,-115,0,-37,132,-144,0,0,0,23,0,-617,-14,0,-1,-102,0,109,0,109,-50,129,-179,-20,0,0,50,0,-603,-109,-494,0,-889,157,758,1120,0,-206
1960:Q1,7263,5822,461,980,7729,6536,1192,0,0,-466,-501,-0,-501,426,50,240,-564,-100,0,0,386,326,27,0,0,33,0,21,137,82,0,0,0,174,0,927,374,0,-48,21,0,279,0,279,99,-89,188,23,0,0,0,0,553,-13,566,0,35,714,732,980,0,466
1960:Q2,7480,5864,447,1169,7911,6713,1198,0,0,-431,-285,-0,-285,883,94,403,297,128,0,0,-102,-42,-91,0,0,31,0,15,86,60,0,0,0,-98,0,1168,704,0,47,88,0,125,0,125,294,-29,323,14,0,0,136,0,464,41,343,80,-146,849,751,1169,0,431
1960:Q3,7070,5720,443,908,8124,6890,1234,0,0,-1054,681,-0,681,1513,638,267,-37,219,0,0,346,193,133,0,0,20,0,21,-15,80,0,0,0,-6,0,832,446,0,33,44,0,76,0,76,265,9,256,14,0,0,14,0,386,35,351,0,-1735,1171,791,908,0,1054
1960:Q4,6949,5436,425,1088,8170,6906,1264,0,0,-1221,-1354,-0,-1354,1632,921,25,286,37,0,0,274,57,222,0,0,-5,0,7,-5,29,0,0,0,58,0,2986,1323,0,115,-64,0,97,0,97,501,215,286,63,0,0,611,0,1663,23,1566,74,133,1470,839,1088,0,1221
1961:Q1,6856,5415,431,1010,8215,6890,1325,0,0,-1360,-238,-0,-238,1080,371,280,520,-396,0,0,44,52,-16,0,0,8,0,20,96,75,0,0,0,70,0,1318,542,0,59,93,25,85,0,85,511,-35,546,29,0,0,-260,0,776,50,726,0,-1121,1476,894,1010,0,1360
1961:Q2,7139,5475,435,1229,7942,6657,1285,0,0,-803,-1131,-0,-1131,181,-170,381,-124,165,0,0,-363,-21,-347,0,0,5,0,24,147,90,0,0,0,31,0,1312,547,0,114,116,161,173,0,173,-228,136,-364,28,0,0,183,0,765,73,692,0,328,1182,850,1229,0,803
1961:Q3,7198,5832,454,913,8274,6945,1329,0,0,-1076,-655,-0,-655,1455,146,18,226,275,0,0,696,119,586,0,0,-9,0,13,12,51,0,0,0,18,0,2110,1283,0,30,522,-124,67,0,67,605,29,576,31,0,0,152,0,827,57,770,0,-421,1113,876,913,0,1076
1961:Q4,7503,5968,468,1067,8478,7111,1368,0,0,-975,-680,-0,-680,818,510,-404,354,8,0,0,77,-81,161,0,0,-3,0,8,68,30,0,0,0,167,0,1498,819,0,186,-247,54,112,0,112,668,352,316,15,0,0,31,0,679,145,363,171,-295,1143,899,1067,0,975
1962:Q1,7654,6079,451,1125,8432,7081,1351,0,0,-778,-379,0,-379,1067,304,180,283,-7,0,0,213,24,-12,84,0,117,0,12,28,44,0,0,0,10,0,1446,967,0,18,-191,114,201,0,201,551,239,312,20,0,0,254,0,479,-5,484,0,-399,1003,900,1125,0,778
1962:Q2,7937,6221,460,1256,8873,7416,1458,0,0,-937,-967,0,-967,665,116,21,39,87,0,0,442,-67,445,85,0,-21,0,20,27,78,0,0,0,-165,0,1632,959,0,49,139,324,315,0,315,150,6,144,28,0,0,-46,0,673,-7,680,0,30,1195,998,1256,0,937
1962:Q3,7682,6278,465,940,8876,7398,1477,0,0,-1193,413,0,413,777,445,-48,-559,138,0,0,660,-24,650,84,0,-50,0,14,27,52,0,0,0,48,0,364,-252,0,-66,-275,-104,94,0,94,-146,19,-165,25,0,0,220,0,616,-7,623,0,-1607,1121,1013,940,0,1193
1962:Q4,7933,6388,472,1074,8825,7171,1654,0,0,-892,-457,0,-457,1102,25,-258,372,280,0,0,418,94,261,84,0,-21,0,26,27,100,0,0,0,112,0,1559,491,0,247,-179,-351,384,0,384,306,-84,390,39,0,0,45,0,1068,-6,952,122,-435,783,1183,1074,0,892
1963:Q1,7902,6296,478,1128,8895,7290,1605,0,0,-993,-755,-0,-755,989,111,536,-319,393,0,0,144,-17,119,84,0,-42,0,15,56,56,0,0,0,-3,0,1744,818,0,-152,134,33,494,0,494,337,-95,432,36,0,0,-64,0,926,28,898,0,-238,994,1127,1128,0,993
1963:Q2,8363,6473,503,1388,9449,7862,1587,0,0,-1086,-835,-0,-835,1519,116,-66,336,137,0,0,751,57,553,83,0,58,0,28,56,107,0,0,0,54,0,2354,1428,0,104,386,-6,507,0,507,773,120,653,36,0,0,-372,0,926,29,897,0,-251,1390,1084,1388,0,1086
1963:Q3,8134,6676,526,932,9439,7804,1635,0,0,-1305,49,-0,49,976,196,27,-81,189,0,0,338,141,118,84,0,-5,0,25,56,97,0,0,0,129,0,927,273,0,-14,-93,28,71,0,71,208,135,73,25,0,0,48,0,654,29,625,0,-1354,1128,1110,932,0,1305
