1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q3,47500,1280,951,329,329,0,0,0,0,0,0,0,-173,70,26513,0,26513,13069,13444,0,0,0,0,0,0,0,0,0,0,19810,19491,0,319,46507,46124,17760,28094,1081,377,704,0,0,0,318,23455,3240,0,0,0,270,383,0,383,0,0,0
1959:Q4,48523,2043,1590,453,453,0,0,0,0,0,0,0,-62,73,26650,44,26606,13113,13493,0,0,0,0,0,0,0,0,0,0,19819,19456,0,363,47837,47450,18174,28683,895,391,504,0,0,0,353,24423,3012,0,0,0,593,387,0,387,44,0,0
1960:Q1,46653,1638,823,815,815,0,0,0,0,0,0,0,-56,125,25173,7,25166,9770,15396,0,0,0,0,0,0,0,0,0,0,19773,19408,0,365,45874,45479,17716,27554,947,436,511,0,0,0,231,23016,3360,0,0,0,209,395,0,395,7,0,0
1960:Q2,47465,1135,868,267,267,0,0,0,0,0,0,0,-80,225,26328,5,26323,10978,15345,0,0,0,0,0,0,0,0,0,0,19857,19322,0,535,46693,46293,17528,28035,899,395,504,0,0,0,264,23382,3490,0,0,0,730,400,0,400,5,0,0
1960:Q3,47356,1580,987,593,593,0,0,0,0,0,0,0,-106,325,26488,8,26480,16814,9666,0,0,0,0,0,0,0,0,0,0,19069,18685,0,384,46586,46183,18058,27909,958,404,554,0,0,0,200,23211,3540,0,0,0,216,403,0,403,8,0,0
1960:Q4,47334,1893,1868,25,25,0,0,0,0,0,0,0,-101,420,27038,54,26984,11960,15024,0,0,0,0,0,0,0,0,0,0,18084,17767,0,317,46625,46216,17081,28716,862,377,485,0,0,0,226,24282,3346,0,0,0,419,409,0,409,54,0,0
1961:Q1,45244,849,755,106,106,0,0,0,0,-13,0,0,-59,323,26423,35,26388,7725,18663,0,0,0,0,0,0,0,0,0,0,17709,17388,0,321,44452,44029,15992,27775,926,437,489,0,0,0,282,22937,3630,0,0,0,262,423,0,423,35,0,0
1961:Q2,46306,1113,1171,35,35,0,0,0,0,-93,0,0,-110,353,27029,26,27003,9351,17652,0,0,0,0,0,0,0,0,0,0,17921,17550,0,371,45503,45078,16716,28172,787,379,408,0,0,0,256,24226,2903,0,0,0,190,425,0,425,26,0,0
1961:Q3,46157,1351,1300,82,82,0,0,0,0,-31,0,0,-69,241,26904,23,26881,4591,22290,0,0,0,0,0,0,0,0,0,0,17730,17376,0,354,45350,44918,16310,28524,901,416,485,0,0,0,369,23384,3870,0,0,0,84,432,0,432,23,0,0
1961:Q4,48537,2357,2300,115,115,0,0,0,0,-58,0,0,-47,220,28770,48,28722,4863,23859,0,0,0,0,0,0,0,0,0,0,17237,16889,0,348,47758,47313,17387,29672,887,422,465,0,0,0,294,24802,3689,0,0,0,254,445,0,445,48,0,0
1962:Q1,46930,1057,918,170,170,0,0,0,0,-31,0,0,-49,335,28600,21,28579,7957,20622,0,0,0,0,0,0,0,0,0,0,16987,16608,0,379,46065,45612,16786,28689,899,437,462,0,0,0,262,23628,3900,0,0,0,137,453,0,453,21,0,0
1962:Q2,48418,1667,1462,43,43,0,0,0,0,162,0,0,-49,547,29453,40,29413,8446,20967,0,0,0,0,0,0,0,0,0,0,16800,16435,0,365,47544,47086,17206,29672,991,379,612,0,0,0,353,25143,3185,0,0,0,208,458,0,458,40,0,0
1962:Q3,48309,2528,1641,762,762,0,0,0,0,125,0,0,-45,545,28816,14,28802,11911,16891,0,0,0,0,0,0,0,0,0,0,16465,16067,0,398,47427,46965,17105,29645,916,405,511,0,0,0,273,24186,4270,0,0,0,215,462,0,462,14,0,0
