1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1984:Q1,807810,0,0,0,0,0,0,111640,0,696170,807810,807810,111640,696170,807810,0
1984:Q2,822769,0,0,0,0,0,0,115547,0,707222,822769,822769,115547,707222,822769,0
1984:Q3,836275,0,0,0,0,0,0,128964,0,707311,836275,836275,128964,707311,836275,0
1984:Q4,849675,0,0,0,0,0,0,132262,0,717413,849675,849675,132262,717413,849675,0
1985:Q1,865223,0,0,0,0,0,0,140863,0,724360,865223,865223,140863,724360,865223,0
1985:Q2,879934,0,0,0,0,0,0,144839,0,735095,879934,879934,144839,735095,879934,0
1985:Q3,894633,0,0,0,0,0,0,158741,0,735892,894633,894633,158741,735892,894633,0
1985:Q4,909235,0,14194,14194,0,0,0,157936,0,737105,909235,909235,172130,737105,909235,0
1986:Q1,927434,0,14169,14169,0,0,0,155533,0,757732,927434,927434,169702,757732,927434,0
1986:Q2,945014,0,0,0,0,0,0,175169,0,769845,945014,945014,175169,769845,945014,0
1986:Q3,962531,0,15000,15000,0,0,0,171641,0,775890,962531,962531,186641,775890,962531,0
1986:Q4,979912,0,15000,15000,0,0,0,186682,0,778230,979912,979912,201682,778230,979912,0
1987:Q1,995290,0,15000,15000,0,0,0,183583,0,796707,995290,995290,198583,796707,995290,0
1987:Q2,1010949,0,15000,15000,0,0,0,189634,0,806315,1010949,1010559,204244,806315,1010559,390
1987:Q3,1026448,0,15000,15000,0,0,0,203568,0,807880,1026448,1025721,217841,807880,1025721,727
1987:Q4,1042047,0,14845,14845,0,0,0,218191,0,809011,1042047,1040961,231950,809011,1040961,1086
1988:Q1,1058211,0,14846,14846,0,0,0,214548,0,828817,1058211,1056776,227959,828817,1056776,1435
1988:Q2,1074494,0,15002,15002,0,0,0,221773,0,837719,1074494,1072648,234929,837719,1072648,1846
1988:Q3,1090603,0,15004,15004,0,0,0,235457,5,840137,1090603,1088330,248193,840137,1088330,2273
1988:Q4,1106547,0,14852,14850,0,0,2,252610,7,839078,1106547,1103808,264730,839078,1103808,2739
1989:Q1,1123204,0,14857,14852,0,0,5,248542,18,859787,1123204,1119963,260176,859787,1119963,3241
1989:Q2,1140297,0,15017,15009,0,0,8,256934,27,868319,1140297,1136509,268190,868319,1136509,3788
1989:Q3,1156948,0,15022,15011,0,0,11,270436,42,871448,1156948,1152627,281179,871448,1152627,4321
1989:Q4,1173705,0,15030,15014,0,0,16,289128,55,869492,1173705,1168779,299287,869492,1168779,4926
1990:Q1,1190611,0,15043,15018,0,0,25,284447,89,891032,1190611,1185070,294038,891032,1185070,5541
1990:Q2,1207631,0,15058,15023,0,0,35,292148,123,900302,1207631,1201377,301075,900302,1201377,6254
1990:Q3,1224622,0,15076,15033,0,0,43,306458,142,902946,1224622,1217694,314748,902946,1217694,6928
1990:Q4,1241789,0,15134,15044,0,0,90,325078,340,901237,1241789,1233878,332641,901237,1233878,7911
1991:Q1,1259511,0,15186,15069,0,0,117,319626,449,924250,1259511,1250881,326631,924250,1250881,8630
1991:Q2,1277536,0,15223,15093,0,0,130,329704,474,932135,1277536,1268136,336001,932135,1268136,9400
1991:Q3,1295538,0,15287,15120,20,0,147,344882,669,934700,1295538,1285334,350634,934700,1285334,10204
1991:Q4,1313646,0,15364,15152,45,0,167,365988,1045,931249,1313646,1302248,370999,931249,1302248,11398
1992:Q1,1332400,0,15449,15187,79,0,183,360135,1385,955431,1332400,1320116,364685,955431,1320116,12284
1992:Q2,1351574,0,15533,15222,107,0,204,370570,1696,963775,1351574,1338149,374374,963775,1338149,13425
1992:Q3,1370602,0,15661,15276,151,0,234,386739,2001,966201,1370602,1356103,389902,966201,1356103,14499
1992:Q4,1389504,0,15744,15311,183,0,250,408440,2415,962905,1389504,1373691,410786,962905,1373691,15813
1993:Q1,1407662,0,15858,15358,222,0,278,401055,2929,987820,1407662,1390640,402820,987820,1390640,17022
1993:Q2,1425815,0,16001,15421,275,0,305,411349,3293,995172,1425815,1407555,412383,995172,1407555,18260
1993:Q3,1443987,0,16202,15504,343,0,355,426851,3779,997155,1443987,1424385,427230,997155,1424385,19602
1993:Q4,1461982,0,16311,15550,383,0,378,448175,4398,993098,1461982,1440962,447864,993098,1440962,21020
1994:Q1,1479859,0,16407,15593,424,0,390,440703,4792,1017957,1479859,1457905,439948,1017957,1457905,21954
1994:Q2,1497745,0,16405,15594,426,0,385,450871,5179,1025290,1497745,1474663,449373,1025290,1474663,23082
1994:Q3,1516759,0,16439,15608,440,0,391,466472,5832,1028016,1516759,1491899,463883,1028016,1491899,24860
1994:Q4,1534747,0,16411,15596,430,0,385,489022,6179,1023135,1534747,1508641,485506,1023135,1508641,26106
1995:Q1,1554408,0,16502,15633,461,0,408,481709,7171,1049026,1554408,1525918,476892,1049026,1525918,28490
1995:Q2,1574463,0,16643,15694,504,0,445,492549,8508,1056763,1574463,1543681,486918,1056763,1543681,30782
1995:Q3,1594374,0,16732,15733,533,0,466,507825,9946,1059871,1594374,1561488,501617,1059871,1561488,32886
1995:Q4,1613663,0,16907,15809,589,0,509,513026,11459,1072271,1613663,1578603,506332,1072271,1578603,35060
1996:Q1,1633231,0,16972,15837,620,0,515,518025,13121,1085113,1633231,1595963,510850,1085113,1595963,37268
1996:Q2,1653451,0,16961,15830,621,0,510,530491,14964,1091035,1653451,1613685,522650,1091035,1613685,39766
1996:Q3,1672625,0,17040,15863,649,0,528,544005,16362,1095218,1672625,1631006,535788,1095218,1631006,41619
1996:Q4,1692938,0,17112,15896,675,0,541,570382,18778,1086666,1692938,1648058,561392,1086666,1648058,44880
1997:Q1,1712114,0,17076,15881,666,0,529,560749,20177,1114112,1712114,1665649,551537,1114112,1665649,46465
1997:Q2,1735087,0,17140,15907,687,0,546,571053,24842,1122052,1735087,1683092,561040,1122052,1683092,51995
1997:Q3,1755494,0,17222,15940,712,0,570,586534,27943,1123795,1755494,1700397,576602,1123795,1700397,55097
1997:Q4,1775198,0,17361,15999,761,0,601,612397,29946,1115494,1775198,1717187,601693,1115494,1717187,58011
1998:Q1,1798515,0,17464,16040,796,0,628,601375,35224,1144452,1798515,1734921,590469,1144452,1734921,63594
1998:Q2,1820810,0,17551,16077,825,0,649,612932,37848,1152479,1820810,1754011,601532,1152479,1754011,66799
1998:Q3,1835637,0,17802,16188,912,0,702,627744,34445,1155646,1835637,1771922,616276,1155646,1771922,63715
1998:Q4,1863531,0,17963,16240,976,0,747,655794,42960,1146814,1863531,1789725,642911,1146814,1789725,73806
1999:Q1,1885081,0,17949,16225,976,0,748,645385,46203,1175544,1885081,1808098,632554,1175544,1808098,76983
1999:Q2,1909115,0,17895,16205,962,0,728,656559,50782,1183879,1909115,1826615,642736,1183879,1826615,82500
1999:Q3,1925738,0,17828,16182,939,0,707,671845,48476,1187589,1925738,1845057,657468,1187589,1845057,80681
1999:Q4,1953287,0,17669,16125,877,0,667,699595,56909,1179114,1953287,1863147,684033,1179114,1863147,90140
2000:Q1,1974246,0,17512,16091,803,0,618,688405,60405,1207924,1974246,1880874,672950,1207924,1880874,93372
2000:Q2,1992892,0,17477,16082,790,0,605,699440,60060,1215915,1992892,1899244,683329,1215915,1899244,93648
2000:Q3,2012677,0,17559,16107,824,0,628,714140,60715,1220263,2012677,1917626,697363,1220263,1917626,95051
2000:Q4,2027892,0,17873,16209,966,0,698,722460,56576,1230983,2027892,1935918,704935,1230983,1935918,91974
2001:Q1,2042041,0,18979,16493,1491,0,995,732374,49059,1241629,2042041,1954903,713274,1241629,1954903,87138
2001:Q2,2067353,0,19249,16545,1627,0,1077,745357,52733,1250014,2067353,1974929,724915,1250014,1974929,92424
2001:Q3,2080093,0,20801,16944,2369,0,1488,760011,43796,1255485,2080093,1993718,738233,1255485,1993718,86375
2001:Q4,2108340,0,23217,16808,4026,0,2383,789430,49091,1246602,2108340,2012372,765770,1246602,2012372,95968
2002:Q1,2129876,0,22963,16746,3911,0,2306,779141,50618,1277154,2129876,2030891,753737,1277154,2030891,98985
2002:Q2,2143622,0,23541,16875,4204,0,2462,789174,44338,1286569,2143622,2049140,762571,1286569,2049140,94482
2002:Q3,2158234,0,25171,17255,4984,0,2932,803633,37011,1292419,2158234,2067524,775105,1292419,2067524,90710
2002:Q4,2179922,0,26047,17430,5524,0,3093,822148,48836,1282891,2179922,2082990,800099,1282891,2082990,96932
2003:Q1,2199872,0,27152,17663,6055,0,3434,802323,56254,1314143,2199872,2100746,786603,1314143,2100746,99126
2003:Q2,2231254,1,27377,17695,6130,0,3552,813758,67152,1322966,2231254,2122711,799745,1322966,2122711,108543
2003:Q3,2256087,1,32848,18421,5227,0,9200,824279,66898,1332061,2256087,2143224,811163,1332061,2143224,112863
2003:Q4,2288994,37,32898,18438,5036,0,9424,851126,79022,1325911,2288994,2165624,839713,1325911,2165624,123370
