1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q3,93720,31853,27199,9496,102,14971,3245,7120,-265,103150,54422,22732,8242,13511,4243,-9430,10986,-263,-1533,3352,3002,15740,322,-13060,6012,-3,-1246,408,6,0,2260,1467,0,566,688,213,0,1155,176,0,979,0,48,0,333,1629,-45,19072,0,134,0,7627,3754,462,3411,1099,-21,1120,42,874,9296,351,5107,18167
1972:Q4,100642,32683,27914,10662,100,15678,3372,10418,-184,109251,57466,25866,11087,13944,888,-8609,11150,-198,-1715,4455,-3422,15584,-334,-18672,8033,0,2971,3757,-19,0,-3299,2087,0,746,1445,-104,0,397,-261,0,658,0,110,0,62,2051,-84,26705,0,113,0,13952,10878,366,2708,1772,-22,1794,41,1331,9496,7877,7136,25808
1973:Q1,99450,30713,28469,10459,97,17067,3656,9352,-363,111073,58767,27199,9621,14644,842,-11623,11332,-274,-1766,1749,5542,15428,-888,-8999,13178,0,83,3152,45,0,493,2124,0,528,1371,225,0,2446,117,0,2329,0,90,0,394,4349,2,22177,0,107,0,10502,7075,261,3166,831,-22,853,43,424,10270,-3793,12258,21257
1973:Q2,106376,32213,29080,11907,96,19694,3913,9828,-355,114932,60736,27329,10542,15248,1077,-8556,11592,633,-1483,3886,7662,16684,138,-9160,-889,-9,1221,545,30,0,349,2171,0,465,1711,-5,0,-352,-787,0,435,0,76,0,1094,-6021,7,8271,0,111,0,-4515,-7147,-417,3049,2979,-18,2997,47,745,8904,-3776,-1107,8053
1973:Q3,106890,34060,29684,11058,92,19437,4151,8964,-556,113044,57770,27024,9577,15811,2862,-6154,11955,-351,-1531,7683,6494,17068,-767,-9807,3810,0,-6812,1863,-31,0,1711,1956,0,263,1784,-91,0,2433,1406,0,1027,0,103,0,570,1997,20,13617,0,83,0,1946,-1955,442,3459,498,-16,514,46,937,10107,1188,3222,13029
1973:Q4,109563,35421,29987,11523,93,19840,4403,8980,-685,115951,61852,28234,9140,16276,449,-6389,12315,-179,-1627,7732,3989,16460,35,-12506,11137,0,3539,1497,594,0,-1195,1778,0,-87,1765,100,0,1031,375,0,656,0,104,0,1043,2803,-57,23643,0,102,0,10202,5949,144,4109,705,-15,720,39,1455,11140,3743,11179,23685
1974:Q1,108708,35021,30042,10021,90,20250,4718,9164,-598,120993,63872,30317,9314,16642,848,-12286,12627,-266,-1622,2229,1608,16559,-486,-14466,4761,0,-3611,1727,396,0,2270,1656,0,37,1637,-18,0,-1111,379,0,-1490,0,97,0,485,2912,-60,19227,0,97,0,6509,2232,357,3920,419,-20,439,33,470,11699,622,4684,19150
1974:Q2,117623,37275,31110,12126,91,22523,5003,10025,-529,127199,66188,31844,11186,17122,859,-9576,13099,737,-1535,4321,6916,19409,-3020,-9473,610,29,3590,1606,-351,0,-2706,1344,0,-293,1233,404,0,1995,1339,0,656,0,142,0,954,-6019,26,10083,0,111,0,-2758,-6729,-29,4000,4397,-22,4419,27,945,7361,-2596,692,10165
1974:Q3,120249,39361,31832,12902,92,21608,5218,9820,-584,126067,64697,32858,10164,17691,657,-5819,13765,-484,-1479,9909,8282,20522,528,-12769,7607,123,-3680,-196,577,0,3407,1114,0,449,578,87,0,2192,795,0,1397,0,82,0,968,2988,32,20376,0,145,0,8760,5371,-208,3597,-1318,-31,-1287,26,1381,11382,1628,6679,19448
1974:Q4,118568,39392,31919,11195,94,21369,5316,10018,-735,134559,70448,34859,10239,18070,943,-15992,14244,-286,-1403,-59,-5200,19675,-820,-24055,1289,20,-921,2603,105,0,-4711,-52,0,265,-368,51,0,5745,2655,0,3090,0,216,0,-3447,1782,-52,25344,0,183,0,11105,10114,-250,1241,948,-33,981,29,-30,13109,5141,554,24609
