date,FA893111305.Q,FA313111303.Q,FA313011303.Q,FA893011105.Q,FA313011105.Q,FA313011203.Q,FA313011303.Q,FA263011105.Q,FA263011205.Q,FA313111303.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,623,623,0,-623,-623,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,2162,2162,0,-2162,-2162,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,1531,1531,0,-1531,-1531,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,164,164,0,-164,-164,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,-1743,-1743,0,1743,1743,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1995:Q2,624,0,624,624,628,4,624,-4,-4,0
1995:Q3,-1448,0,-1448,-1448,-1460,-12,-1448,12,12,0
1995:Q4,588,0,588,588,584,-4,588,4,4,0
1996:Q1,796,0,796,796,808,12,796,-12,-12,0
1996:Q2,532,0,532,532,520,-12,532,12,12,0
1996:Q3,-3392,0,-3392,-3392,-3392,0,-3392,0,-0,0
1996:Q4,584,0,584,584,580,-4,584,4,4,0
1997:Q1,-288,0,-288,-288,-284,4,-288,-4,-4,0
1997:Q2,532,0,532,532,532,0,532,0,-0,0
1997:Q3,556,0,556,556,556,0,556,0,-0,0
1997:Q4,600,0,600,600,600,0,600,0,-0,0
1998:Q1,728,0,728,728,728,0,728,0,-0,0
1998:Q2,-292,0,-292,-292,-292,0,-292,0,-0,0
1998:Q3,-756,0,-756,-756,-756,0,-756,0,-0,0
1998:Q4,908,0,908,908,908,0,908,0,-0,0
1999:Q1,-2248,0,-2248,-2248,-2248,0,-2248,0,-0,0
1999:Q2,760,0,760,760,760,0,760,0,-0,0
1999:Q3,736,0,736,736,736,0,736,0,-0,0
1999:Q4,712,0,712,712,712,0,712,0,-0,0
2000:Q1,720,0,720,720,720,0,720,0,-0,0
2000:Q2,720,0,720,720,720,0,720,0,-0,0
2000:Q3,728,0,728,728,728,0,728,0,-0,0
2000:Q4,720,0,720,720,720,0,720,0,-0,0
2001:Q1,756,0,756,756,756,0,756,0,-0,0
2001:Q2,624,0,624,624,624,0,624,0,-0,0
2001:Q3,580,0,580,580,580,0,580,0,-0,0
2001:Q4,560,0,560,560,560,0,560,0,-0,0
2002:Q1,436,0,436,436,436,0,436,0,-0,0
2002:Q2,428,0,428,428,428,0,428,0,-0,0
2002:Q3,528,0,528,528,528,0,528,0,-0,0
2002:Q4,508,0,508,508,508,0,508,0,-0,0
