1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q1,10367,10367,0,0,0,0,4390,4390,13107,0,13107,0,28314,0,11015,9185,8114,0,0,0,0,0,1667,1667,0,0,37845,233530,100011,37845,233530,100011
1969:Q2,10367,10367,0,0,0,0,4478,4478,13369,0,13369,0,29147,0,11295,9480,8372,0,0,0,0,0,1674,1674,0,0,42049,237642,104130,42049,237642,104130
1969:Q3,10367,10367,0,0,0,0,4568,4568,13640,0,13640,0,29840,0,11412,9789,8639,0,0,0,0,0,1672,1672,0,0,46659,242061,108025,46659,242061,108025
1969:Q4,10367,10367,0,0,0,0,4688,4688,13927,0,13927,0,30817,0,11825,10093,8899,0,0,0,0,0,1710,1710,0,0,49192,246652,112080,49192,246652,112080
1970:Q1,11367,11367,400,400,0,0,4792,4792,14233,0,14233,0,31664,0,12160,10335,9169,0,0,0,0,0,1720,1720,0,0,55786,254708,115541,55786,254708,115541
1970:Q2,11367,11367,400,400,0,0,4899,4899,14560,0,14560,0,32515,0,12523,10546,9446,0,0,0,0,0,1560,1560,0,0,68003,261778,120249,68003,261778,120249
1970:Q3,11117,11117,400,400,0,0,5008,5008,14892,0,14892,0,33371,0,12890,10761,9720,0,0,0,0,0,1730,1730,0,0,63395,269661,122025,63395,269661,122025
1970:Q4,10732,10732,400,400,0,0,5118,5118,15212,0,15212,0,34235,0,13240,11016,9979,0,0,0,0,0,1858,1858,0,0,60909,277207,124386,60909,277207,124386
1971:Q1,10732,10732,400,400,0,0,5206,5206,15545,0,15545,0,35096,0,13563,11260,10273,0,0,0,0,0,2004,2004,0,0,57106,283879,130362,57106,283879,130362
1971:Q2,10332,10332,400,400,0,0,5282,5282,15864,0,15864,0,35932,0,13864,11494,10574,0,0,0,0,0,2029,2029,0,0,59386,289571,137640,59386,289571,137640
1971:Q3,10132,10132,400,400,0,0,5356,5356,16183,0,16183,0,36812,0,14165,11757,10890,0,0,0,0,0,2097,2097,0,0,59523,296055,144768,59523,296055,144768
1971:Q4,10132,10132,400,400,0,0,5436,5436,16511,0,16511,0,37805,0,14484,12091,11230,0,0,0,0,0,2199,2199,0,0,57844,302366,151487,57844,302366,151487
1972:Q1,9588,9588,400,400,0,0,5556,5556,16867,0,16867,0,38909,0,14814,12502,11593,0,0,0,0,0,2350,2350,0,0,54798,309680,158856,54798,309680,158856
1972:Q2,10410,10410,400,400,0,0,5701,5701,17238,0,17238,0,40125,0,15146,12994,11985,0,0,0,0,0,2426,2426,0,0,55807,315640,167303,55807,315640,167303
1972:Q3,10410,10410,400,400,0,0,5849,5849,17620,0,17620,0,41385,0,15497,13506,12382,0,0,0,0,0,2537,2537,0,0,55047,322582,175370,55047,322582,175370
1972:Q4,10410,10410,400,400,0,0,5976,5976,18012,0,18012,0,42624,0,15886,13977,12761,0,0,0,0,0,2722,2722,0,0,50438,329163,182075,50438,329163,182075
