1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1987:Q1,892605,3709,7403,1757,9211,293098,9211,122815,39917,553,120602,15333,184755,25054,352285,0,351515,770,897092,879560,528045,351515,875073,17532
1987:Q2,910325,4301,5753,1885,10170,299182,10170,129503,41311,606,117592,15228,196669,27515,349622,0,348857,765,915124,896886,548029,348857,892087,18238
1987:Q3,928294,4712,5019,1937,10929,303473,10929,135414,42927,647,113556,15408,210476,30039,346301,0,345682,619,933358,914213,568531,345682,909149,19145
1987:Q4,941247,4844,5216,2015,11272,313435,11272,138866,42961,808,119528,15331,170087,24145,394902,0,394331,571,946586,931539,537208,394331,926200,15047
1988:Q1,960487,4852,5761,2112,11247,317490,11247,143570,40327,667,121679,15448,188043,25061,390473,0,389946,527,966128,950132,560186,389946,944491,15996
1988:Q2,979542,5095,5865,2462,10900,325603,10900,142940,39568,742,131453,15637,196898,25447,391635,0,391152,483,985495,968726,577574,391152,962773,16769
1988:Q3,997928,4736,6488,2663,10468,330853,10468,148740,39557,622,131466,15586,204078,24305,398751,0,398239,512,1004130,987320,589081,398239,981118,16810
1988:Q4,1016731,4410,7116,2811,10183,334934,10183,150659,35347,533,138212,15603,212634,24238,404802,0,402685,2117,1023185,1005913,603228,402685,999459,17272
1989:Q1,1064010,3685,8123,3089,10320,345503,10320,151057,37920,467,145739,15132,225318,24955,427885,0,425152,2733,1070846,1052601,627449,425152,1045765,18245
1989:Q2,1111471,3593,8418,3350,10353,356190,10353,151664,43928,403,149842,15118,251759,26268,436422,0,432503,3919,1118693,1099288,666785,432503,1092066,19405
1989:Q3,1159594,3298,8850,3509,10526,361431,10526,153198,47393,336,149978,15295,270927,28342,457416,0,452216,5200,1167188,1145976,693760,452216,1138382,21212
1989:Q4,1206258,3171,9060,3805,9703,366167,9703,152396,51203,268,152597,15299,277832,28326,492895,0,486626,6269,1214224,1192664,706038,486626,1184698,21560
1990:Q1,1237988,3790,8479,4049,9969,382642,9969,162764,54214,479,155216,15181,267614,27045,519219,0,512610,6609,1246785,1225877,713267,512610,1217080,20908
1990:Q2,1271359,4318,7953,4029,11410,389877,11410,168301,56085,486,153595,15243,282130,29299,527100,0,519271,7829,1281225,1259090,739819,519271,1249224,22135
1990:Q3,1300669,4716,7802,4152,11820,392299,11820,170147,61255,245,148832,15311,250979,24730,588860,0,581235,7625,1311485,1292302,711067,581235,1281486,19183
1990:Q4,1334328,4974,7701,4342,12233,385928,12233,168235,62851,473,142136,16061,284569,26960,591560,0,583729,7831,1346254,1325515,741786,583729,1313589,20739
