1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2003:Q4,17157,4969,32728,9904,1974,-620,-756,-265,-563,72,1010,0,0,13103,0,8113,7010,1103,13587,19156,-715,16353,1380,14973,-5,0,3523,5037,-1514,-5569,-5377,-192,-6954
2004:Q1,13217,4253,71873,13060,4811,3566,22,-582,889,-285,242,0,0,42048,0,8124,5515,2609,36790,35656,2684,27359,14811,12548,-1,0,5614,4299,1315,1134,-1395,2529,-26119
2004:Q2,14461,4348,26899,210,-3692,-7755,182,262,374,-454,-711,0,0,39464,0,-799,-2598,1799,-4077,-3986,-7522,-10349,-5379,-4970,-6,0,13891,13402,489,-91,-2602,2511,-20864
2004:Q3,15256,4512,113815,20966,-5170,996,332,-861,1449,-256,411,0,0,94632,0,1648,3727,-2079,42717,26890,816,21902,371,21531,-30,0,4202,4020,182,15827,15611,216,-60353
2004:Q4,16729,4614,49629,-3932,3006,-736,1939,422,-812,2329,-2429,0,0,45188,0,6593,5028,1565,3224,3432,-1134,-3096,1031,-4127,2,0,7660,10661,-3001,-208,28,-236,-34290
2005:Q1,22520,4118,14005,-11409,13895,7456,-1190,-398,45,-837,-1214,0,0,18137,0,-11670,-13160,1490,18682,25805,7034,8778,6698,2080,-19,0,10012,9666,346,-7123,-7342,219,23079
2005:Q2,21818,4236,58093,2736,4277,495,8628,793,-777,8612,-667,0,0,28323,0,14301,12447,1854,28267,27348,2193,12057,-1895,13952,572,0,12526,10863,1663,919,613,306,-12244
2005:Q3,25723,4320,18576,2240,-4391,1097,-11694,29,-1284,-10439,280,0,0,9645,0,21399,17785,3614,2738,11434,452,10029,5392,4637,-57,0,1010,-1227,2237,-8696,-8608,-88,5564
2005:Q4,20550,4361,44126,-6093,3999,-2607,-2724,-1289,-350,-1085,4350,0,0,33637,0,13564,10483,3081,9402,15106,-3471,10366,-6164,16530,596,0,7615,6544,1071,-5704,-4727,-977,-18536
2006:Q1,18528,4032,31003,287,5535,2093,2109,1554,746,-191,-441,0,0,15845,0,5575,3521,2054,14732,21638,1465,16497,1569,14928,-59,0,3735,2495,1240,-6906,-6347,-559,-1775
