1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2019:Q2,305927,49225,152898,1134,447522,2871,-294,555625,659694,535792,533034,3192,-433,123902,664917,120038,7605,18161,23266,-748,939,9255,-7512,-2345,1094,447,2008,1994,14,1509,2502,34134,-17,-2251,185171,272600,541015,481840,86935,-4526,3790,87671,62209,11853,23830,26526,-5347,81694,-41546,297894,-1143,18481,280557,59175,-7704,66879,-104070,-16962
2019:Q3,319110,48448,165073,5451,452559,3517,-326,567441,782811,575479,535362,40463,-346,207332,717473,232406,-19853,-14240,41219,-1120,29323,29693,-1252,-264,1170,-24,1970,1946,24,-42313,2532,9421,-64,-2251,104582,375861,510141,570706,89692,-20261,1703,108250,82093,-16499,27649,70943,5536,90433,9998,292954,-1145,18195,275904,-60565,-96886,36321,-215370,11555
2019:Q4,337454,52400,189393,-3285,455526,32140,-11548,591590,621924,503197,532058,-28308,-553,118727,652838,-116413,9363,16344,34316,2372,22590,9764,8402,2590,1451,383,2241,1640,601,15052,2748,23808,65,-2251,92624,549979,534111,564936,-3860,-21787,7558,10369,79075,1828,27729,49518,7664,38566,-2536,446027,-1144,17901,429270,-30825,-82853,52028,-30334,-56253
2020:Q1,316424,44006,176138,15002,421190,6644,-235,539350,705615,547179,524544,23130,-494,158436,529872,308214,92372,-21151,116442,13529,34121,4895,22588,8569,-2129,198,1658,2776,-1118,-30557,-27454,28294,65,1867,-136310,148782,371436,405658,245514,48599,3322,193593,567334,469064,86388,11882,-15174,-165637,24078,-250457,-685,-1663,-248109,-34222,-74225,40003,-166265,14473
2020:Q2,304646,45330,201030,12680,422756,28655,14260,508117,167784,419388,486786,-66757,-641,-251603,-212145,297927,24780,31555,50788,4333,12944,-12882,20461,6992,-2103,476,2405,2200,205,20799,-32932,127596,-84,1867,-252649,-501474,39459,10389,403320,-77025,1693,478652,56345,18468,33964,3913,-13783,-187380,26881,-274995,-685,-1583,-272727,29070,-6959,36029,340333,-60075
2020:Q3,478662,62029,220679,-13015,426161,42841,-209,652149,832667,547481,509386,36275,1820,285187,184917,-24547,-5149,11875,-34800,-2564,-10974,12258,-16201,-5157,-2020,146,6900,6734,166,-21096,-35723,72795,-2,1867,159056,67279,-100269,-159329,22243,-43875,1388,64730,-174586,-217485,35215,7684,-6438,132422,-47541,-85430,-685,-1594,-83151,59060,21518,37542,-180518,-61828
2020:Q4,442401,61141,234799,-34909,432685,21187,-184,565608,415391,509521,527421,-17262,-638,-94130,-66412,-137178,-35322,-18250,-10389,8309,1031,29014,-19425,-6767,-2190,399,3399,2653,746,-2918,-39898,18089,99,1867,92871,51879,27719,-11831,24969,9973,-705,15701,-75987,-118818,32529,10302,-31043,64713,4235,1281,-686,-1560,3527,39550,-10030,49580,150217,-34900
2021:Q1,524522,71593,262994,-55478,448106,19314,-1537,603414,463492,556820,538810,13903,4106,-93327,258239,3635,1197,27844,34809,-14606,-20850,-14095,-7878,-3433,2772,1784,4126,5234,-1108,6465,-23217,72394,134,4319,150881,11108,351567,244058,144609,11821,1485,131303,43708,2168,55440,-13900,5589,41411,1751,6990,-1626,31070,-22454,107509,51236,56273,139921,-27280
2021:Q2,610277,85009,289384,-78286,458345,7862,-1521,625327,426048,495128,554179,-58493,-558,-69080,239785,26019,10783,35193,13954,14122,32068,35130,-6096,-1941,2812,2163,1942,1719,223,-4617,-25114,76518,-23,4319,181269,-126649,308864,214849,44937,-12047,5005,51979,-18711,-68738,43025,7002,-19463,98092,-23887,133880,-1628,29856,105653,94016,-10219,104235,199279,-122337
2021:Q3,591900,86428,296020,-71456,469113,5163,-10850,623122,965150,595028,560197,30938,3894,370122,556995,188945,31664,-32125,8058,-9152,12456,-17881,18390,6017,2834,3096,2179,2036,143,-6524,-25173,61683,-80,4319,51292,269453,186873,130322,72319,-9528,2553,79294,53378,-63775,93274,23880,18959,91232,-1072,-104495,-1627,28582,-131450,56551,-46647,103198,-342029,-22930
