1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q2,7203,4449,820,1344,590,7203,4556,2620,577,2043,27,7203,769,0,0,-343,-249,42,21,-157,48,5766,5763,0,9,-6,-3,786,78,89,-317,-390,0,73,0,0,42,0,0,0,0,42,0,288,0
1963:Q3,7418,4861,792,1343,422,7418,4987,2427,634,1793,4,7418,226,0,0,-62,-113,39,22,-10,47,5763,5681,0,8,74,-2,893,84,92,-3,-58,0,55,0,0,14,0,0,0,0,14,0,366,0
1963:Q4,7192,4444,1030,1469,249,7192,4604,2582,1075,1507,6,7192,209,4,0,55,-48,35,10,58,48,5112,5012,0,13,87,-5,1338,101,100,27,-29,0,56,0,0,16,0,0,0,0,16,0,187,0
1964:Q1,5621,3670,912,527,512,5621,3816,1808,590,1218,-3,5621,352,5,0,12,-39,52,-31,30,56,4032,4013,0,15,4,-1,911,137,104,86,-18,0,104,0,0,26,0,0,0,0,26,0,-99,0
1964:Q2,7326,4592,1159,841,734,7326,4748,2584,520,2064,-6,7326,278,7,0,-57,-49,44,-38,-14,60,5324,5364,0,18,-58,0,1034,149,106,90,-13,0,103,0,0,30,0,0,0,0,30,0,305,0
1964:Q3,7570,4708,1218,1176,468,7570,4859,2693,823,1870,18,7570,455,7,0,-3,-53,35,-34,49,58,5528,5452,0,19,57,0,1035,134,115,63,-38,0,101,0,0,21,0,0,0,0,21,0,157,0
1964:Q4,7261,4259,1265,1331,406,7261,4411,2829,1273,1556,21,7261,485,5,0,-1,-59,29,-17,46,53,4656,4673,0,18,-35,0,1628,138,133,115,14,0,101,0,0,22,0,0,0,0,22,0,27,0
1965:Q1,5697,3556,806,803,532,5697,3734,1939,737,1202,24,5697,77,2,0,-34,-85,54,2,-5,50,3826,3669,0,18,139,4,1165,141,151,203,33,0,170,0,0,52,0,0,0,0,52,0,60,0
1965:Q2,7279,4438,916,1215,710,7279,4625,2628,428,2200,26,7279,305,0,0,-113,-106,56,-20,-43,48,5138,5122,0,19,-3,6,1030,256,168,200,30,0,170,0,0,54,0,0,0,0,54,0,187,0
1965:Q3,7385,4713,943,1216,513,7385,4894,2506,530,1976,-15,7385,-89,0,0,31,-29,46,-3,17,45,5382,5444,0,19,-81,7,1066,123,178,217,105,0,112,0,0,67,0,0,0,0,67,0,358,0
