1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2017:Q1,112381767,34100131,78281636,11632078,7194425,3177797,4016628,419257,1296805,26341,58618,2215607,1354583,26660355,16264929,10395426,1370789,3402269,262958,134331,5225079,31440195,14923980,97457787,6.401772552834742,9.19043786945641,23.72302541791502,34.056972405609834
2017:Q2,114717392,34863682,79853710,11529695,7421736,3271763,4149973,426918,1341968,26817,60054,2294216,1350175,27471959,16753677,10718282,1397804,3513668,273756,137259,5395795,32080145,15078150,99639242,6.469581986117269,9.294165204331554,23.947510502225413,34.40285930648278
2017:Q3,116576352,35358281,81218071,11638325,7460791,3173070,4287721,435179,1373093,27745,59454,2392250,1332145,28432763,17222187,11210576,1442453,3673521,285105,138648,5670849,32354046,15226315,101350037,6.39991847457483,9.1861225068719,24.38982071436607,35.00792734983909
2017:Q4,119323238,35879706,83443532,11860008,7567795,3201068,4366727,437212,1398782,28180,60178,2442375,1281910,30038684,18284505,11754179,1489629,3870673,308692,144228,5940957,32695134,15420032,103903206,6.34226416664244,9.0693607981346691,25.174211487219107,35.99881695041483
2018:Q1,120447369,36631514,83815855,12131077,7665315,3273783,4391532,433453,1386408,27243,59441,2484987,1259083,29798587,18123409,11675178,1447544,3831795,306833,142246,5946760,32961792,15471126,104976243,6.364036913219877,9.145423659875577,24.739923913291005,35.552447068641946
2018:Q2,121816119,37101298,84714821,12093904,7845415,3415801,4429614,436961,1398501,27016,58628,2508508,1253262,30261579,18394077,11867502,1458064,3921053,315636,140973,6031776,33260661,15596834,106219285,6.440375361745472,9.260971378305726,24.84201505065855,35.72170524875086
2018:Q3,123977996,37542793,86435203,11953172,8113787,3637763,4476024,437846,1410423,27074,57209,2543472,1253670,31577256,19162536,12414720,1498244,4123041,333102,142114,6318219,33537318,15764376,108213620,6.544538128614952,9.387132716415,25.470048667596153,36.532864877184835
2018:Q4,120359199,37849603,82509596,12291962,8200100,3861615,4338485,421295,1398362,27429,53333,2438066,1224871,27153475,16649630,10503845,1270500,3531787,277939,116103,5307516,33639189,15896622,104462577,6.813022935069098,9.93835894951109,22.56036514389291,32.90947483501642
2019:Q1,126440496,38553541,87886955,12675729,8574907,4061830,4513077,427585,1443274,28937,54325,2558956,1224046,31221970,19276832,11945138,1411449,3985423,316209,129553,6102504,34190303,15926704,110513792,6.781772996945251,9.756746518717225,24.693014343827908,35.52514686709476
2019:Q2,128890209,39134497,89755712,12526818,9055439,4313438,4742001,439774,1507801,30726,55512,2708188,1236642,32155488,19787886,12367602,1442461,4109997,326260,130337,6358547,34781325,16130659,112759550,7.025699727013075,10.08898359790136,24.94796763266038,35.825561300197045
2019:Q3,129823778,39476457,90347321,12780875,9270716,4354827,4915889,452230,1568977,32323,56942,2805417,1270202,31947121,19712683,12234438,1425958,4097816,324573,127041,6259050,35078407,16334037,113489741,7.141000146177573,10.261196542079368,24.6080658421309,35.36034098272597
2019:Q4,133403289,39844070,93559219,13348611,9290735,4241324,5049411,457353,1602440,33164,58257,2898197,1262579,34384894,21153102,13231792,1517723,4427428,355325,136581,6794735,35272400,16527582,116875707,6.9643974214148185,9.930325763083104,25.775146852906538,36.752010167258774
2020:Q1,127323189,40616992,86706197,14255148,8851037,4157682,4693355,417292,1555561,32275,52149,2636078,1402211,26516045,16331335,10184710,1183434,3476538,265247,102029,5157462,35681756,16591066,110732123,6.951630174850222,10.20807915592138,20.82577830501022,30.581487805598773
2020:Q2,135210290,41294094,93916196,15407691,8808024,3782997,5025027,442803,1658678,35190,55881,2832475,1390245,32363519,20035523,12327996,1405878,4211643,328866,123465,6258144,35946716,16598197,118612093,6.514315198209276,9.378600125420666,23.935692454443934,34.45999793147663
2020:Q3,139936992,42315946,97621046,15567001,8908871,3607895,5300976,462179,1735928,37207,57911,3007751,1345882,35265786,22108807,13156979,1481091,4515045,351207,128635,6681001,36533505,16856808,123080184,6.366344680003707,9.125973966540418,25.201189357280374,36.12518793127333
2020:Q4,148419034,43530001,104889033,16217591,9139170,3638034,5501136,477602,1794913,39116,59835,3129670,1373942,41040396,26139763,14900633,1663451,5123794,402772,144651,7565965,37117935,17127278,131291756,6.1576803557036435,8.713179471908322,27.65170646747433,39.12744202976741
