1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2002:Q4,-20168,30953,4680,1660,-1589,11534,-1632,-2019,109,8976,-43072,15531,-2140,-330,-38776,5823,-9877,41813,75088,9181,-5651,-478,18691,2002,-7345,788,1388,-5150,-3833,5985,-9837,2551,0,5576,13367,219,-63511,2744,38,-61981
2003:Q1,185131,59603,5847,-2415,-419,15585,-3382,1543,660,9422,50372,-10006,2853,721,8212,-1928,48463,-5732,-51500,3052,-3657,-307,14680,-823,1460,-13164,9192,20179,3925,581,-6055,-2535,0,1357,15022,-55,-572,3488,0,190862
2003:Q2,136112,-11676,5847,-125,539,38760,32486,1259,947,4117,11496,1044,18632,-2,32821,-2201,2167,-71574,-156583,3600,-2459,-457,37645,9729,-1109,418,-4070,8450,-792,6207,-8436,-8408,0,8856,22272,614,12626,323,0,207686
2003:Q3,40840,-21356,5847,65,-67,45952,-22544,2978,145,-911,-16284,-10894,67255,-493,-3595,7374,-12632,-45470,-51295,2868,785,-343,30371,-11834,-528,3080,-2654,-10074,-4370,1642,1177,-21292,0,4491,25870,-450,-17857,4943,0,86310
2003:Q4,-14662,22040,5847,-84,-427,-33623,-5957,-2362,431,18391,-24107,-17801,1723,490,22250,-1514,42,94838,70428,4090,3874,-280,11214,-3768,-1994,4048,-14628,-5685,-1574,5633,-4860,-8233,0,3791,16448,-213,15399,1103,45,-109500
2004:Q1,162478,51620,17192,350,761,36583,632,2848,1137,-3132,46741,17598,11816,2303,21499,1315,-46785,101090,-28623,46994,2991,-114,16216,-1555,350,-5575,-11670,21424,-93,-368,3077,56518,0,-5075,-1801,1553,4232,2609,0,61388
2004:Q2,96928,65840,17192,429,6,-17387,-12568,2323,684,-1211,-2427,-23405,-9703,-2613,42433,489,36846,18206,29641,47085,-5338,-260,65097,4689,-762,10793,-2005,-3981,5913,8503,3641,-77009,0,-1563,-8278,-2395,-57364,1799,0,78722
2004:Q3,118164,28337,17192,-473,2464,4822,10167,3157,1481,11428,943,11177,-2240,1461,6505,182,21561,201998,57826,46955,7073,-151,69843,-514,2506,-363,1312,-2084,-2755,-6888,-3104,-290,0,6670,9944,1845,16251,-2079,0,-83833
2004:Q4,197351,77131,17192,681,-1970,49887,-391,2448,-1399,8830,-27900,-12451,-4463,797,48805,-3001,43155,344319,137760,48250,-9375,868,85552,-1389,-1145,-2761,14211,1615,637,8124,6967,19479,1353,4458,7960,944,19205,1565,41,-146968
2005:Q1,76291,126698,35674,-1809,57,38727,14206,351,-104,-5099,19024,10460,-34070,-1903,-86444,346,-39823,14997,-72,51869,-2625,-1024,-11006,-555,294,2748,2051,7094,-1283,-321,-16367,3943,1240,21346,-3825,-433,-39611,1490,44,61294
2005:Q2,79463,109913,35675,3652,271,-23394,-1614,-805,2710,4743,-7423,-309,12437,1419,24424,1663,-83899,209251,143886,51979,4615,347,-1174,3212,-383,3875,1842,-4395,-2097,4421,-5948,-12834,29,-10591,10981,1881,17787,1854,-36,-129787
2005:Q3,107731,58745,35674,-804,773,-16058,22856,-194,1165,15964,8789,-1545,34294,194,6782,2237,-61141,198430,125317,50222,7302,-574,11145,2258,225,-4254,1142,8877,-2473,-509,11916,-12944,503,-48621,44970,187,100,3614,27,-90699
2005:Q4,81960,50309,35674,4010,-19,7296,-24847,327,-1245,-7306,-35896,-11282,-1301,3797,14303,1071,47070,439659,246333,51876,-1015,819,43600,-1491,-48,128,4547,-4313,-530,1729,-853,22824,1087,41844,4132,2977,22969,3081,-37,-357698
2006:Q1,134082,35407,36152,-2824,862,47936,15085,-600,-2032,345,13118,10233,-12023,-3417,16874,1240,-22274,200396,100548,78155,-6923,-660,25893,4029,817,-4168,-17779,1849,6736,39548,-7055,-4361,2343,-8399,-19917,-3225,10857,2054,53,-66314
2006:Q2,-49609,22690,36152,4186,52,-19690,25131,181,-57,-2632,3990,12157,-8447,640,18100,904,-142966,295559,215170,77714,1412,175,11121,2241,2338,7931,4348,3478,6736,-5162,18859,-21959,2405,4617,-12050,-426,-25432,2119,-76,-345167
2006:Q3,67808,56013,36152,1211,887,15527,-14350,-2764,1325,2357,10206,-13395,5717,2002,40729,162,-73971,281854,107432,77719,3703,127,46496,1249,-2333,-3195,1243,18919,6736,1804,346,273,1070,8780,-16143,3103,26904,-2419,41,-214046
