1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1981:Q4,6626974,278089,36027,86831,43755,13279,211586,1527471,198830,386193,231346,265039,446063,2598536,510908,407562,1332531,347535,915,397420,123861,14570,0,0,18117,1276517,6552461,6292810,181330,509709,1608628,11914,186305,250633,586205,161519,319417,105269,131507,43354,88153,3043,68834,216270,2084376,2100,4464,447492,259651,139924,119727
1982:Q1,6740646,299948,31676,87278,50478,14300,194428,1582064,206952,406163,245823,267199,455927,2618246,523726,403512,1345521,345487,956,391750,116190,14226,0,0,18674,1320433,6660057,6410998,186018,484717,1663808,12590,198732,248300,599233,161243,329842,108148,124724,39458,85266,2926,66089,218152,2139456,2200,4373,459679,249059,133775,115284
1982:Q2,6938396,322976,35788,93430,54751,14369,198603,1629060,223783,408433,263998,269621,463225,2682800,552558,414765,1363492,351985,590,392557,117604,15229,0,0,19206,1361432,6851788,6613414,189227,493953,1710562,12200,209680,244735,632773,174378,347960,110435,132017,40446,91571,3296,67525,219822,2198867,2300,4410,492048,238374,121982,116392
1982:Q3,7166236,353566,35918,104957,52164,14171,219141,1689200,215957,445691,280307,275191,472054,2727717,568426,427171,1374476,357644,255,449867,131379,17586,0,0,19725,1350591,7100640,6831265,202184,517575,1756466,13813,235246,265321,648954,167826,367333,113795,132024,41828,90196,3345,75941,221457,2271462,2450,4606,480421,269375,139584,129791
1982:Q4,7405463,371345,37784,97976,53954,14185,232213,1783724,212566,497708,301541,286705,485204,2771432,582053,433255,1390193,365931,-54,500198,139187,20173,0,0,20242,1363104,7329193,7030492,204889,547822,1821274,14732,219928,285813,678347,174175,383892,120280,138815,44501,94314,3025,88353,223233,2331384,2600,4856,465421,298701,158564,140137
1983:Q1,7566137,390198,33515,93472,50365,15481,228163,1839893,210795,530694,314836,285651,497917,2790587,585395,422229,1419942,363021,-416,564624,136911,22141,0,0,20753,1380450,7497586,7185303,210134,535385,1876188,13782,197336,274156,690587,168337,398710,123540,128309,44895,83414,3017,101710,225118,2408221,2692,4857,513812,312283,175429,136854
1983:Q2,7787610,386500,36053,96098,50517,15414,233393,1896462,217183,546478,329977,288444,514380,2864790,593687,435944,1462066,373093,-637,648609,138696,24088,0,0,21474,1376152,7737015,7411893,205389,570042,1926122,13083,180893,277884,717826,176252,415730,125844,132881,49045,83836,3222,119852,227081,2494575,3221,4706,535116,325122,186967,138155
1983:Q3,8013333,390733,32088,95243,50658,16418,246116,1957824,225481,573107,351451,291950,515835,2965736,606795,454730,1515465,388746,-735,649576,147369,24175,0,0,22191,1415941,7946933,7619536,219680,576257,1979418,12440,179590,300605,749818,182450,435118,132250,131640,47060,84580,3625,123236,229072,2552166,3083,4648,554258,327397,180636,146761
1983:Q4,8215944,371233,37069,98289,53028,18370,253290,2019683,234474,595448,366624,301369,521768,3059903,615569,470889,1563932,409513,-925,647537,162574,24432,0,0,22899,1448563,8195018,7835481,219219,588062,2031996,11841,179467,315712,784565,195463,451587,137515,139788,50799,88989,3482,126973,231043,2614619,5086,4626,579002,359537,199298,160239
1984:Q1,8456737,392664,32408,93884,56103,19661,266385,2098476,247729,615845,382345,302443,550114,3134115,633213,471019,1610949,418934,-1289,608923,160281,24391,0,0,23751,1546984,8368906,8017912,234599,579748,2088534,10901,195074,333625,806227,201969,468253,136005,132712,48518,84194,3789,129465,232215,2676848,4027,7600,582548,350994,192636,158358
1984:Q2,8699449,404953,34824,96450,59108,20060,278244,2141905,276759,608891,393672,303040,559543,3270061,661918,494239,1668671,445233,-1690,584571,152851,23567,0,0,24703,1609842,8596637,8273582,254454,592296,2163116,12351,200096,342075,842368,212570,484712,145086,144366,51837,92529,4184,129412,233281,2728682,4133,7668,615100,323055,173298,149757
1984:Q3,8997791,411413,34751,100039,59094,22347,282307,2228377,279713,640239,414512,311177,582736,3374375,673453,512622,1721441,466859,-1906,642196,175558,25764,0,0,25641,1617836,8928604,8554680,262210,599260,2219206,14942,205269,362405,878020,213566,509362,155092,154086,52438,101648,4529,145397,234584,2814425,4727,7903,647718,373924,200524,173400
