date,FL214090005.Q,FL213020005.Q,FL213030000.Q,FL213034003.Q,FL212051003.Q,LM214022005.Q,FL213069103.Q,LM213061103.Q,LM213061703.Q,LM213062003.Q,LM213063003.Q,FL214023005.Q,FL213065005.Q,FL213069200.Q,LM213064103.Q,LM213064203.Q,FL213070003.Q,FL213078005.Q,FL213093003.Q,FL214190005.Q,FL213162005.Q,FL213162400.Q,FL213162200.Q,FL213169203.Q,FL213170003.Q,FL223073045.Q
1945:Q4,13379,3784,529,0,0,7524,0,5531,234,1759,0,0,0,0,0,0,1042,500,0,23648,12130,312,11818,505,632,10381
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,13824,4659,708,0,0,6767,0,5179,134,1454,0,25,25,0,0,0,1165,500,0,25739,12199,313,11886,484,778,12278
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,15635,5400,867,0,0,7442,0,5890,137,1415,0,50,50,0,0,0,1376,500,0,29528,13810,512,13298,503,646,14569
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,17149,5899,1138,0,0,8046,0,6277,334,1435,0,104,104,0,0,0,1462,500,0,33226,15144,677,14467,573,789,16720
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,17972,6145,1290,0,0,8425,0,6343,334,1748,0,185,185,0,0,0,1427,500,0,36434,16130,881,15249,488,950,18866
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,19747,6614,1391,0,0,9118,0,6852,234,2032,0,237,237,0,0,0,1887,500,0,43300,20655,1274,19381,555,1064,21026
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,21329,7028,1543,0,0,9827,0,7332,434,2061,0,306,306,0,0,0,2125,500,0,47327,22770,1586,21184,816,1150,22591
1952:Q1,22114,7343,1637,0,80,10127,0,7680,354,2093,0,334,334,0,0,0,2057,505,31,50224,25016,1787,23229,771,1271,23166
1952:Q2,22879,7322,1631,0,167,10804,0,8140,559,2105,0,359,359,0,0,0,1964,504,128,53526,27480,1700,25780,844,1397,23805
1952:Q3,23348,6871,1624,0,679,10955,0,8218,624,2113,0,385,385,0,0,0,2092,498,244,55474,28695,1863,26832,980,1517,24282
1952:Q4,23954,7351,1628,0,247,11249,0,8538,600,2111,0,409,409,0,0,0,2199,510,361,57330,29657,1779,27878,1138,1640,24895
1953:Q1,24138,7390,1658,0,256,11478,0,8826,538,2114,0,430,430,0,0,0,2169,512,245,59289,31221,1906,29315,913,1768,25387
1953:Q2,24340,7695,1742,0,0,11627,0,8988,495,2144,0,451,451,0,0,0,2181,508,136,60889,32379,1778,30601,839,1893,25778
1953:Q3,24919,7121,1696,0,815,11810,0,9114,493,2203,0,471,471,0,0,0,2234,499,273,62839,33795,1992,31803,842,2024,26178
1953:Q4,25598,7766,1957,0,175,12151,0,9342,516,2293,0,492,492,0,0,0,2203,457,397,64658,35012,1948,33064,774,2158,26714
1954:Q1,25885,8106,2283,0,-216,12333,0,9402,547,2384,0,514,514,0,0,0,2155,443,267,66764,36516,2137,34379,670,2298,27280
1954:Q2,26139,8059,2335,0,0,12475,0,9466,568,2441,0,538,538,0,0,0,2161,450,121,68614,37866,2033,35833,477,2441,27830
1954:Q3,26788,7131,2438,0,1006,12706,0,9638,600,2468,0,561,561,0,0,0,2259,475,212,70902,39376,2192,37184,453,2589,28484
1954:Q4,27421,8137,2419,0,172,12915,0,9789,659,2467,0,582,582,0,0,0,2378,503,315,72967,40663,2058,38605,439,2738,29127
1955:Q1,27758,8085,2377,0,402,13166,0,9978,732,2456,0,599,599,0,0,0,2386,530,213,75407,42155,2163,39992,447,2896,29909
1955:Q2,28220,8539,2452,0,0,13467,0,10248,764,2455,0,613,613,0,0,0,2478,530,141,77440,43267,1975,41292,438,3057,30678
1955:Q3,29025,7665,2313,0,1136,13760,0,10550,747,2463,0,626,626,0,0,0,2686,526,313,79720,44668,2177,42491,441,3220,31391
1955:Q4,29841,8156,2356,0,721,14091,0,10936,676,2479,0,641,641,0,0,0,2863,544,469,81624,45697,2086,43611,451,3384,32092
1956:Q1,30014,8259,2508,0,563,14308,0,11198,615,2495,0,657,657,0,0,0,2832,496,391,83815,46932,2242,44690,458,3553,32872
1956:Q2,30415,8878,2509,0,0,14662,0,11531,628,2503,0,671,671,0,0,0,2928,476,291,85933,47853,2093,45760,460,3726,33894
