1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q4,1237,2588,533,533,2055,23722,2601,87,72,180,0,-1250,4882,-688,2456,474,845,1795,11955,4098,1720,5144,993,1,1741,54,0,0,0,12,3387,21667,22137,2074,6747,4893,158,0,-1348,425,-2,307,120,2457,1962,495,33,554,1017,5851,0,-207,-517,-470,-469,-1,-1350
1962:Q1,1313,982,557,557,425,8913,-1775,7,69,-73,0,1569,3828,1345,-891,632,1795,947,1799,-1365,-547,3669,42,3,1685,47,36,0,0,42,1676,8488,8361,-2802,-7659,8344,-71,0,1419,1374,805,399,170,-2405,-1474,-931,4,389,1003,5916,10,316,2523,127,98,29,331
1962:Q2,1377,1206,578,578,629,20914,714,-607,71,84,0,-878,3689,-286,157,487,1591,1740,10807,1742,1320,5466,2279,1,2416,45,88,0,0,58,4426,20285,20160,695,3417,7457,84,0,-1133,233,31,361,-159,1162,-60,1222,1,446,957,6269,0,-98,670,125,100,25,171
1962:Q3,1387,1088,579,579,509,17877,671,1204,75,-205,0,700,2254,503,-281,-182,931,1283,8675,1456,195,5860,1164,1,1327,45,58,0,0,60,3012,17368,17418,1558,24,4649,-209,0,828,770,380,589,-199,931,506,425,2,163,879,5720,10,305,1788,-50,-69,19,300
1962:Q4,1353,2290,561,561,1729,29339,1417,549,76,226,0,-631,8435,-524,4603,924,1441,1991,14116,5143,1549,5958,1466,2,1696,50,22,0,0,48,3332,27610,27553,-234,10438,8192,229,0,-717,767,-40,288,519,2573,2611,-38,-23,252,803,5904,0,32,-663,57,4,53,-937
1963:Q1,1238,944,537,537,408,7436,-2586,-667,61,69,0,1216,2340,1269,-1527,150,1009,1439,3484,-2169,-7,4680,980,1,1427,56,4,0,0,38,1993,7028,6779,-2546,-8718,8585,70,0,1515,611,1024,-825,412,-2948,-1357,-1591,2,219,924,6309,5,256,2495,249,220,29,294
1963:Q2,1169,744,544,544,201,26308,794,-653,62,-2,0,-1102,3765,288,98,135,1430,1814,15711,3315,3326,6729,2341,3,2197,48,-20,0,0,31,5474,26107,25808,895,5027,7431,42,0,-1090,1417,488,947,-18,2233,984,1249,-1,119,989,7042,0,-530,2234,299,281,18,424
1963:Q3,1151,382,566,566,-184,19669,-202,1106,64,-265,0,625,1565,367,-1184,157,932,1293,11624,1427,1068,7207,1922,0,1815,66,-14,0,0,29,3256,19853,19547,505,-342,4914,-311,0,758,682,-179,686,175,1983,1315,668,1,356,1062,6743,5,36,3155,306,281,25,769
1963:Q4,1156,1548,608,608,940,29698,1741,-154,67,132,0,-535,4942,-606,2719,38,1011,1780,16189,5173,2050,6876,2090,3,2352,70,10,0,0,33,4848,28758,28595,712,8948,8604,137,0,-832,1752,-70,840,982,2050,1442,608,16,273,1131,7010,0,-161,-1045,163,207,-44,-392
1964:Q1,1151,1778,666,666,1111,10297,-1181,33,82,-170,0,1472,1286,697,-1642,-349,772,1808,3553,-3574,627,5196,1304,2,1398,74,30,0,0,36,3682,9186,9196,-1631,-7057,7466,-174,0,1403,1780,1234,-545,1091,-2735,-3112,377,0,55,1056,7376,10,354,1293,-10,-29,19,-627
