1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1994:Q3,-210427,-90026,19804,-4424,-3987,-187203,9776,1228,1995,1604,892,244,45142,-3152,57950,-892,-59378,125165,104305,17976,14768,-518,-22157,4204,-24,-5284,0,27547,8376,2228,-34908,-29249,0,400,2603,3188,30426,1284,0,-335593
1994:Q4,58654,84258,19804,26712,4878,-20644,5524,5436,2902,1760,4988,-15988,26394,332,-129263,4584,36975,312992,311679,14476,53516,4390,-26379,-4548,-1924,6982,116,-7634,-11796,-176,13298,34480,0,22456,-37284,4816,-65565,2088,0,-254338
1995:Q1,189798,-28884,13604,-24020,-11308,96235,5120,-584,-4911,1312,28080,-11940,45512,-348,114000,-168,-31902,158198,195247,32676,-11824,-4838,-74133,-9052,-1624,-25882,0,24981,6012,-1440,-36011,-36001,0,-45664,16302,760,128340,348,0,31601
1995:Q2,105528,8639,13604,5384,16012,-121858,39372,4160,-1625,4532,19608,8784,26206,-588,7739,-696,76255,236416,-28163,33176,166040,3212,-5341,-13732,1456,6840,0,-23286,6008,1416,28128,34052,0,19692,-4116,2100,8070,864,0,-130889
1995:Q3,222741,154443,13604,22340,-11066,-67580,-15172,-108,111,1320,6148,11176,39170,-352,30811,2876,35020,422636,256205,35672,57332,-512,-7452,7964,528,13823,0,10954,6008,1012,-7271,-54123,0,46868,27131,-652,30626,-1476,0,-199895
1995:Q4,341615,296683,13604,14304,11366,79625,-6616,8212,501,23456,5488,-4968,-7912,-180,-46526,2248,-47670,176684,157780,37176,9708,5752,-90551,-22300,6008,4935,-27868,33547,6012,-132,58354,46232,0,-24328,-17992,-1932,-9488,5772,0,164930
1996:Q1,228885,195360,29432,-14532,-12016,-33474,-29340,-548,1487,2552,952,10108,-7675,-184,82343,-196,4615,331288,435032,33240,-99452,-3698,-152,-20672,-772,-19545,0,-23940,17404,1420,11013,-40640,0,-36204,-14234,-5112,98039,-440,0,-102403
1996:Q2,175998,-33154,29432,11796,13608,159629,-12140,-1144,398,2464,-1216,-13004,3997,-252,30588,1252,-16255,35402,66830,33736,-88796,1564,203471,-14008,464,2472,0,8058,17412,1128,-33603,-60363,0,1644,3284,-2664,-107280,2052,0,140596
1996:Q3,366261,261236,29432,-29636,-3071,38531,-1808,3328,273,1912,6100,-3704,27412,-308,33392,2664,509,398229,141891,36244,99712,-192,52645,-1132,1708,11858,0,-10303,17412,-680,-13426,-25405,0,2964,70255,-3504,19275,-1092,0,-31968
1996:Q4,-57355,112520,29432,19260,-73,-69450,34960,608,159,-1864,16824,7988,8622,-4740,-90899,9556,-130258,-15714,-96833,37736,95164,4186,-116865,-1028,1696,7983,-2520,46062,27012,1004,63732,32120,0,59292,15994,-2488,-194193,6232,0,-41641
1997:Q1,397798,19139,60996,-18048,-16877,109301,40716,8832,-21258,-308,-50716,36128,26571,-2860,125119,-3900,84963,232986,-6428,48916,104220,-2574,104463,6244,588,-62738,228,26046,2940,-2332,9264,-1433,0,-82052,-4978,-3516,95840,288,0,164812
1997:Q2,-177039,-189700,55996,22440,17768,85669,-6812,4328,125,2628,-10824,-17320,-32986,-6244,51556,1608,-155271,-188564,-359948,54416,52748,8902,45011,-7708,1464,19116,264,-4628,12192,948,-54755,45406,0,30540,35212,-9356,-62037,3648,0,11525
1997:Q3,112113,-95890,55996,-40764,-12264,-12084,-6580,4064,-2853,11484,-36172,10476,98121,-10372,9878,2744,136327,434441,70317,56916,110132,-1868,20996,-5464,-52,14395,288,31972,6360,632,26064,5791,0,12152,14951,-8392,81130,-1880,0,-322328
1997:Q4,-46256,-204805,51000,37408,15952,88600,22892,1540,-887,10024,53488,-688,-20994,-14332,-65397,4368,-24426,94701,-248681,63420,26680,3606,1734,11644,5364,20554,-45504,24441,18460,988,88080,96228,0,69736,29971,-23348,-55953,7280,0,-140958
1998:Q1,328670,93084,102120,-23716,-24176,-194783,-7980,2964,7896,-704,54600,37648,-144023,-17664,407709,504,35190,-26325,-217771,111556,151044,838,-237675,-7940,236,-22983,-188,57167,7428,748,62301,-48666,0,-59700,-111246,-11764,295195,5096,0,354995
1998:Q2,233426,165713,87120,14476,3269,102456,21992,3224,-460,-1728,3552,-8912,14358,8088,-132435,-572,-46715,334609,274256,129356,-39272,4812,95812,17828,1328,-2662,-148,8145,7448,604,-129371,16846,0,23348,42351,4180,-126468,6216,0,-101184
1998:Q3,48484,20232,82120,-19864,2627,20012,-17508,1840,-6027,-1864,38212,1496,33401,16776,-57049,2820,-68741,1070478,383783,131856,44544,3036,-1365,17820,2264,13840,-132,37882,6492,-452,23456,178308,0,2736,10996,24480,185375,5560,0,-1021994
