1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q2,13837,1742,2568,6130,3749,719,1210,452,3397,13837,12525,7031,1950,2438,945,161,1162,616,0,0,0,-44,755,0,-165,0,150,13837,3030,1258,881,243,583,65,10807,0,7917,-198,19,276,-4,660,79,854,84,0,731,24,0,743,0,-378,0,0,0
1962:Q3,9606,1456,600,6359,4108,832,1149,270,1191,9606,8821,6156,655,1745,213,52,931,279,0,0,0,34,142,0,476,0,-146,9606,931,693,34,-1,142,63,8675,0,6669,95,19,194,-6,680,81,15,81,0,305,37,0,201,0,304,0,0,0
1962:Q4,16196,5143,1688,6647,3962,963,1473,249,2718,16196,13317,7424,3826,1603,258,206,2573,433,0,0,0,55,870,0,1215,0,306,16196,2080,205,960,296,561,58,14116,0,10532,87,15,152,-10,1342,82,76,87,0,352,40,0,1102,0,259,0,0,0
1963:Q1,2930,-2169,503,5005,3045,650,942,368,-409,2930,5541,2816,311,1901,452,61,-2948,-965,0,0,0,-26,-760,0,-1197,0,337,2930,-554,96,-1038,-349,683,54,3484,0,2323,144,12,24,-3,739,81,49,89,0,-1019,40,0,924,0,81,0,0,0
1963:Q2,18692,3315,4892,7203,4449,820,1344,590,3282,18692,15686,9390,1919,2820,1536,21,2233,756,0,0,0,-63,591,0,949,0,773,18692,2981,1882,729,212,110,48,15711,0,10599,167,9,319,-3,910,78,952,89,0,667,42,0,1104,0,778,0,0,0
1963:Q3,12231,1427,1241,7418,4861,792,1343,422,2145,12231,10040,7379,499,1959,102,102,1983,754,0,0,0,0,587,0,642,0,208,12231,607,165,177,46,172,47,11624,0,8080,204,8,200,-2,988,84,73,92,0,810,14,0,603,0,470,0,0,0
1963:Q4,18771,5173,2898,7192,4444,1030,1469,249,3508,18771,15976,8874,4475,1990,588,49,2050,760,0,0,0,0,1011,0,279,0,745,18771,2582,552,1093,329,560,48,16189,0,11598,-20,13,155,-5,1426,101,87,100,0,673,16,0,1843,0,202,0,0,0
1964:Q1,4499,-3574,2281,5621,3670,912,527,512,171,4499,6543,3790,848,1837,72,-4,-2735,-616,0,0,0,0,-1220,0,-899,0,691,4499,946,1312,-841,-287,706,56,3553,0,1449,70,15,54,-1,1033,137,108,104,0,-416,26,0,1143,0,-169,0,0,0
1964:Q2,19868,6520,2251,7326,4592,1159,841,734,3771,19868,16371,9504,2788,2868,1136,75,2828,601,0,0,0,4,1208,0,1015,0,669,19868,666,-715,541,138,642,60,19202,0,13911,63,18,347,0,1168,149,911,106,0,899,30,0,1599,0,1,0,0,0
1964:Q3,10620,-1110,1830,7570,4708,1218,1176,468,2330,10620,10579,6717,1311,2073,380,98,-562,68,0,0,0,130,-592,0,-168,0,603,10620,2489,1452,155,33,791,58,8131,0,5633,70,19,271,0,1153,134,169,115,0,195,21,0,514,0,-163,0,0,0
