1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q2,64997,30096,15041,8733,382,62,6181,-318,34736,19681,29791,15043,13155,-3,15,1876,14748,0,-2330,17456,0,-320,0,-58,0,5110,4518456,880815
1972:Q3,125002,46735,15827,9118,394,62,6570,-317,46359,15451,72476,32795,30907,-31,17,1902,39681,0,19241,20449,0,-250,0,241,0,5791,4643458,905843
1972:Q4,246319,42580,17618,9982,427,61,7467,-318,44083,19121,199262,46703,48159,-65,26,-1418,152560,0,119378,28387,0,3205,0,1589,0,4476,4889777,949861
1973:Q1,25561,51329,20059,10597,478,70,9237,-323,42294,11025,-18290,24075,21443,-35,25,2643,-42365,0,-68115,33042,0,-5403,0,-1889,0,-7478,4915338,968678
1973:Q2,39784,41991,18911,10196,474,62,8506,-327,41989,18908,7425,41345,36944,63,53,4286,-33921,0,-65850,38550,0,-4312,0,-2309,0,-9632,4955122,995679
1973:Q3,182519,50528,17621,9732,435,53,7734,-333,52000,19093,141453,54147,50853,85,86,3124,87306,0,40565,41383,0,3820,0,1538,0,-9462,5137640,1018430
1973:Q4,-36603,46623,15727,9036,410,48,6574,-340,47309,16413,-74777,35897,33312,51,114,2422,-110675,0,-131925,29463,0,-4572,0,-3641,0,-8449,5101037,1050700
1974:Q1,30787,49081,14034,8123,558,71,5632,-349,39296,4249,-20763,-13169,-18369,119,101,4981,-7594,0,-31418,25350,0,-1842,0,315,0,2469,5131824,1064035
1974:Q2,-17242,23522,14015,7717,538,66,6051,-357,30298,20791,-44275,3549,-8504,316,101,11637,-47824,0,-69361,27987,0,-3534,0,-2916,0,3511,5114581,1083985
1974:Q3,-40123,32650,14685,7908,555,65,6521,-364,36385,18419,-74605,24804,6014,566,95,18129,-99408,0,-135525,49853,0,-7465,0,-6272,0,1832,5074459,1114191
